"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+220","Social","Snapchat","Snap Inc","0.0","","2020-07-22","145818","https://play.google.com/store/apps/details?id=com.snapchat.android"
"2","-","Communication","WhatsApp Messenger","WhatsApp Inc.","0.0","","2020-07-20","138749","https://play.google.com/store/apps/details?id=com.whatsapp"
"3","-2","Arcade","拥挤城市!","VOODOO","0.0","每件HK$8.00-HK$33.00","2020-07-17","104238","https://play.google.com/store/apps/details?id=io.voodoo.crowdcity"
"4","+105","Productivity","Samsung Notes","Samsung Electronics Co.,  Ltd.","0.0","","2019-12-24","86787","https://play.google.com/store/apps/details?id=com.samsung.android.app.notes"
"5","+1","Finance","AlipayHK (支付寶香港)","Alipay (Hangzhou) Technology Co. Ltd","0.0","","2020-07-17","59050","https://play.google.com/store/apps/details?id=hk.alipay.wallet"
"6","+108","Entertainment","Face Reading - Age Face, Signs","Face Read Lab","0.0","$0.99 - $94.99 per item","2019-08-29","48791","https://play.google.com/store/apps/details?id=app.facereading.signs"
"7","-","Communication","微信","WeChat","0.0","每件HK$7.00-HK$118.00","2020-07-13","47689","https://play.google.com/store/apps/details?id=com.tencent.mm"
"8","+407","Productivity","Fancy Cleaner - Antivirus, Booster & Phone Cleaner","Fancy Mobile Apps","0.0","$0.99 - $5.99 per item","2019-12-23","32284","https://play.google.com/store/apps/details?id=com.fancyclean.boost"
"9","+13","Food & Drink","麥當勞® App","MHK Restaurants Limited","0.0","","2020-07-10","32243","https://play.google.com/store/apps/details?id=com.mcdonalds.gma.hongkong"
"10","new","Education","开言英语 - 地道英语流利说","Openlanguage Inc.","0.0","每件HK$78.00-HK$1,399.00","2020-07-23","31856","https://play.google.com/store/apps/details?id=com.openlanguage.kaiyan"
"11","new","Action","弓箭傳說","Habby","0.0","每件HK$8.00-HK$809.00","2020-07-14","31628","https://play.google.com/store/apps/details?id=com.habby.archero"
"12","new","Personalization","Magic Launcher  -  Memoji＆3D主題，動態壁紙","Pandafly Team","0.0","","2019-08-01","29233","https://play.google.com/store/apps/details?id=com.magic.launcher.wallpaper.face.memoji.screen"
"13","-4","Communication","Messenger — 收发消息和视频通话全部免费","Facebook","0.0","每件HK$8.00-HK$3,099.00","2020-07-20","28292","https://play.google.com/store/apps/details?id=com.facebook.orca"
"14","+26","Tools","Top Cleaner - Powerful Cleaner & Max Booster","TC Team","0.0","","2019-11-22","26873","https://play.google.com/store/apps/details?id=com.topcleaner.booster"
"15","-4","News & Magazines","香港01 - 新聞資訊及生活服務","HK01 Company Limited","0.0","","2020-07-21","26575","https://play.google.com/store/apps/details?id=com.hk01.news_app"
"16","-8","Trivia","Disney Tsum Tsum Land","WeGames Corporation.","0.0","每件HK$8.00-HK$788.00","2020-06-01","25386","https://play.google.com/store/apps/details?id=com.wegames.ttl.hk.and"
"17","+24","Tools","Clean Phone - phone cleaner & junk cleaner","Mobile Cleaner Dev","0.0","","2019-10-22","24016","https://play.google.com/store/apps/details?id=com.fast_cache_junk_cleaner.booster_master"
"18","-5","Travel & Local","APP 1933 - KMB．LWB","The Kowloon Motor Bus Company (1933) Limited","0.0","","2020-06-24","24007","https://play.google.com/store/apps/details?id=com.kmb.app1933"
"19","+232","Education","流利说-英语","LiuLiShuo","0.0","","2019-07-31","18115","https://play.google.com/store/apps/details?id=com.liulishuo.engzo"
"20","+4","Social","Instagram","Instagram","0.0","每件HK$8.00-HK$38.00","2020-07-20","17982","https://play.google.com/store/apps/details?id=com.instagram.android"
"21","+6","Social","Facebook","Facebook","0.0","每件HK$8.00-HK$3,099.00","2020-07-24","16503","https://play.google.com/store/apps/details?id=com.facebook.katana"
"22","new","Tools","Security Defender - Antivirus Scan, Junk Clean","Alpha Shield Dev","0.0","","2019-07-02","16499","https://play.google.com/store/apps/details?id=com.security.antivirus.scan"
