"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+4","Education","Google Classroom","Google LLC","0.0","","2020-06-10","273889","https://play.google.com/store/apps/details?id=com.google.android.apps.classroom"
"2","-1","Education","Cake - 免费英语会话","Playlist Corporation","0.0","","2020-07-22","161580","https://play.google.com/store/apps/details?id=me.mycake"
"3","+9","Education","Simply Piano 由 JoyTunes 开发","JoyTunes","0.0","每件HK$45.90-HK$1,159.00","2020-07-21","73222","https://play.google.com/store/apps/details?id=com.joytunes.simplypiano"
"4","+2","Education","eClass Parent App","BroadLearning Education (Asia) Limited","0.0","","2020-06-17","64358","https://play.google.com/store/apps/details?id=com.broadlearning.eclass"
"5","+44","Education","Edpuzzle","Edpuzzle","0.0","","2020-06-10","57780","https://play.google.com/store/apps/details?id=com.edpuzzle.student"
"6","+35","Education","eClass Student App","BroadLearning Education (Asia) Limited","0.0","","2020-05-11","40260","https://play.google.com/store/apps/details?id=com.broadlearning.eclassstudent"
"7","new","Education","Conects Q&A-Homework help (Math & Science Solver)","ST Unitas","0.0","","2020-03-03","37749","https://play.google.com/store/apps/details?id=com.stu.conects"
"8","+78","Education","Oxford iSolution","Oxford University Press (China) Ltd.","0.0","","2020-01-07","37160","https://play.google.com/store/apps/details?id=abacus.com.hk.androidebook"
"9","+45","Education","Lingokids - playlearning™  英文應用","Lingokids - English Learning For Kids","0.0","每件HK$7.00-HK$1,059.00","2020-07-13","28459","https://play.google.com/store/apps/details?id=es.monkimun.lingokids"
"10","+12","Education","GRWTH","GRWTH Limited","0.0","","2020-07-07","26730","https://play.google.com/store/apps/details?id=com.grwth.portal"
"11","new","Education","EVIGarten","EVI Services Limited","0.0","","2020-05-16","25815","https://play.google.com/store/apps/details?id=hk.com.evi.evifamily.kids"
"12","+4","Education","EWA English: 学习英语","Lithium Lab Pte Ltd","0.0","每件HK$13.00-HK$1,149.00","2020-07-01","23939","https://play.google.com/store/apps/details?id=com.ewa.ewaapp"
"13","-10","Education","英孚英语24/7","Signum International AG","0.0","","2020-04-09","23543","https://play.google.com/store/apps/details?id=com.ef.english24_7"
"14","new","Education","同步課堂Sync-Class","China Mobile Hong Kong Company Limited","0.0","","2019-11-15","21616","https://play.google.com/store/apps/details?id=com.ldcchina.tbkt.hk"
"15","-8","Education","英汉字典 EC Dictionary","CSST","0.0","","2019-07-14","20823","https://play.google.com/store/apps/details?id=com.csst.ecdict"
"16","-14","Education","开言英语 - 地道英语流利说","Openlanguage Inc.","0.0","每件HK$78.00-HK$1,399.00","2020-07-23","20795","https://play.google.com/store/apps/details?id=com.openlanguage.kaiyan"
"17","-13","Education","微软数学","Microsoft Corporation","0.0","","2020-06-11","19680","https://play.google.com/store/apps/details?id=com.microsoft.math"
"18","-9","Education","香港小學習字表 - 根據官方指引設計","Secmenu Technology Co","0.0","","2019-11-05","18655","https://play.google.com/store/apps/details?id=com.secmenu.chineselearning"
"19","+7","Education","Kahoot!","Kahoot!","0.0","每件HK$23.00-HK$1,879.00","2020-07-13","16735","https://play.google.com/store/apps/details?id=no.mobitroll.kahoot.android"
"20","new","Education","WordUp Vocabulary","Geeks Ltd","0.0","每件HK$39.90-HK$799.00","2020-07-06","16732","https://play.google.com/store/apps/details?id=co.wordupapp.app"
"21","-11","Education","多邻国｜免费学英语","Duolingo","0.0","每件HK$8.00-HK$996.00","2020-07-20","16199","https://play.google.com/store/apps/details?id=com.duolingo"
