"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel & Local","APP 1933 - KMB．LWB","The Kowloon Motor Bus Company (1933) Limited","0.0","","2020-06-24","272750","https://play.google.com/store/apps/details?id=com.kmb.app1933"
"2","+2","Travel & Local","新巴城巴","Citybus & New World First Bus","0.0","","2020-06-17","132253","https://play.google.com/store/apps/details?id=com.nwfb"
"3","+2","Travel & Local","大航假期","Bigline Holiday Limited","0.0","","2020-04-07","113525","https://play.google.com/store/apps/details?id=holiday.yulin.com.bigholiday"
"4","+2","Travel & Local","MTR Mobile","MTR Corporation Limited","0.0","","2020-06-17","72465","https://play.google.com/store/apps/details?id=com.mtr.mtrmobile"
"5","+7","Travel & Local","GOGOX (前為GOGOVAN)-即時貨運及速遞叫車","GoGo Tech Limited","0.0","","2020-07-17","61930","https://play.google.com/store/apps/details?id=hk.gogovan.GoGoVanClient2"
"6","-4","Travel & Local","Trip.com：機票、酒店、火車票、接送、當地玩樂","Trip.com","0.0","","2020-07-16","61923","https://play.google.com/store/apps/details?id=ctrip.english"
"7","+11","Travel & Local","香港远足路线","SeemGood Technology","0.0","每件HK$10.00-HK$100.00","2020-05-12","50807","https://play.google.com/store/apps/details?id=tsoiyatshing.hikingtrailhk"
"8","+2","Travel & Local","Safeguard HK","Security Bureau","0.0","","2019-12-19","43252","https://play.google.com/store/apps/details?id=hk.gov.sb.app.v2"
"9","-","Travel & Local","高德地图","高德软件","0.0","","2020-05-20","38831","https://play.google.com/store/apps/details?id=com.autonavi.minimap"
"10","+1","Travel & Local","Google 地球","Google LLC","0.0","","2020-07-20","37484","https://play.google.com/store/apps/details?id=com.google.earth"
"11","-3","Travel & Local","安可达 (Agoda)","agoda.com","0.0","","2020-07-21","36191","https://play.google.com/store/apps/details?id=com.agoda.mobile.consumer"
"12","+5","Travel & Local","Booking.com缤客 - 全球酒店预订","Booking.com Hotels & Vacation Rentals","0.0","","2020-07-20","32768","https://play.google.com/store/apps/details?id=com.booking"
"13","+12","Travel & Local","Google Maps Go - 路线、路况和公交","Google LLC","0.0","","2020-07-14","21421","https://play.google.com/store/apps/details?id=com.google.android.apps.mapslite"
"14","+1","Travel & Local","地图","Google LLC","0.0","","2020-07-16","21072","https://play.google.com/store/apps/details?id=com.google.android.apps.maps"
"15","-1","Travel & Local","永安旅遊 - 機票酒店旅遊優惠","Hong Kong Wing On Travel Service Limited","0.0","","2020-07-09","19747","https://play.google.com/store/apps/details?id=com.wingontravel.m"
"16","-9","Travel & Local","Expedia 酒店、机票、租车与旅游活动优惠","Expedia","0.0","","2020-07-16","19727","https://play.google.com/store/apps/details?id=com.expedia.bookings"
"17","+11","Travel & Local","香港巴士","Goder Hsu","0.0","","2020-05-06","19392","https://play.google.com/store/apps/details?id=com.goder.busquerysystemhkb"
"18","-5","Travel & Local","trivago - 优栈网：比较酒店价格","trivago","0.0","","2020-07-08","19104","https://play.google.com/store/apps/details?id=com.trivago"
"19","+7","Travel & Local","搭载 AccuRate™ 技术的免费版加强型货币转换器","Digitalchemy, LLC","0.0","每件HK$8.00-HK$108.00","2020-05-27","16335","https://play.google.com/store/apps/details?id=com.digitalchemy.currencyconverter"
"20","+2","Travel & Local","对话翻译","HawsoftMob Inc.","0.0","每件HK$8.00-HK$39.90","2020-01-21","15380","https://play.google.com/store/apps/details?id=com.hawsoft.mobile.speechtrans"
"21","+9","Travel & Local","汇率换算 - 汇率即时查询","zhimastudio","0.0","每件HK$15.00","2020-07-03","14761","https://play.google.com/store/apps/details?id=com.zhima.currency"
"22","+14","Travel & Local","新巴城巴屿巴实时抵站时间","HK Cheung Apps Factory","0.0","","2020-07-10","14554","https://play.google.com/store/apps/details?id=com.hkcheungapps.busapp"
"23","-3","Travel & Local","国泰航空","Cathay Pacific Airways Limited","0.0","","2020-07-09","14467","https://play.google.com/store/apps/details?id=com.xs2theworld.cxmobile"
"24","-","Travel & Local","Hotels.com 好订网：酒店预订","Hotels.com LP","0.0","","2020-07-16","13877","https://play.google.com/store/apps/details?id=com.hcom.android"
"25","-6","Travel & Local","香港快运航空","HK Express","0.0","","2020-04-29","13599","https://play.google.com/store/apps/details?id=com.hkexpress.android"
"26","new","Shopping","Payke-making shopping","Payke Inc.","0.0","","2019-11-25","13546","https://play.google.com/store/apps/details?id=jp.co.payke.Payke1"
"27","+6","Travel & Local","百度地图","Baidu Map","0.0","","2020-06-24","12369","https://play.google.com/store/apps/details?id=com.baidu.BaiduMap"
