"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Role Playing","夢幻模擬戰","GameBeans Ltd.","0.0","每件HK$8.00-HK$788.00","2020-07-13","137473","https://play.google.com/store/apps/details?id=com.gamebeans.mhmnz"
"2","+3","Puzzle","神魔之塔","Mad Head Limited","0.0","每件HK$8.00-HK$648.00","2020-07-24","116389","https://play.google.com/store/apps/details?id=com.madhead.tos.zh"
"3","-1","Role Playing","風色童話","X-Legend Entertainment Co., Ltd.","0.0","每件HK$8.00-HK$788.00","2020-07-16","108249","https://play.google.com/store/apps/details?id=com.xlegend.laplace.hk"
"4","+10","Action","DRAGON BALL Z -七龍珠爆裂激戰-","BANDAI NAMCO Entertainment Inc.","0.0","每件HK$8.00-HK$398.00","2020-07-06","94153","https://play.google.com/store/apps/details?id=com.bandainamcogames.dbzdokkanww"
"5","-1","Role Playing","叫我官老爺 - 原創宮廷模擬當官手遊","CHUANG COOL ENTERTAINMENT","0.0","每件HK$8.00-HK$743.00","2020-07-24","76693","https://play.google.com/store/apps/details?id=com.szckhd.jwgly.azfanti"
"6","-","Entertainment","线上抓娃娃机「抓乐霸」","CyberStep, Inc.","0.0","每件HK$44.00-HK$1,760.00","2020-02-19","46721","https://play.google.com/store/apps/details?id=com.cyberstep.toreba.android"
"7","+20","Role Playing","第七史诗","Smilegate Megaport","0.0","每件HK$8.00-HK$788.00","2020-07-16","43810","https://play.google.com/store/apps/details?id=com.stove.epic7.google"
"8","+24","Role Playing","LifeAfter-明日之后","NetEase Games","0.0","每件HK$8.00-HK$788.00","2020-05-26","35934","https://play.google.com/store/apps/details?id=com.netease.mrzhna"
"9","+12","Casual","糖果传奇","King","0.0","每件HK$8.00-HK$1,188.00","2020-07-02","33376","https://play.google.com/store/apps/details?id=com.king.candycrushsaga"
"10","-2","Action","第五人格-2週年","NetEase Games","0.0","每件HK$8.00-HK$788.00","2020-07-03","32431","https://play.google.com/store/apps/details?id=com.netease.idv.googleplay"
"11","+17","Puzzle","Puzzle & Dragons(龍族拼圖)","GungHoOnlineEntertainment","0.0","每件HK$8.00-HK$398.00","2020-07-15","31673","https://play.google.com/store/apps/details?id=jp.gungho.padHT"
"12","-1","Action","Garena 傳說對決：刀劍神域合作始動","Garena Games Online","0.0","每件HK$8.00-HK$788.00","2020-06-15","28018","https://play.google.com/store/apps/details?id=com.garena.game.kgtw"
"13","-6","Role Playing","新神鵰俠侶-金庸武俠大世界","BBGame HK","0.0","$0.99 - $99.99 per item","2019-08-15","24318","https://play.google.com/store/apps/details?id=com.bbgame.googlech.hk"
"14","-1","Strategy","萬國覺醒-RoK","Lilith  Games","0.0","每件HK$7.00-HK$1,708.00","2020-07-09","24067","https://play.google.com/store/apps/details?id=com.lilithgame.roc.gp"
"15","-6","Sports","Captain Tsubasa: Dream Team","KLab","0.0","每件HK$8.00-HK$618.00","2020-06-26","23587","https://play.google.com/store/apps/details?id=com.klab.captain283.global"
"16","-4","Adventure","Pokémon GO","Niantic, Inc.","0.0","每件HK$8.00-HK$788.00","2020-07-23","21792","https://play.google.com/store/apps/details?id=com.nianticlabs.pokemongo"
"17","+13","Strategy","新三國志手機版-光榮特庫摩授權","BBGame HK","0.0","每件HK$15.00-HK$788.00","2020-07-21","18692","https://play.google.com/store/apps/details?id=com.bbgame.sgzapk.hk"
"18","+4","Strategy","守望黎明","Long Tech Network Limited","0.0","每件HK$8.00-HK$1,399.00","2020-07-16","17586","https://play.google.com/store/apps/details?id=com.more.dayzsurvival.gp"
"19","-9","Action","怪物彈珠 - RPG手機遊戲","XFLAG, Inc.","0.0","每件HK$8.00-HK$788.00","2020-07-14","16578","https://play.google.com/store/apps/details?id=jp.co.mixi.monsterstrikeTW"
"20","-","Strategy","王国纪元 (Lords Mobile)","IGG.COM","0.0","每件HK$7.00-HK$1,588.00","2020-06-12","14818","https://play.google.com/store/apps/details?id=com.igg.android.lordsmobile"
"21","-4","Strategy","叫我萬歲爺——皇帝宮廷養成手遊","Clicktouch Co., Ltd.","0.0","每件HK$8.00-HK$3,099.00","2020-07-25","14194","https://play.google.com/store/apps/details?id=com.wsy.google.hk.wansuiye"
"22","+9","Sports","BFB","nxTomo Games Ltd.","0.0","每件HK$7.00-HK$1,225.00","2020-05-18","12888","https://play.google.com/store/apps/details?id=com.nxtomo.bfbhk"
"23","+68","Lifestyle","Tinder","Tinder","0.0","每件HK$7.68-HK$2,349.00","2020-07-16","12630","https://play.google.com/store/apps/details?id=com.tinder"
"24","-6","Adventure","真三國大戰2","株式会社 GAE_HK","0.0","每件HK$8.00-HK$769.00","2020-06-20","12426","https://play.google.com/store/apps/details?id=com.sangoku2.android"
"25","-","Strategy","列王的纷争 : 周年庆典-全新骑士系统","Elex Wireless","0.0","每件HK$8.00-HK$3,088.00","2020-07-16","12312","https://play.google.com/store/apps/details?id=com.hcg.cok.gp"
"26","-11","Action","PUBG MOBILE-全新地圖：LIVIK","Tencent Games","0.0","每件HK$8.00-HK$1,559.00","2020-07-07","11672","https://play.google.com/store/apps/details?id=com.tencent.ig"
"27","+312","Role Playing","ANOTHER EDEN 穿越時空的貓","WFS, Inc.","0.0","每件HK$8.00-HK$618.00","2020-07-14","11418","https://play.google.com/store/apps/details?id=games.wfs.anothereden"
"28","-25","Role Playing","Dragalia Lost ～失落的龙约～","Nintendo Co., Ltd.","0.0","每件HK$8.00-HK$618.00","2020-06-17","11282","https://play.google.com/store/apps/details?id=com.nintendo.zaga"
"29","-","Role Playing","天堂2：革命","Netmarble","0.0","每件HK$8.00-HK$788.00","2020-07-21","10784","https://play.google.com/store/apps/details?id=com.netmarble.revolutionthm"
"30","+9","Action","荒野乱斗","Supercell","0.0","每件HK$8.00-HK$788.00","2020-07-08","10214","https://play.google.com/store/apps/details?id=com.supercell.brawlstars"
"31","+10","Strategy","部落冲突:皇室战争(Clash Royale)","Supercell","0.0","每件HK$8.00-HK$788.00","2020-04-17","10013","https://play.google.com/store/apps/details?id=com.supercell.clashroyale"
"32","new","Music & Audio","Pandora - Streaming Music, Radio & Podcasts","Pandora","0.0","$0.99 - $9.99 per item","2020-03-03","9999","https://play.google.com/store/apps/details?id=com.pandora.android"
"33","+82","Strategy","火器時代 (Guns of Glory)","Century Game","0.0","每件HK$8.00-HK$788.00","2020-07-20","9172","https://play.google.com/store/apps/details?id=com.diandian.gog"
"34","+31","Productivity","Google One","Google LLC","0.0","每件HK$8.00-HK$1,199.00","2020-07-23","9162","https://play.google.com/store/apps/details?id=com.google.android.apps.subscriptions.red"
"35","+14","Role Playing","Idle Heroes","DHGAMES","0.0","每件HK$8.00-HK$779.00","2020-06-08","9131","https://play.google.com/store/apps/details?id=com.droidhang.ad"
