"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Education","Udemy - 在线课程","Udemy","0.0","每件HK$8.00-HK$1,629.00","2020-07-16","291217","https://play.google.com/store/apps/details?id=com.udemy.android"
"2","-","Education","Blinkist - Nonfiction Books","Blinks Labs GmbH","0.0","每件HK$8.00-HK$1,188.00","2020-07-20","123061","https://play.google.com/store/apps/details?id=com.blinkslabs.blinkist.android"
"3","-","Education","多邻国｜免费学英语","Duolingo","0.0","每件HK$8.00-HK$996.00","2020-07-20","117421","https://play.google.com/store/apps/details?id=com.duolingo"
"4","+8","Education","EWA English: 学习英语","Lithium Lab Pte Ltd","0.0","每件HK$13.00-HK$1,149.00","2020-07-01","56972","https://play.google.com/store/apps/details?id=com.ewa.ewaapp"
"5","+1","Education","跟忆术家学语言: 英语、 日语、意大利语、 西班牙语、 德语、 法语、 俄语、 韩语、 阿拉伯语等","Memrise","0.0","每件HK$7.00-HK$1,088.00","2020-07-22","55663","https://play.google.com/store/apps/details?id=com.memrise.android.memrisecompanion"
"6","-2","Education","Snapask: 一对一即时课业辅导","Snapask","0.0","每件HK$8.00-HK$2,938.00","2020-07-21","48632","https://play.google.com/store/apps/details?id=co.appedu.snapask"
"7","+6","Education","VoiceTube 看视频学英语：自然而然记住句型单字","VoiceTube","0.0","每件HK$78.00-HK$1,728.00","2020-07-23","42023","https://play.google.com/store/apps/details?id=org.redidea.voicetube"
"8","+3","Education","Bright — English for beginners","EnglishApps","0.0","每件HK$39.90-HK$299.00","2020-06-08","35134","https://play.google.com/store/apps/details?id=com.engbright"
"9","+22","Education","Rosetta Stone：学习语言","Rosetta Stone Ltd","0.0","每件HK$8.00-HK$1,568.00","2020-07-08","28754","https://play.google.com/store/apps/details?id=air.com.rosettastone.mobile.CoursePlayer"
"10","-3","Education","Drops：學習39種新語言","Language Drops","0.0","每件HK$8.00-HK$1,509.00","2020-07-22","27109","https://play.google.com/store/apps/details?id=com.languagedrops.drops.international"
"11","-1","Education","Epic!童书海洋","Epic! Creations Inc","0.0","每件HK$38.68-HK$559.00","2020-07-17","26204","https://play.google.com/store/apps/details?id=com.getepic.Epic"
"12","+58","Education","flowkey流琴: 学习钢琴演奏","flowkey","0.0","每件HK$158.00-HK$2,388.00","2020-06-25","20347","https://play.google.com/store/apps/details?id=com.flowkey.app"
"13","new","Education","카카오키즈","야나두","0.0","₩999 - ₩100,000 per item","2020-02-04","20000","https://play.google.com/store/apps/details?id=com.bluepin.kidsworldforgoogleplay"
"14","-6","Education","學習韓文 · 日文 · 英文 · 西文 · 法文 · 德文 - LingoDeer","LingoDeer - Learn Languages with fun","0.0","每件HK$8.00-HK$1,249.00","2020-07-16","19079","https://play.google.com/store/apps/details?id=com.lingodeer"
"15","-6","Education","Lingokids - playlearning™  英文應用","Lingokids - English Learning For Kids","0.0","每件HK$7.00-HK$1,059.00","2020-07-13","18877","https://play.google.com/store/apps/details?id=es.monkimun.lingokids"
"16","-2","Education","Busuu 博說：學習語言 – 英文、日文、西班牙文等更多語言","Busuu","0.0","每件HK$7.00-HK$1,299.99","2020-07-17","18084","https://play.google.com/store/apps/details?id=com.busuu.android.enc"
"17","-12","Education","Elevate - Brain Training","Elevate  Labs","0.0","每件HK$7.00-HK$1,248.00","2020-07-20","17729","https://play.google.com/store/apps/details?id=com.wonder"
"18","-3","Education","FluentU: Learn Languages with videos","FluentU","0.0","每件HK$8.00-HK$1,869.00","2020-07-21","17181","https://play.google.com/store/apps/details?id=com.fluentflix.fluentu"
"19","+1","Education","Innovative 101: Learn Spanish, English, & 32 more","Innovative Language Learning USA, LLC","0.0","每件HK$61.94-HK$2,478.00","2020-06-21","15832","https://play.google.com/store/apps/details?id=com.innovativelanguage.innovativelanguage101"
"20","+6","Education","Headway: Books' Key Ideas","Books Made Easy Corp","0.0","每件HK$39.99-HK$998.00","2020-07-14","15477","https://play.google.com/store/apps/details?id=com.headway.books"
"21","-5","Education","HelloTalk – 练口语学外语和世界各地的人交友","HelloTalk Learn Languages App","0.0","每件HK$8.00-HK$1,888.00","2020-07-13","14997","https://play.google.com/store/apps/details?id=com.hellotalk"
"22","+6","Education","Babbel - Learn Languages - Spanish, French & More","Babbel","0.0","每件HK$99.00-HK$630.00","2020-07-23","14446","https://play.google.com/store/apps/details?id=com.babbel.mobile.android.en"
"23","-4","Education","Tandem语言交换 - 找到老外语伴，视频聊天学外语","Tripod Technology GmbH","0.0","每件HK$23.00-HK$478.00","2020-06-23","14252","https://play.google.com/store/apps/details?id=net.tandem"
"24","-3","Education","智客– Peak: Brain Training","Brainbow Limited","0.0","每件HK$7.00-HK$818.00","2020-07-01","14094","https://play.google.com/store/apps/details?id=com.brainbow.peak.app"
"25","-3","Education","扫描翻译官 - 免费照片翻译，文字扫描识别，生成PDF文件","Aresmob Studio","0.0","每件HK$38.00-HK$78.00","2020-05-27","13692","https://play.google.com/store/apps/details?id=com.aresmob.scantranslator"
"26","+7","Education","Skillshare 在线课程","Skillshare, Inc","0.0","每件HK$77.43-HK$779.00","2020-07-08","13471","https://play.google.com/store/apps/details?id=com.skillshare.Skillshare"
"27","new","Education","getAbstract: Book Summaries","getabstract","0.0","$4.99 - $299.99 per item","2020-03-04","12060","https://play.google.com/store/apps/details?id=com.soxes.getAbstract"
"28","+17","Education","Drops: Learn Cantonese Chinese language for free!","Language Drops","0.0","每件HK$23.00-HK$1,459.00","2020-07-08","10940","https://play.google.com/store/apps/details?id=com.languagedrops.drops.learn.learning.speak.language.chinese.cantonese.hanzi.pinyin.words"
"29","-5","Education","Brilliant","Brilliant.org","0.0","每件HK$7.68-HK$1,168.00","2020-06-24","10361","https://play.google.com/store/apps/details?id=org.brilliant.android"
"30","-7","Education","Lumosity: Brain Training","Lumos Labs, Inc.","0.0","每件HK$7.67-HK$469.00","2020-05-28","10001","https://play.google.com/store/apps/details?id=com.lumoslabs.lumosity"
"31","+66","Education","AURALBOOK (ABRSM英国皇家音乐学院第五级用)","Playnote Limited","0.0","每件HK$148.00-HK$338.00","2020-01-06","9640","https://play.google.com/store/apps/details?id=com.playnote.abrsm5"
"32","-15","Education","Mimo: Learn coding in HTML, CSS, JavaScript & more","Mimohello GmbH","0.0","每件HK$78.00-HK$1,778.00","2020-07-02","9534","https://play.google.com/store/apps/details?id=com.getmimo"
"33","+133","Education","Drops: 무료로 프랑스어 및 단어 배우기","Language Drops","0.0","$2.99 - $169.99 per item","2020-03-06","9434","https://play.google.com/store/apps/details?id=com.languagedrops.drops.learn.learning.speak.language.french.words"
"34","-","Education","学习英语,法语,西班牙语,德语,意大利语,俄语,日语 - Mondly","ATi Studios","0.0","每件HK$34.50-HK$1,439.99","2020-04-03","9314","https://play.google.com/store/apps/details?id=com.atistudios.mondly.languages"
"35","new","Education","AURALBOOK (ABRSM 英皇考级 第一至八级用)","Playnote Limited","0.0","每件HK$88.00-HK$488.00","2020-07-15","8721","https://play.google.com/store/apps/details?id=com.playnote.abrsm8"
"36","-4","Education","编程中心：学会编码","Coding and Programming","0.0","每件HK$7.30-HK$2,888.00","2020-07-15","8086","https://play.google.com/store/apps/details?id=com.freeit.java"
"37","+1","Education","Star Walk 2 Free - 夜空地图: 观看天空中的星星，星座，行星和卫星","Vito Technology","0.0","每件HK$7.00-HK$48.00","2020-05-05","7971","https://play.google.com/store/apps/details?id=com.vitotechnology.StarWalk2Free"
"38","-13","Education","Pimsleur - Learn Conversation Fast - 51 Languages","Simon & Schuster","0.0","每件HK$118.00-HK$1,249.00","2020-06-16","7909","https://play.google.com/store/apps/details?id=com.simonandschuster.pimsleur.unified.android"
"39","new","Education","AI 토익 튜터, 산타","Riiid!","0.0","₩39,000 - ₩249,000 per item","2020-03-03","7837","https://play.google.com/store/apps/details?id=co.riiid.vida"
"40","+42","Education","和ABA English一起学英语","ABA English","0.0","每件HK$7.00-HK$1,679.56","2020-06-15","7544","https://play.google.com/store/apps/details?id=com.abaenglish.videoclass"
"41","+198","Education","The Great Courses Plus - Online Learning Videos","The Teaching Company","0.0","每件HK$158.00-HK$1,408.00","2020-05-29","6857","https://play.google.com/store/apps/details?id=com.tgc.greatcoursesplus"
"42","-1","Education","Jolly Phonics Lessons","Jolly Futures Technologies","0.0","$0.99 - $12.99 per item","2020-01-14","6693","https://play.google.com/store/apps/details?id=com.gilbertjolly.teachphonics.teachers"
