"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel & Local","Flightradar24 航班追踪","Flightradar24 AB","0.0","每件HK$9.90-HK$519.00","2020-05-12","310000","https://play.google.com/store/apps/details?id=com.flightradar24free"
"2","+1","Travel & Local","Mobile Passport","Airside Mobile Inc.","0.0","每件HK$39.90-HK$118.00","2020-05-20","129777","https://play.google.com/store/apps/details?id=us.mobilepassport"
"3","+2","Travel & Local","TourBar-寻找驴友","TourBar","0.0","每件HK$28.00-HK$1,089.00","2020-04-23","78401","https://play.google.com/store/apps/details?id=com.tourbar"
"4","-","Travel & Local","iPhiGéNie","iPhiGéNie-Optima","0.0","每件HK$9.02-HK$289.00","2020-06-19","69297","https://play.google.com/store/apps/details?id=com.iphigenie"
"5","+2","Travel & Local","Visorando GPS randonnée","Visorando","0.0","每件HK$41.90-HK$159.45","2020-07-07","54367","https://play.google.com/store/apps/details?id=org.visorando.android"
"6","+14","Travel & Local","AutoMapa - nawigacja GPS, CB Radio, radary, korki","AutoMapa sp. z o.o.","0.0","每件HK$13.00-HK$318.00","2020-07-15","40164","https://play.google.com/store/apps/details?id=pl.aqurat.automapa"
"7","+4","Travel & Local","Outdooractive：徒步和骑行路线，GPS和导航","Outdooractive GmbH","0.0","每件HK$8.00-HK$528.00","2020-07-16","37656","https://play.google.com/store/apps/details?id=com.outdooractive.Outdooractive"
"8","-2","Travel & Local","AsianMate  - 查找日本本地向导","ATSTLLC","0.0","每件HK$70.90-HK$2,179.00","2020-07-11","33557","https://play.google.com/store/apps/details?id=asia.jmate.travelfriends"
"9","+9","Travel & Local","park4night - camping car,van","AppMobilEdition","0.0","每件HK$9.90-HK$95.90","2020-07-08","29377","https://play.google.com/store/apps/details?id=fr.tramb.park4night"
"10","-1","Travel & Local","Sygic Travel Maps Offline & Trip Planner","Sygic.","0.0","每件HK$29.90-HK$178.00","2020-06-15","26841","https://play.google.com/store/apps/details?id=com.tripomatic"
"11","+6","Travel & Local","MAPS.ME: 离线地图与GPS导航，规划自己的路线! 世界卫星地图与GPS导航,找到酒店","My.com B.V.","0.0","每件HK$8.00-HK$346.00","2020-07-07","26021","https://play.google.com/store/apps/details?id=com.mapswithme.maps.pro"
"12","+12","Travel & Local","OsmAnd — Offline Maps, Travel & Navigation","OsmAnd","0.0","每件HK$12.69-HK$59.99","2020-06-09","25887","https://play.google.com/store/apps/details?id=net.osmand"
"13","+14","Travel & Local","OsmAnd+ — Offline Maps, Travel & Navigation","OsmAnd","HK$38.00","每件HK$8.00-HK$44.99","2020-06-09","24817","https://play.google.com/store/apps/details?id=net.osmand.plus"
"14","-12","Travel & Local","KKFly.hk","Awesapp Limited","0.0","每件HK$8.00-HK$788.00","2020-07-08","24537","https://play.google.com/store/apps/details?id=hk.kkfly.kkfly"
"15","+30","Travel & Local","Hema Explorer - Ultimate 4x4 & remote touring app","Hema Maps Pty Ltd","HK$288.00","每件HK$55.90-HK$298.00","2016-12-19","22059","https://play.google.com/store/apps/details?id=au.com.hemamaps.explorer"
"16","-","Travel & Local","InviteTravel","Reflecto UAB","0.0","每件HK$80.90-HK$1,809.00","2020-06-26","21445","https://play.google.com/store/apps/details?id=com.invitetravel"
"17","+9","Travel & Local","AlpineQuest Off-Road Explorer","Psyberia","HK$69.90","","2020-05-26","19684","https://play.google.com/store/apps/details?id=psyberia.alpinequest.full"
"18","-5","Travel & Local","GO地圖2020for小精靈","iGameTouch Studio","0.0","每件HK$78.00-HK$218.00","2020-06-11","19161","https://play.google.com/store/apps/details?id=com.nineteen.pokeradar"
"19","-4","Travel & Local","PeakFinder","Fabio Soldati","HK$38.00","","2020-03-03","17590","https://play.google.com/store/apps/details?id=org.peakfinder.area.alps"
"20","-12","Travel & Local","StaffTraveler","StaffTraveler Solutions B.V.","0.0","$0.99 - $39.99 per item","2020-02-25","16322","https://play.google.com/store/apps/details?id=com.stafftraveler.webview"
"21","+4","Travel & Local","OruxMaps GP","jose vazquez","HK$28.00","每件HK$8.00-HK$70.90","2020-07-10","15947","https://play.google.com/store/apps/details?id=com.orux.oruxmapsDonate"
"22","-12","Travel & Local","香港远足路线","SeemGood Technology","0.0","每件HK$10.00-HK$100.00","2020-05-12","15607","https://play.google.com/store/apps/details?id=tsoiyatshing.hikingtrailhk"
"23","+7","Travel & Local","TripView","TripView Pty Ltd","HK$29.90","","2020-05-28","14077","https://play.google.com/store/apps/details?id=com.grofsoft.tripview"
"24","-1","Travel & Local","All Motorhome Parkings Lite - Campercontact","Nederlandse Kampeerauto Club","0.0","每件HK$7.00-HK$70.90","2019-06-21","13990","https://play.google.com/store/apps/details?id=nl.nkc.camperplaats"
"25","-6","Travel & Local","Road to Hana Maui Driving Tour","Shaka Guide","0.0","$1.99 - $20.99 per item","2020-02-25","13756","https://play.google.com/store/apps/details?id=com.shaka.guide.maui"
"26","+13","Travel & Local","خرائط الصحراء - السعودية","خرائط البر","HK$128.00","","2020-05-16","13462","https://play.google.com/store/apps/details?id=desert.maps.saudi"
"27","+5","Travel & Local","山と高原地図","株式会社昭文社","0.0","每件HK$21.43-HK$36.41","2020-07-02","12080","https://play.google.com/store/apps/details?id=jp.mappleon.android.yamatokogen"
"28","-7","Travel & Local","App in the Air","App in the Air, Inc.","0.0","每件HK$8.00-HK$579.00","2020-06-07","11285","https://play.google.com/store/apps/details?id=com.aita"
"29","+17","Travel & Local","航班追踪器","Impala Studios","0.0","","2020-05-02","11043","https://play.google.com/store/apps/details?id=com.flistholding.flightplus"
"30","-8","Travel & Local","LiveATC for Android","LiveATC","HK$29.90","","2020-01-31","10765","https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app"
"31","+4","Travel & Local","CityMaps2Go  Plan Trips Travel Guide Offline Maps","Ulmon GmbH","0.0","$10.99 - $32.99 per item","2020-03-04","10636","https://play.google.com/store/apps/details?id=com.ulmon.android.citymaps2go"
"32","+20","Travel & Local","WikiCamps Australia","WikiCamps","0.0","每件HK$41.86","2020-07-09","10411","https://play.google.com/store/apps/details?id=au.com.angryrobot.wikicamps"
"33","-19","Travel & Local","世界迷雾","Ollix","HK$158.00","","2020-07-09","9707","https://play.google.com/store/apps/details?id=com.ollix.fogofworld"
"34","+9","Travel & Local","עמוד ענן -מדריך הטיולים החברתי","Yoav Rofe","0.0","每件HK$31.20-HK$878.00","2020-07-17","9468","https://play.google.com/store/apps/details?id=com.amudanan.amudanan"
"35","+13","Travel & Local","山と高原地図ホーダイ","株式会社昭文社","0.0","每件HK$24.90","2020-06-09","9150","https://play.google.com/store/apps/details?id=jp.co.mapple.yamahodai"
"36","-8","Travel & Local","Guthook Guides: Hike & Bike Offline","AtlasGuides","0.0","每件HK$15.00-HK$468.00","2020-07-12","8838","https://play.google.com/store/apps/details?id=com.atlasguides.guthook"
"37","+14","Travel & Local","izi.TRAVEL: Get Audio Tour Guide & Travel Guide","Informap Technology Center","0.0","$0.99 - $54.99 per item","2020-03-09","8485","https://play.google.com/store/apps/details?id=travel.opas.client"
"38","+3","Travel & Local","Mohegan Sun Connecticut","Mohegan Sun","0.0","$0.99 - $199.99 per item","2019-11-22","8072","https://play.google.com/store/apps/details?id=com.mvl.MoheganSunConnecticut"
"39","+8","Travel & Local","TravelSpend -  Track Travel Expenses & Trip Budget","TravelSpend","0.0","$0.99 - $34.99 per item","2020-02-05","7951","https://play.google.com/store/apps/details?id=tech.jonas.travelbudget"
