"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Arcade","Minecraft","Mojang","HK$53.00","每件HK$7.00-HK$389.00","2020-07-16","290000","https://play.google.com/store/apps/details?id=com.mojang.minecraftpe"
"2","-","Simulation","迷你地铁","Dinosaur Polo Club","HK$8.00","","2019-12-23","134583","https://play.google.com/store/apps/details?id=nz.co.codepoint.minimetro"
"3","+1","Sports","NBA 2K19","2K, Inc.","HK$60.90","$0.99 - $49.99 per item","2019-03-07","67204","https://play.google.com/store/apps/details?id=com.t2ksports.nba2k19and"
"4","-1","Music","Cytus II","Rayark International Limited","HK$14.90","每件HK$8.00-HK$278.00","2020-07-10","60025","https://play.google.com/store/apps/details?id=com.rayark.cytus2"
"5","+6","Photography","TouchRetouch","ADVA Soft","HK$15.49","","2020-07-13","53931","https://play.google.com/store/apps/details?id=com.advasoft.touchretouch"
"6","+2","Strategy","DungeonMaker","GameCoaster","HK$23.00","每件HK$23.00-HK$339.00","2020-06-11","42373","https://play.google.com/store/apps/details?id=com.GameCoaster.DungeonMaker"
"7","+5","Role Playing","ICEY-艾希","X.D. Network","HK$23.00","","2018-08-29","35506","https://play.google.com/store/apps/details?id=com.fantablade.icey"
"8","+10","Simulation","Poly Bridge","Dry Cactus Limited","HK$8.00","","2018-04-17","32447","https://play.google.com/store/apps/details?id=com.drycactus.polybridge"
"9","-4","Sports","Football Manager 2019 Mobile","SEGA","HK$78.00","$0.99 - $14.99 per item","2019-07-31","29632","https://play.google.com/store/apps/details?id=football.manager.games.fm19.mobile"
"10","-","Action","杀手：狙击。解锁史诗级枪只，射杀对手并称霸排行榜！(Hitman Sniper)","SQUARE ENIX LTD","HK$8.00","每件HK$8.00-HK$398.00","2020-07-15","26157","https://play.google.com/store/apps/details?id=com.squareenixmontreal.hitmansniperandroid"
"11","+6","Strategy","Age of Civilizations II","Łukasz Jakowski","HK$25.00","","2018-12-20","25216","https://play.google.com/store/apps/details?id=age.of.civilizations2.jakowski.lukasz"
"12","+3","Puzzle","Agent A - 伪装游戏","Yak & Co","HK$7.00","","2020-04-10","21837","https://play.google.com/store/apps/details?id=co.yakand.agentaapuzzleindisguise"
"13","+8","Strategy","王国保卫战：复仇 (Kingdom Rush Vengeance)","Ironhide Game Studio","HK$39.90","每件HK$15.00-HK$788.00","2020-07-17","20536","https://play.google.com/store/apps/details?id=com.ironhidegames.android.kingdomrush4"
