"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Education","Driving Theory Test 4 in 1 Kit + Hazard Perception","Focus Multimedia Ltd - Driving Test Success","HK$39.90","","2020-07-21","320000","https://play.google.com/store/apps/details?id=uk.co.focusmm.DTSCombo"
"2","-","Education","Official DVSA Theory Test Kit","TSO (The Stationery Office)","HK$49.90","","2020-07-17","160000","https://play.google.com/store/apps/details?id=uk.co.tso.ctt"
"3","-","Education","Toca Hair Salon 3","Toca Boca","HK$28.00","","2019-03-06","102321","https://play.google.com/store/apps/details?id=com.tocaboca.tocahairsalon3"
"4","-","Education","Stellarium 天文","Noctua Software","HK$18.00","","2020-07-14","58960","https://play.google.com/store/apps/details?id=com.noctuasoftware.stellarium"
"5","+1","Education","Toca Life: Hospital","Toca Boca","HK$28.00","","2018-06-12","57162","https://play.google.com/store/apps/details?id=com.tocaboca.tocahospital"
"6","+1","Education","CITB op/spec HS&E test 2018","CITB","HK$50.90","","2019-03-25","51245","https://play.google.com/store/apps/details?id=uk.co.citb.imagitech.gt100.android.vy18.plus"
"7","-2","Education","Toca Life: Neighborhood","Toca Boca","HK$28.00","","2018-11-15","46564","https://play.google.com/store/apps/details?id=com.tocaboca.tocaneighborhood"
"8","+6","Education","FlyExam Browser","Delta Microtech","HK$8.00","","2020-06-29","44179","https://play.google.com/store/apps/details?id=com.blogspot.scqq.b0x"
"9","-1","Education","儿童画! 一步一步地重描点线。","Bini Bambini","HK$18.00","","2018-08-23","37941","https://play.google.com/store/apps/details?id=com.binibambini.Mini"
"10","-1","Education","Toca Lab: Elements","Toca Boca","HK$28.00","","2017-06-01","32739","https://play.google.com/store/apps/details?id=com.tocaboca.tocalab"
"11","-1","Education","元素周期表 专业版 2020","www.chernykh.tech","HK$8.00","","2020-07-03","32684","https://play.google.com/store/apps/details?id=august.mendeleev.pro"
"12","-1","Education","Toca Life: Vacation","Toca Boca","HK$28.00","","2018-06-21","26830","https://play.google.com/store/apps/details?id=com.tocaboca.tocavacation"
"13","-","Education","Полиглот. Английский язык","AxiomMobile","HK$39.00","每件HK$7.67-HK$19.00","2020-06-26","24078","https://play.google.com/store/apps/details?id=com.axidep.polyglotfull"
"14","-2","Education","淘卡宝卡：学校 (Toca Life: School)","Toca Boca","HK$28.00","","2018-07-06","20888","https://play.google.com/store/apps/details?id=com.tocaboca.tocaschool"
"15","-","Education","托卡生活：办公室","Toca Boca","HK$28.00","","2020-06-02","20741","https://play.google.com/store/apps/details?id=com.tocaboca.tocaoffice"
"16","+46","Education","Mobile Observatory 3 Pro - Astronomy","Wolfgang Zima","HK$44.90","每件HK$8.00-HK$148.00","2020-07-10","18982","https://play.google.com/store/apps/details?id=com.zima.mobileobservatorypro"
"17","-","Education","Toca Life: Pets","Toca Boca","HK$28.00","","2018-07-06","17151","https://play.google.com/store/apps/details?id=com.tocaboca.tocapets"
"18","+8","Education","The Official DVSA Hazard Perception Practice","TSO (The Stationery Office)","HK$24.90","","2020-07-15","16391","https://play.google.com/store/apps/details?id=uk.co.tso.hazardperception"
"19","+5","Education","iTheorie Autotheorie 2020","Swift Management AG","HK$148.00","","2020-04-19","16206","https://play.google.com/store/apps/details?id=ch.swift.itheorieasa"
"20","-4","Education","Star Walk 2 - 天文指南和天空图: 随时随地观看星星，星座，行星和卫星","Vito Technology","HK$24.90","每件HK$7.00-HK$23.00","2020-05-05","16198","https://play.google.com/store/apps/details?id=com.vitotechnology.StarWalk2"
"21","+1","Education","Führerschein PRO 2020 - Fahrschule Theorie","theorie24.de","HK$38.00","","2020-06-14","15898","https://play.google.com/store/apps/details?id=de.theorie24.fs.auto"
"22","-2","Education","Toca Life: Stable","Toca Boca","HK$28.00","","2018-07-06","15542","https://play.google.com/store/apps/details?id=com.tocaboca.tocastable"
"23","-5","Education","Toca Kitchen Sushi Restaurant","Toca Boca","HK$28.00","","2019-09-19","13963","https://play.google.com/store/apps/details?id=com.tocaboca.tocakitchensushi"
"24","+154","Education","Word Hunter - İngilizce Sözlük | Kelime Ezberleme","Dnsapps","HK$8.00","","2019-04-28","13888","https://play.google.com/store/apps/details?id=org.wordhunter.premium"
"25","+8","Education","Dumb Ways JR Boffo's Breakfast","Metro Trains","HK$18.00","","2017-01-20","13479","https://play.google.com/store/apps/details?id=au.com.metro.dwjr.boffos"
"26","-5","Education","Toca Life: After School","Toca Boca","HK$28.00","","2018-06-21","13128","https://play.google.com/store/apps/details?id=com.tocaboca.tocaafterschool"
"27","-8","Education","XtraMath","XtraMath","HK$38.00","","2020-01-18","12934","https://play.google.com/store/apps/details?id=org.xtramath.mathfacts"
"28","-1","Education","CITB MAP HS&E test 2018","CITB","HK$50.90","","2019-03-25","12901","https://play.google.com/store/apps/details?id=uk.co.citb.imagitech.gt200.android.vy18.plus"
"29","+188","Education","WiFi Solver FDTD","jasmcole","HK$7.00","","2020-05-17","12799","https://play.google.com/store/apps/details?id=com.jasmcole.wifisolver"
"30","+8","Education","Apprendre l'Anglais rapidement - MosaLingua","MosaLingua Crea","HK$44.90","每件HK$14.90-HK$95.90","2020-06-11","12207","https://play.google.com/store/apps/details?id=com.mosalingua.en"
"31","-3","Education","SkyView® Explore the Universe","Terminal Eleven","HK$15.44","","2019-12-03","11793","https://play.google.com/store/apps/details?id=com.t11.skyview"
"32","-9","Education","Theorieprüfung Auto 2019 Fahrlehrer24","Fahrlehrer24.ch","HK$139.00","","2019-10-02","10466","https://play.google.com/store/apps/details?id=com.tigerlab.fahrlehrer"
"33","+4","Education","IHK.AEVO Trainieren – Testen","DIHK-Bildungs-GmbH","HK$50.90","","2020-02-13","10253","https://play.google.com/store/apps/details?id=de.dihk.ihk.aevo"
"34","-3","Education","Toca Life: Town","Toca Boca","HK$28.00","","2018-07-06","10248","https://play.google.com/store/apps/details?id=com.tocaboca.tocatown"
"35","-10","Education","Vocabulary.com","Vocabulary.com","HK$23.18","","2014-05-02","9944","https://play.google.com/store/apps/details?id=com.vocabulary.app"
"36","-7","Education","Toca Life: Farm","Toca Boca","HK$28.00","","2018-07-06","9918","https://play.google.com/store/apps/details?id=com.tocaboca.tocalifefarm"
"37","+125","Education","Sago Mini超级果汁","Sago Mini","HK$28.00","","2019-02-20","9387","https://play.google.com/store/apps/details?id=com.sagosago.Juice.googleplay"
"38","-3","Education","Toca Pet Doctor","Toca Boca","HK$28.00","","2017-09-19","8892","https://play.google.com/store/apps/details?id=com.tocaboca.tocapetdoctor"
"39","+21","Education","SPI言語 【Study Pro】","Study Pro","HK$18.00","₩1,017 - ₩1,184 per item","2013-08-20","8835","https://play.google.com/store/apps/details?id=studypro.spi"
"40","-6","Education","Ta Körkort","Teoriappar Sverige AB","HK$179.00","","2019-10-08","8792","https://play.google.com/store/apps/details?id=se.teoriappar.takorkort"
"41","-11","Education","iTheory Driver Theory Test (DTT) Ireland 2020","Swift Management AG","HK$48.00","","2019-12-08","8446","https://play.google.com/store/apps/details?id=ch.swift.itheorie.ie"
"42","+22","Education","SPI非言語 【Study Pro】","Study Pro","HK$18.00","","2016-06-02","8382","https://play.google.com/store/apps/details?id=studypro.spi.higengo"
"43","-4","Racing","Blaze and the Monster Machines","Nickelodeon","HK$29.90","","2018-03-15","8180","https://play.google.com/store/apps/details?id=com.mtvn.blazegoogleHD"
"44","-8","Education","Fahrschule.de Führerschein 2020","Fahrschule.de Internetdienste GmbH","HK$89.90","","2020-05-09","7677","https://play.google.com/store/apps/details?id=com.fahrschule.de.full"
"45","+7","Education","Autoškola 2020 Prémium","James Deer","HK$18.00","","2020-01-01","7125","https://play.google.com/store/apps/details?id=cz.jamesdeer.autotest"
"46","-5","Education","赛哥迷你 宝贝","Sago Mini","HK$28.00","","2016-10-28","6888","https://play.google.com/store/apps/details?id=com.sagosago.Babies.googleplay"
"47","-5","Education","Flashcards Deluxe","OrangeOrApple.com","HK$29.90","","2020-05-26","6583","https://play.google.com/store/apps/details?id=com.orangeorapple.flashcards"
"48","-3","Education","Math Tricks PRO","Antoni Ion","HK$14.90","","2019-10-13","6322","https://play.google.com/store/apps/details?id=example.matharithmetics_pro"
"49","-9","Education","Toca Hair Salon Me","Toca Boca","HK$28.00","","2020-07-08","6303","https://play.google.com/store/apps/details?id=com.tocaboca.hairsalonme"
"50","-6","Education","Toca Builders","Toca Boca","HK$28.00","","2017-07-13","6162","https://play.google.com/store/apps/details?id=com.tocaboca.tocabuild"
"51","-","Education","Toca Mini","Toca Boca","HK$28.00","","2019-09-19","6024","https://play.google.com/store/apps/details?id=com.tocaboca.tocamini"
"52","-20","Education","淘卡宝卡：都市 (Toca Life: City)","Toca Boca","HK$28.00","","2018-07-06","5966","https://play.google.com/store/apps/details?id=com.tocaboca.tocacity"
"53","+5","Education","Learn Spanish with MosaLingua","MosaLingua Crea","HK$44.90","$1.99 - $12.46 per item","2020-03-09","5870","https://play.google.com/store/apps/details?id=com.mosalingua.esp"
"54","+25","Education","Motorcycle Theory Test +Hazard","Deep River Development Ltd","HK$24.38","","2020-01-15","5827","https://play.google.com/store/apps/details?id=com.deepriverdev.motorcycle.hpt"
"55","+13","Education","Sago Mini Pet Cafe","Sago Mini","HK$28.00","","2019-07-10","5790","https://play.google.com/store/apps/details?id=com.sagosago.PetCafe.googleplay"
"56","-2","Education","Toca Nature","Toca Boca","HK$28.00","","2019-09-19","5556","https://play.google.com/store/apps/details?id=com.tocaboca.tocanature"
"57","-10","Education","PROmote - Army Study Guide","ForceReadiness.com","HK$48.00","","2020-06-15","5490","https://play.google.com/store/apps/details?id=com.forcereadiness.armypromote"
"58","+27","Education","Astrolapp Live Planets and Sky Map","Ecliptical Apps","HK$15.00","","2020-04-25","5456","https://play.google.com/store/apps/details?id=com.mkreidl.astrolapp"
"59","-4","Education","Toca Hair Salon 2","Toca Boca","HK$28.00","","2017-08-21","5375","https://play.google.com/store/apps/details?id=com.tocaboca.hairsalon2"
"60","+7","Education","DragonBox Numbers - 龙箱 算数入门","Kahoot DragonBox AS","HK$60.90","","2020-05-13","5303","https://play.google.com/store/apps/details?id=com.wewanttoknow.Numbers"
"61","+16","Education","LGV & PCV Theory Test & Hazard Perception Kit 2020","Focus Multimedia Ltd - Driving Test Success","HK$58.00","","2019-09-23","4968","https://play.google.com/store/apps/details?id=uk.co.focusmm.DTSComboLGV"
"62","+42","Education","Полиглот. Продвинутый курс","AxiomMobile","HK$39.00","","2019-05-23","4944","https://play.google.com/store/apps/details?id=com.axidep.polyglotadvanced"
"63","+19","Education","Solar Walk 2 - 宇宙：太阳系模拟，太空探索和航天器3D模型","Vito Technology","HK$24.90","每件HK$7.00-HK$52.99","2020-04-10","4921","https://play.google.com/store/apps/details?id=com.vitotechnology.SolarWalk2"
"64","-21","Education","Stack the States®","Dan Russell-Pinson","HK$23.00","","2018-11-24","4782","https://play.google.com/store/apps/details?id=com.freecloud.StackTheStates"
"65","-9","Education","Official Life in the UK Test","TSO (The Stationery Office)","HK$34.90","","2017-01-17","4725","https://play.google.com/store/apps/details?id=uk.co.tso.lituk"
"66","-3","Education","AEVO-Held Prüfungsvorbereitung","superdelta.de","HK$43.00","","2020-06-21","4714","https://play.google.com/store/apps/details?id=de.superdelta.aevoheld"
"67","+3","Education","小猴学前班之“午餐盒”","THUP Games","HK$15.00","","2019-08-06","4623","https://play.google.com/store/apps/details?id=com.thup.lunchbox"
"68","+5","Education","PhET Simulations","University of Colorado Boulder","HK$8.00","","2017-08-10","4588","https://play.google.com/store/apps/details?id=edu.colorado.phet.android_app"
"69","+17","Education","数学之王初级版","Oddrobo Software AB","HK$28.00","","2019-08-22","4548","https://play.google.com/store/apps/details?id=com.oddrobo.komj"
"70","-1","Education","Pepi Tree","Pepi Play","HK$23.00","","2020-01-02","4522","https://play.google.com/store/apps/details?id=air.com.pepiplay.pepitree"
"71","-18","Education","Prepware General","Aviation Supplies & Academics","HK$38.00","","2019-12-13","4499","https://play.google.com/store/apps/details?id=com.asa2fly.prepware.general"
"72","-1","Education","Prepware Powerplant","Aviation Supplies & Academics","HK$38.00","","2019-12-13","4465","https://play.google.com/store/apps/details?id=com.asa2fly.prepware.powerplant"
"73","-23","Education","Flat Earth Sun, Moon & Zodiac Clock","Blue Water Bay Association Pay","HK$23.00","每件HK$8.00-HK$85.90","2020-04-27","4424","https://play.google.com/store/apps/details?id=com.flatearthsun"
"74","+27","Education","Müdür ve Müdür Yardımcılığı Sınavı 2018","Güncel Akademi","HK$58.00","","2018-03-21","4297","https://play.google.com/store/apps/details?id=com.guncelakademi.muduryardimci"
"75","-29","Education","Sago Mini 동물원","Sago Mini","HK$28.00","","2018-12-19","4287","https://play.google.com/store/apps/details?id=com.sagosago.Zoo.googleplay"
"76","+4","Education","Conni Mathe 2. Klasse","Carlsen Verlag","HK$39.68","","2017-10-26","4221","https://play.google.com/store/apps/details?id=de.carlsen.conni.lernspass.mathe2"
"77","-18","Education","Prepware Airframe","Aviation Supplies & Academics","HK$38.00","","2019-12-13","4145","https://play.google.com/store/apps/details?id=com.asa2fly.prepware.airframe"
"78","+38","Education","Prüfung MFA","EUROPA-LEHRMITTEL","HK$7.35","$1.99 per item","2017-03-27","4116","https://play.google.com/store/apps/details?id=de.irissolutions.europa.mfa"
"79","+47","Education","Te Reo Māori","AUT University","HK$32.69","","2020-01-07","4110","https://play.google.com/store/apps/details?id=com.auttereomaori"
"80","+51","Education","Rasyonel","Wrex","HK$9.90","","2019-11-15","4084","https://play.google.com/store/apps/details?id=rasyonel.android.rasyonel.com.rasyonel"
"81","-5","Education","Sago Mini Road Trip","Sago Mini","HK$28.00","","2018-09-06","4083","https://play.google.com/store/apps/details?id=com.sagosago.RoadTrip.googleplay"
"82","new","Education","大自然也太有趣！小棕鼠的自然生態百科","Circus Atos","HK$44.90","","2020-01-10","3970","https://play.google.com/store/apps/details?id=com.circusatos.littlemousesencyclopedia"
"83","-","Education","Forvo Pronunciation Guide","Forvo Media","HK$23.00","","2018-06-27","3847","https://play.google.com/store/apps/details?id=com.forvo.pronunciationguide.app"
"84","+16","Education","미국 영어. 청취","AxiomMobile","HK$19.00","","2016-10-24","3759","https://play.google.com/store/apps/details?id=com.axidep.polyglotvoicereader.full"
"85","+9","Education","C4droid - C/C++ compiler & IDE","n0n3m4","HK$29.90","","2019-07-24","3716","https://play.google.com/store/apps/details?id=com.n0n3m4.droidc"
"86","+25","Education","Pinkfong The Police","SMARTSTUDY PINKFONG","HK$23.00","","2019-03-27","3716","https://play.google.com/store/apps/details?id=kr.co.smartstudy.pinkfongpolice_android_googlemarket"
"87","+120","Education","Official ITIL 4 Foundation App","TSO (The Stationery Office)","HK$39.90","","2020-02-20","3708","https://play.google.com/store/apps/details?id=uk.co.tso.itilfourfoundation"
"88","-23","Education","Английские Слова PRO","Aliaksandr Uvarau","HK$8.00","","2019-06-26","3661","https://play.google.com/store/apps/details?id=com.alexuvarov.android.english_words_pro"
"89","-8","Education","Magic Counting 1 to 10! PRO","MAGE Studio Kid Games","HK$14.90","","2017-01-27","3659","https://play.google.com/store/apps/details?id=com.arrowstar.BabyWizard"
"90","-16","Education","Essentials 6th Exam Prep Plus","IFSTA - International Fire Service Training Assoc.","HK$118.00","","2016-02-25","3565","https://play.google.com/store/apps/details?id=org.ifsta.e6examprep"
"91","-13","Education","CompTIA Security+ SY0-501 Prep","Konnect L.L.C","HK$49.90","","2019-08-23","3564","https://play.google.com/store/apps/details?id=com.learnzapp.securityplus"
"92","-31","Education","NZ Driving Theory Test","Leandro Palmieri","HK$19.90","","2019-02-22","3552","https://play.google.com/store/apps/details?id=nz.codeone.nzdrivingtheorytest"
"93","+30","Education","Word master 워드마스터 수능 2000(18개정)","이투스북","HK$29.90","","2020-02-04","3460","https://play.google.com/store/apps/details?id=com.etoos.wordmaster.sat20002018"
"94","+5","Education","Earth 3D - World Atlas","3Planesoft","HK$8.00","每件HK$8.00","2020-06-03","3457","https://play.google.com/store/apps/details?id=com.a3planesoft.earth101"
"95","-2","Education","晚安 马戏团","Fox & Sheep","HK$23.00","每件HK$8.25","2019-08-27","3441","https://play.google.com/store/apps/details?id=com.mobileventures.NightyNightCircus"
"96","-4","Education","Hazard Perception UK Driving Theory Test 2020","Focus Multimedia Ltd - Driving Test Success","HK$24.90","","2019-09-25","3437","https://play.google.com/store/apps/details?id=uk.co.focusmm.dts_hazard"
"97","-6","Education","Japanese Kanji Tree Pro","Andrew SJ Innes","HK$43.00","","2019-03-17","3285","https://play.google.com/store/apps/details?id=com.asji.kanjitree.pro"
"98","+12","Education","Squeebles Spelling Test","Keystagefun","HK$34.90","","2019-06-21","3256","https://play.google.com/store/apps/details?id=uk.co.keystagefun.squeeblessp"
"99","+35","Education","Theory Test +Hazard Perception","Deep River Development Ltd","HK$29.23","","2020-01-15","3216","https://play.google.com/store/apps/details?id=com.deepriverdev.car.hpt"
"100","-52","Education","Graphing Calculator Plus (X84)","Inception Mobile.","HK$15.00","","2020-04-21","3193","https://play.google.com/store/apps/details?id=com.incptmobis.calculatorplus"
"101","+53","Education","القاعدة النورانية ®","Furqan Group for Education & IT","HK$48.00","","2019-08-08","3175","https://play.google.com/store/apps/details?id=com.gplanet_tech.noraneya"
