"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel & Local","PeakFinder","Fabio Soldati","HK$38.00","","2020-03-03","320000","https://play.google.com/store/apps/details?id=org.peakfinder.area.alps"
"2","-","Travel & Local","OruxMaps GP","jose vazquez","HK$24.90","每件HK$8.00-HK$70.90","2020-07-10","138526","https://play.google.com/store/apps/details?id=com.orux.oruxmapsDonate"
"3","-","Travel & Local","TripView","TripView Pty Ltd","HK$24.90","","2020-05-28","101378","https://play.google.com/store/apps/details?id=com.grofsoft.tripview"
"4","-","Travel & Local","OsmAnd+ — Offline Maps, Travel & Navigation","OsmAnd","HK$75.90","每件HK$8.00-HK$44.99","2020-06-09","68104","https://play.google.com/store/apps/details?id=net.osmand.plus"
"5","-","Travel & Local","LiveATC for Android","LiveATC","HK$29.90","","2020-01-31","67516","https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app"
"6","-","Travel & Local","AlpineQuest Off-Road Explorer","Psyberia","HK$69.90","","2020-05-26","64253","https://play.google.com/store/apps/details?id=psyberia.alpinequest.full"
"7","-","Travel & Local","Contour lines plugin — OsmAnd","OsmAnd","HK$28.00","","2016-12-27","58844","https://play.google.com/store/apps/details?id=net.osmand.srtmPlugin.paid"
"8","-","Travel & Local","Plane Finder - Flight Tracker","pinkfroot limited","HK$50.90","每件HK$21.31","2020-05-20","39308","https://play.google.com/store/apps/details?id=com.pinkfroot.planefinder"
"9","+1","Travel & Local","Yellowstone Teton Combo GyPSy","GyPSy Guide","HK$60.90","","2019-08-01","34248","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.wy.combo"
"10","-1","Travel & Local","快乐牛 - 纯素食者和素食者的餐厅指南","HappyCow","HK$29.90","","2020-07-14","31502","https://play.google.com/store/apps/details?id=com.sisow.hcvg.healthydiningguide"
"11","-","Travel & Local","Road to Hana GyPSy Drive Tour","GyPSy Guide","HK$39.90","","2019-05-23","30201","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.mi.rh"
"12","+2","Travel & Local","Archiescampings","JahDroid","HK$23.00","","2020-01-12","25709","https://play.google.com/store/apps/details?id=jahdroid.archies"
"13","+2","Travel & Local","Maui - Full Island GyPSy Driving Tour","GyPSy Guide","HK$59.90","","2019-05-23","22243","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.mi.fit"
"14","-1","Travel & Local","Radardroid Pro","Ventero Tel.","HK$55.90","","2020-05-04","21687","https://play.google.com/store/apps/details?id=com.ventel.android.radardroid2"
"15","+7","Travel & Local","Gettysburg Driving Tour","Tour Buddy LLC.","HK$78.00","","2019-10-20","19460","https://play.google.com/store/apps/details?id=com.tb.tb633"
"16","+5","Travel & Local","PeakVisor - 3D地图、山峰识别","Routes Software SRL","HK$34.90","","2020-07-14","18155","https://play.google.com/store/apps/details?id=tips.routes.peakvisor"
"17","+6","Travel & Local","Yellowstone GyPSy Driving Tour","GyPSy Guide","HK$43.00","","2019-08-01","17555","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.wy.y"
"18","+18","Travel & Local","Tides","David Easton","HK$13.00","","2019-09-17","15781","https://play.google.com/store/apps/details?id=easton.tides"
"19","-1","Travel & Local","對話翻譯","HawsoftMob Inc.","HK$38.00","","2019-07-29","15372","https://play.google.com/store/apps/details?id=com.hawsoft.mobile.speechtranspro"
"20","+49","Travel & Local","US Public Lands","Two Steps Beyond LLC","HK$23.00","","2019-07-08","14647","https://play.google.com/store/apps/details?id=com.twostepsbeyond.uspubliclands"
"21","-2","Travel & Local","Harzer Wandernadel","Ethon Technologies GmbH","HK$35.90","","2020-07-16","14448","https://play.google.com/store/apps/details?id=de.ethon.android.hwn"
"22","-6","Travel & Local","XE Currency Converter & Money Transfers Pro","XE.com Inc.","HK$11.35","","2020-05-16","14313","https://play.google.com/store/apps/details?id=com.xe.currencypro"
"23","-11","Travel & Local","旅行英会話 - Help me Travel","Unicorn Creations","HK$75.90","","2020-05-12","14206","https://play.google.com/store/apps/details?id=com.bilingirl.helpmetravel"
"24","+29","Travel & Local","pedestrian voice navigator PRO","rausNT","HK$23.00","","2020-07-13","13216","https://play.google.com/store/apps/details?id=com.raus.i_m_going_home_v2.pro"
"25","-1","Travel & Local","Icefields Parkway GyPSy Tour","GyPSy Guide","HK$43.00","","2019-07-08","12611","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.rockies.ip"
"26","+52","Travel & Local","WiFox","foXnoMad, LLC","HK$15.00","","2020-04-09","11560","https://play.google.com/store/apps/details?id=com.foxnomad.wifox.wifox"
"27","-2","Travel & Local","Tide Table Chart","AppMosaic","HK$29.90","","2020-06-04","11211","https://play.google.com/store/apps/details?id=com.appmosaic.tidechart"
"28","+34","Travel & Local","In Sight - Norway","AppsFab AS","HK$33.00","","2019-02-11","11109","https://play.google.com/store/apps/details?id=com.appsfab.insight.norway"
"29","+17","Travel & Local","Going to the Sun Rd GyPSy Tour","GyPSy Guide","HK$29.90","","2019-05-23","10430","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.m.gtts"
"30","-3","Travel & Local","Bons Plans Voyage New York","Alex les bons plans","HK$28.00","","2019-06-22","10212","https://play.google.com/store/apps/details?id=fr.rc.nyc"
"31","-5","Travel & Local","Gylis","GIS-Centras","HK$7.02","","2018-10-31","10177","https://play.google.com/store/apps/details?id=lt.giscentras.gylis"
"32","+6","Travel & Local","Banff Lake Louise Yoho GyPSy","GyPSy Guide","HK$43.00","","2019-07-08","9802","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.rockies.llyoho"
"33","-4","Travel & Local","多时钟世界时钟","Udell Enterprises, Inc","HK$8.00","","2016-03-08","9583","https://play.google.com/store/apps/details?id=com.polyclock"
"34","+18","Travel & Local","Alhambra & Generalife Granada","MUSMon.com","HK$20.26","","2013-10-02","8666","https://play.google.com/store/apps/details?id=com.musmon.Alhambra"
"35","-4","Travel & Local","Hema Explorer - Ultimate 4x4 & remote touring app","Hema Maps Pty Ltd","HK$288.00","每件HK$55.90-HK$298.00","2016-12-19","8565","https://play.google.com/store/apps/details?id=au.com.hemamaps.explorer"
"36","-16","Travel & Local","世界迷雾","Ollix","HK$118.00","","2020-07-09","8552","https://play.google.com/store/apps/details?id=com.ollix.fogofworld"
"37","+21","Travel & Local","Rocky Mountain National Park GyPSy Guide","GyPSy Guide","HK$34.90","","2019-07-08","8367","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.col.rmnp"
"38","-3","Travel & Local","GPS Status PRO - (legacy key)","EclipSim","HK$24.90","","2013-05-23","8123","https://play.google.com/store/apps/details?id=com.eclipsim.gpstoolbox.pro"
"39","-2","Travel & Local","Marine Navigator","Ronald Koenig","HK$64.74","每件HK$18.00","2020-05-24","7983","https://play.google.com/store/apps/details?id=de.kemiro.marinenavigator2"
"40","-6","Auto & Vehicles","Fahrtenbuch GPS-Zeiterfassung PRO","Brunnlechner - Apps made in Germany","HK$80.90","每件HK$8.00","2020-06-28","7785","https://play.google.com/store/apps/details?id=brunnlechner.gps.zeiterfassungpro"
"41","-9","Travel & Local","Unlock City Maps","Topobyte.de","HK$13.00","","2019-10-28","7713","https://play.google.com/store/apps/details?id=de.topobyte.apps.freemium.unlock.citymaps"
"42","+5","Travel & Local","AR GPS Compass Map 3D Pro","CodeKonditor","HK$28.00","","2018-06-13","7627","https://play.google.com/store/apps/details?id=com.kettler.argpscm3dpro"
"43","-1","Travel & Local","Best Biking Roads","Static Motion","HK$31.99","","2019-01-23","7474","https://play.google.com/store/apps/details?id=com.novasa.bestbikingroads"
"44","+6","Travel & Local","Hawaii Big Island Full Island Tour GyPSy","GyPSy Guide","HK$59.90","","2019-04-10","7284","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.hbi.fit"
"45","-28","Travel & Local","Maps Speedometer","Amphebia","HK$13.00","","2019-01-16","7280","https://play.google.com/store/apps/details?id=com.amphebia.navigationspeedometer"
"46","-6","Travel & Local","Palacio Real de Madrid","GVAM Guías Interactivas","HK$15.00","","2016-06-27","7180","https://play.google.com/store/apps/details?id=com.gvam.palacioMovil"
"47","new","Travel & Local","KrugerExplorer","Explorer Apps","HK$98.00","","2019-10-22","6917","https://play.google.com/store/apps/details?id=com.kruger.explorer"
"48","+19","Travel & Local","Detector de Radares Pro. Avisador Radar y Tráfico","Iteration Mobile & Vialsoft Apps","HK$44.90","","2019-08-05","6667","https://play.google.com/store/apps/details?id=com.vialsoft.radares_es"
"49","new","Travel & Local","Canadian Rockies GyPSy Guide","GyPSy Guide","HK$119.00","","2019-08-22","6641","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.ca.cr"
"50","-20","Travel & Local","Offline Russian Translator","PROMT","HK$44.90","$2.99 - $12.99 per item","2019-01-17","6568","https://play.google.com/store/apps/details?id=com.promt.offline"
"51","+5","Travel & Local","Kauai GyPSy Guide Driving Tour","GyPSy Guide","HK$48.00","","2020-02-20","6539","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.hi.k"
"52","+13","Travel & Local","Siladas Sila Yolunda","Siladas","HK$28.00","","2019-05-13","6482","https://play.google.com/store/apps/details?id=https___de.facebook.com_SiladasSilaYolunda_"
"53","+20","Travel & Local","Stellplatz Europe PRO","Greenstream Apps","HK$58.00","","2020-06-10","6294","https://play.google.com/store/apps/details?id=com.greenstream.stellplatz.paid"
"54","-13","Travel & Local","Jasper National Park GyPSy Tour","GyPSy Guide","HK$43.00","","2019-07-08","6190","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.rockies.jasper"
"55","+20","Travel & Local","Yosemite GyPSy Driving Tour","GyPSy Guide","HK$38.00","","2019-08-08","5956","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.cal.yos"
"56","+8","Travel & Local","Oahu Full Island GyPSy Tour","GyPSy Guide","HK$50.90","","2019-05-23","5805","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.oahu.fit"
"57","+24","Travel & Local","In Sight - Norway+","AppsFab AS","HK$39.90","","2019-02-11","5346","https://play.google.com/store/apps/details?id=com.appsfab.insight.norway.plus"
"58","-14","Travel & Local","MagicMaps Scout - Outdoor Navigation","MTS AG","HK$8.00","₩1,003 - ₩11,000 per item","2018-07-31","5322","https://play.google.com/store/apps/details?id=com.magicmaps.android.scout.magicmaps"
"59","-10","Travel & Local","航班追踪器","Impala Studios","HK$33.00","","2020-07-06","5235","https://play.google.com/store/apps/details?id=com.flistholding.flightpluspremium"
"60","+1","Maps & Navigations","Villages GPS","BK Partnerships, LLC.","HK$55.90","","2019-06-05","5120","https://play.google.com/store/apps/details?id=com.golfcart"
"61","-6","Travel & Local","Portuguese Way PREMIUM","Peregrino Online","HK$28.00","","2020-02-25","5008","https://play.google.com/store/apps/details?id=com.independentrip.caminoportugues"
"62","-23","Travel & Local","MGRS GPS","Clever Applications LLC","HK$7.67","","2013-11-10","4985","https://play.google.com/store/apps/details?id=com.cleverapplications.android.mgrs"
"63","-20","Travel & Local","LD-Log - GPS Tracker & Logbook","A.Wedemeyer - Outdoor & Sailing Apps","HK$49.90","","2020-02-15","4913","https://play.google.com/store/apps/details?id=com.aw.ldlog"
