"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+1","Social Networking","WhatsApp Messenger","WhatsApp Inc.","0.0","","2009-05-03","116826","https://itunes.apple.com/HK/app/id310633997"
"2","+27","Finance","HSBC HK 香港滙豐流動理財","HSBC Global Services (UK) Limited","0.0","","2016-10-26","108779","https://itunes.apple.com/HK/app/id1164066737"
"3","+46","Finance","Octopus 八達通","Octopus Cards","0.0","","2016-08-01","94027","https://itunes.apple.com/HK/app/id1114430602"
"4","+64","Finance","ZA Bank","ZA Bank Limited","0.0","","2019-12-18","86596","https://itunes.apple.com/HK/app/id1477150600"
"5","+263","Photo & Video","FaceApp - AI 臉部編輯器","FaceApp Inc","0.0","","2017-01-24","83265","https://itunes.apple.com/HK/app/id1180884341"
"6","+37","Finance","中銀香港","Bank of China (Hong Kong) Limited","0.0","","2010-08-15","71718","https://itunes.apple.com/HK/app/id385731633"
"7","-6","Business","ZOOM Cloud Meetings","Zoom","0.0","","2012-08-14","58639","https://itunes.apple.com/HK/app/id546505307"
"8","-5","Photo & Video","YouTube","Google LLC","0.0","","2012-09-11","54262","https://itunes.apple.com/HK/app/id544007664"
"9","new","Lifestyle","JHC 日本城 JFUN","Japan Home Centre (HK) Ltd.","0.0","","2011-05-25","44678","https://itunes.apple.com/HK/app/id439164971"
"10","+48","Finance","恒生個人流動理財服務","Hang Seng Bank Limited","0.0","","2015-10-12","33839","https://itunes.apple.com/HK/app/id1039256353"
"11","-3","Social Networking","WeChat","WeChat","0.0","","2011-01-20","32058","https://itunes.apple.com/HK/app/id414478124"
"12","-1","Photo & Video","Instagram","Instagram, Inc.","0.0","","2010-10-06","30586","https://itunes.apple.com/HK/app/id389801252"
"13","-7","Social Networking","Facebook","Facebook, Inc.","0.0","","2019-02-05","30221","https://itunes.apple.com/HK/app/id284882215"
"14","+20","Shopping","新鴻基地產商場","Sun Hung Kai Real Estate Agency Ltd","0.0","","2016-12-07","29749","https://itunes.apple.com/HK/app/id1181866241"
"15","+39","Weather","MyObservatory","Hong Kong Observatory","0.0","","2010-03-22","23511","https://itunes.apple.com/HK/app/id361319719"
"16","+8","Entertainment","TikTok - 有趣的人都在這裡","TikTok Pte. Ltd.","0.0","","2020-06-09","19514","https://itunes.apple.com/HK/app/id1235601864"
"17","+6","Social Networking","Messenger","Facebook, Inc.","0.0","","2011-10-19","19136","https://itunes.apple.com/HK/app/id454638411"
"18","-8","Food & Drink","foodpanda - 線上美食訂購及生鮮雜貨外送","Foodpanda","0.0","","2013-11-25","18743","https://itunes.apple.com/HK/app/id758103884"
"19","new","Productivity","Clockology","Clockology, LLC","0.0","","2020-06-14","18464","https://itunes.apple.com/HK/app/id1456386228"
"20","-3","Travel","App1933 - KMB ‧ LWB","The Kowloon Motor Bus Company (1933) Limited","0.0","","2016-11-20","18052","https://itunes.apple.com/HK/app/id1170003707"
