"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+1","Games","五色學倉頡 ONLINE","Kotech Services Co.","0","","2010-07-17","241077","https://itunes.apple.com/HK/app/id382024751"
"2","+1","Education","開言英語OpenLanguage","Beijing Diandiankankan Technology Co.,Ltd.","0","","2015-09-10","135999","https://itunes.apple.com/HK/app/id995158649"
"3","+5","Education","英语流利说-让你忍不住开口说英语","Shanghai Liulishuo Information Technology Ltd.","0","","2013-02-14","45237","https://itunes.apple.com/HK/app/id597364850"
"4","new","Education","迪士尼魔法塗色","SmartGamesLtd","0","","2019-11-06","25000","https://itunes.apple.com/HK/app/id1479811057"
"5","new","Education","Cake - 英語會話","Playlist Corporation","0","","2018-04-10","15416","https://itunes.apple.com/HK/app/id1350420987"
"6","new","Education","Tandem語言交換 - 和外國人開口說外語","Tripod Technology","0","","2015-02-20","15000","https://itunes.apple.com/HK/app/id959001619"
"7","-3","Education","EF Hello英文真人+智能老師-學習英語單字聽力文法","Signum International AG","0","","2019-11-27","12762","https://itunes.apple.com/HK/app/id1324622665"
"8","new","Education","eClass Parent App","BroadLearning Education (Asia) Limited","0","","2014-06-01","10000","https://itunes.apple.com/HK/app/id880950939"
"9","new","Education","致臻研習社","ACME Learning Centre Limited","0","","2019-10-23","10000","https://itunes.apple.com/HK/app/id1484036004"
"10","new","Education","Open House Treasure Hunt","Epic Comm Company Limited","0.0","","2019-01-25","10000","https://itunes.apple.com/HK/app/id1450134621"
"11","new","Education","Drops 语言 学习","PLANB LABS OU","0","","2014-11-14","9999","https://itunes.apple.com/HK/app/id939540371"
"12","new","Education","多鄰國 (Duolingo)","Duolingo","0","","2012-11-13","6000","https://itunes.apple.com/HK/app/id570060128"
"13","new","Education","Simply Piano 由 JoyTunes 開發","JoyTunes","0","","2015-09-01","5001","https://itunes.apple.com/HK/app/id1019442026"
"14","new","Education","Photomath","Photomath, Inc.","0","","2014-10-17","4000","https://itunes.apple.com/HK/app/id919087726"
