"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel","App1933 - KMB ‧ LWB","The Kowloon Motor Bus Company (1933) Limited","0.0","","2016-11-20","255378","https://itunes.apple.com/HK/app/id1170003707"
"2","+1","Travel","Trip.com","Ctrip.com international","0.0","","2013-08-05","151753","https://itunes.apple.com/HK/app/id681752345"
"3","-1","Travel","新巴城巴 CitybusNWFB","Citybus & New World First Bus","0.0","","2011-10-21","146371","https://itunes.apple.com/HK/app/id472242340"
"4","+7","Travel","Skyscanner – 旅行App","Skyscanner","0.0","","2011-02-17","71449","https://itunes.apple.com/HK/app/id415458524"
"5","-","Travel","Agoda - 國內外訂房優惠","Agoda.com","0.0","","2011-06-06","70801","https://itunes.apple.com/HK/app/id440676901"
"6","-","Travel","KLOOK客路","Klook Travel Technology Limited","0.0","","2015-04-23","58793","https://itunes.apple.com/HK/app/id961850126"
"7","-","Travel","永安旅遊 - 機票酒店旅遊優惠","Hong Kong Wing On Travel Service Limited","0.0","","2014-07-23","50355","https://itunes.apple.com/HK/app/id888640962"
"8","-4","Travel","Uber 優步，全球便捷搭乘","Uber Technologies, Inc.","0.0","","2010-05-20","38802","https://itunes.apple.com/HK/app/id368677368"
"9","+6","Travel","Airbnb","Airbnb, Inc.","0.0","","2010-11-10","30897","https://itunes.apple.com/HK/app/id401626263"
"10","+6","Travel","HKTaxi - 香港Call的士App","HKTaxi App Limited","0.0","","2013-06-18","30170","https://itunes.apple.com/HK/app/id660232595"
"11","-2","Travel","Grab App","Grab.com","0.0","","2013-05-15","29827","https://itunes.apple.com/HK/app/id647268330"
"12","-4","Travel","MTR Mobile","MTR Corporation Limited","0.0","","2010-05-13","28657","https://itunes.apple.com/HK/app/id369295276"
"13","+4","Travel","Expedia 智遊網酒店、機票、當地玩樂一站式旅遊預訂平台","Expedia, Inc.","0.0","","2011-04-06","27040","https://itunes.apple.com/HK/app/id427916203"
"14","-","Travel","KKday: 全球旅遊體驗行程預訂-自由行規劃","KKday","0.0","","2017-09-24","26707","https://itunes.apple.com/HK/app/id1248267356"
