"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+4","Education","Simply Piano 由 JoyTunes 開發","JoyTunes","0","","2015-09-01","97982","https://itunes.apple.com/HK/app/id1019442026"
"2","+1","Education","Blinkist: 15min Book Insights","Blinks Labs","0","","2013-11-13","97575","https://itunes.apple.com/HK/app/id568839295"
"3","+4","Education","Lingokids　兒童英語","Monkimun Inc","0","","2015-09-10","88550","https://itunes.apple.com/HK/app/id1002043426"
"4","new","Education","跟谁学-名师直播辅导教学","Beijing Baijiahulian Co.,Ltd.","0","","2014-11-05","20000","https://itunes.apple.com/HK/app/id919947654"
"5","+1","Education","Epic! - Kids’ Books and Videos","Epic Creations, Inc.","0","","2013-12-01","20000","https://itunes.apple.com/HK/app/id719219382"
"6","-5","Education","多鄰國 (Duolingo)","Duolingo","0","","2012-11-13","20000","https://itunes.apple.com/HK/app/id570060128"
"7","new","Education","AfterSchool - DSE網上補習平台","AFTERSCHOOL EDUCATION LIMITED","0","鑽石 10粒 : HK$ 15.00 / 鑽石 60粒 : HK$ 88.00 / 鑽石 150粒 : HK$ 198.00","2018-03-01","20000","https://itunes.apple.com/HK/app/id1347795755"
"8","-6","Education","開言英語OpenLanguage","Beijing Diandiankankan Technology Co.,Ltd.","0","","2015-09-10","20000","https://itunes.apple.com/HK/app/id995158649"
"9","-5","Education","MasterClass: Learn New Skills","MasterClass","0","","2018-04-23","16500","https://itunes.apple.com/HK/app/id1273867416"
"10","new","Education","Yousician Guitar, Piano & Bass","Yousician Ltd","0","","2015-02-26","10000","https://itunes.apple.com/HK/app/id959883039"
"11","new","Education","猿辅导-小学初中高中全科在线互动直播课","Zhenguanyu Tech","0","","2015-05-24","10000","https://itunes.apple.com/HK/app/id974568444"
