"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel","航班動態 - 航班動態追蹤器和天氣","Weather or Not Apps, LLC","0.0","","2016-06-16","212434","https://itunes.apple.com/HK/app/id1097815000"
"2","+2","Travel","Flightradar24 | Flight Tracker","Flightradar24 AB","0.0","","2010-07-21","157953","https://itunes.apple.com/HK/app/id382233851"
"3","-1","Travel","语音和照片翻译器 OkTalk","Zapps Mobi","0.0","","2019-02-19","149227","https://itunes.apple.com/HK/app/id1452146565"
"4","-1","Travel","KKFly","Awesapp Ltd","0.0","魔力 x 1 : HK$ 8.00 / 魔力 x 10 : HK$ 78.00 / 魔力 x 120 : HK$ 788.00","2018-06-04","84306","https://itunes.apple.com/HK/app/id1374837929"
"5","+1","Travel","香港遠足路線","YAT SHING TSOI","0.0","年費訂閱 : HK$ 28.00 / 一次性購買 : HK$ 288.00","2018-07-25","63067","https://itunes.apple.com/HK/app/id1403380232"
"6","-1","Travel","iTranslate Converse 語音翻譯","iTranslate","0.0","","2017-08-03","56621","https://itunes.apple.com/HK/app/id1241264761"
"7","-","Travel","翻譯官-語音翻譯","AppLives Co., Ltd.","0.0","","2018-11-30","39259","https://itunes.apple.com/HK/app/id1443689958"
"8","+7","Travel","MarineTraffic - Ship Tracking","MarineTraffic.com","HK$ 38.00","","2012-10-08","23626","https://itunes.apple.com/HK/app/id563910324"
"9","+11","Travel","香港國際機場航班資訊 - HK Flight Info.","TechmaxApp","HK$ 8.00","","2013-08-20","20597","https://itunes.apple.com/HK/app/id688856635"
"10","+18","Travel","TripIt: Travel Planner","TripIt","0.0","","2009-04-10","20269","https://itunes.apple.com/HK/app/id311035142"
"11","+1","Travel","LiveATC Air Radio","LiveATC.net","HK$ 28.00","","2009-06-09","18579","https://itunes.apple.com/HK/app/id317809458"
"12","+9","Travel","Explorest - Photo Locations","Explorest Inc","0.0","","2017-06-17","16819","https://itunes.apple.com/HK/app/id1227446332"
"13","+147","Travel","Train Times UK Journey Planner","App Ktchn Ltd","0.0","","2014-06-28","15603","https://itunes.apple.com/HK/app/id891379341"
"14","+8","Travel","无忧行-景点门票特价酒店机票预订","China Mobile International Limited","0.0","","2015-11-10","15550","https://itunes.apple.com/HK/app/id1037589370"
"15","+80","Travel","OBD Fusion","OCTech, LLC","HK$ 78.00","","2013-06-01","14999","https://itunes.apple.com/HK/app/id650684932"
"16","-6","Travel","新假期周刊","Media Publishing Limited","0.0","","2013-12-10","14697","https://itunes.apple.com/HK/app/id722179449"
"17","+48","Travel","Showaround - Find a Local","Compassfriends Limited","0.0","","2015-10-26","14537","https://itunes.apple.com/HK/app/id1001885430"
"18","+6","Travel","匯率計算機 Currency：貨幣匯率換算","Davetech Co., Ltd.","0.0","","2015-01-28","14493","https://itunes.apple.com/HK/app/id946607423"
"19","+17","Travel","CrewMobile","merlot.aero","0.0","","2012-06-16","14463","https://itunes.apple.com/HK/app/id532094233"
"20","+10","Travel","App in the Air","AITA LIMITED","0.0","","2012-05-31","14043","https://itunes.apple.com/HK/app/id527299553"
"21","+5","Travel","Hong Kong Taxi Cards","TechmaxApp","HK$ 15.00","","2013-08-08","13788","https://itunes.apple.com/HK/app/id683353582"
"22","+15","Travel","Sygic Travel Maps Offline","Tripomatic s.r.o.","0.0","","2012-04-24","13342","https://itunes.apple.com/HK/app/id519058033"
"23","+9","Travel","LUXE City Guides","LUXE Ltd.","0.0","","2015-05-14","13130","https://itunes.apple.com/HK/app/id966722476"
"24","-6","Travel","HappyCow Find Vegan Food","HappyCow","HK$ 28.00","","2011-05-12","12618","https://itunes.apple.com/HK/app/id435871950"
"25","+8","Travel","My Disney Experience","Disney","0.0","","2012-08-02","12586","https://itunes.apple.com/HK/app/id547436543"
"26","-12","Travel","StaffTraveler","StaffTraveler Solutions B.V.","0.0","","2016-06-13","12259","https://itunes.apple.com/HK/app/id1115912521"
"27","+57","Travel","Elk - 旅行貨幣轉換器","Clean Shaven Apps","0.0","","2017-04-10","12207","https://itunes.apple.com/HK/app/id1189748820"
"28","+1","Travel","航旅纵横PRO-官方航班动态、手机值机、机票","China Travelsky Technology Limited","HK$ 8.00","","2013-12-18","11479","https://itunes.apple.com/HK/app/id768160271"
"29","-10","Travel","LOUIS VUITTON CITY GUIDE","Louis Vuitton Editeur SAS","0.0","","2015-11-04","11443","https://itunes.apple.com/HK/app/id1014618396"
"30","+34","Travel","不失禮遊日對話器","Zazaki Greenose","HK$ 28.00","","2009-12-24","11407","https://itunes.apple.com/HK/app/id347802574"
"31","+51","Travel","Currency","Jeffrey Grossman","0.0","","2019-02-01","11253","https://itunes.apple.com/HK/app/id284220417"
"32","+55","Travel","nemo 美式英語","Nemo Apps LLC","0.0","","2011-12-21","11095","https://itunes.apple.com/HK/app/id487069717"
"33","-2","Travel","nemo 西班牙語","Nemo Apps LLC","0.0","","2012-01-01","10983","https://itunes.apple.com/HK/app/id487054746"
"34","+7","Travel","香港機場 HK Airport iPlane Flight Info","Shun Wan Tang","0.0","","2009-11-18","10930","https://itunes.apple.com/HK/app/id337452583"
"35","-18","Travel","城市通 - 全球離線導覽","Urban-Map","0.0","","2015-10-03","10294","https://itunes.apple.com/HK/app/id1032469973"
"36","+6","Travel","CityMaps2Go Pro 旅遊指南","Ulmon GmbH","HK$ 88.00","","2009-09-03","9963","https://itunes.apple.com/HK/app/id327783342"
"37","+57","Travel","nemo 中文","Nemo Apps LLC","0.0","","2011-04-20","9908","https://itunes.apple.com/HK/app/id430676177"
"38","-25","Travel","nemo 韓語","Nemo Apps LLC","0.0","","2011-12-21","9650","https://itunes.apple.com/HK/app/id487077174"
"39","+22","Travel","PeakFinder AR","Fabio Soldati","HK$ 38.00","","2010-03-12","9393","https://itunes.apple.com/HK/app/id357421934"
"40","new","Travel","nemo 印地語","Nemo Apps LLC","0.0","","2013-07-29","9043","https://itunes.apple.com/HK/app/id635604476"
"41","-30","Travel","TourBar - 见面和旅行","Travel Community LLP","0.0","","2014-09-14","8970","https://itunes.apple.com/HK/app/id767432923"
"42","+4","Travel","CityMaps2Go 旅遊指南","Ulmon GmbH","0.0","","2010-12-19","8921","https://itunes.apple.com/HK/app/id408866084"
"43","+108","Travel","Learn Chinese - Mandarin Phrasebook for Travel in China","Codegent","0.0","","2011-05-19","8709","https://itunes.apple.com/HK/app/id435064887"
"44","+22","Travel","飞常准Pro-全球航班查询机票酒店预订","FEEYO.COM E-COMMERCE CORP.","HK$ 8.00","","2011-10-05","8613","https://itunes.apple.com/HK/app/id469338840"
"45","+4","Travel","nemo 泰語","Nemo Apps LLC","0.0","","2011-12-28","8410","https://itunes.apple.com/HK/app/id487076453"
"46","+6","Travel","Tabiko - 日本旅遊即時諮詢好幫手","FAST JAPAN INC.","0.0","","2017-03-01","8058","https://itunes.apple.com/HK/app/id1208358502"
"47","+3","Travel","MAPS.ME一離線地圖與導航,旅遊景點,規劃自己的路由","MY COM","0.0","","2012-04-12","8051","https://itunes.apple.com/HK/app/id510623322"
"48","-","Travel","nemo 土耳其語","Nemo Apps LLC","0.0","","2018-12-11","7995","https://itunes.apple.com/HK/app/id635604246"
"49","-11","Travel","TripView - Sydney & Melbourne","TripView Pty Ltd","HK$ 28.00","","2009-03-26","7611","https://itunes.apple.com/HK/app/id294730339"
"50","+3","Travel","Waygo - Chinese, Japanese, and Korean Translator","Translate Abroad","0.0","","2012-03-09","7514","https://itunes.apple.com/HK/app/id496038103"
"51","+62","Travel","航班追踪器","International Airport Flight Track Technologies","0.0","","2012-07-20","7491","https://itunes.apple.com/HK/app/id533365777"
"52","+2","Travel","香港國際機場 - 航班資訊","LAU, DUSTIN","HK$ 15.00","","2011-01-24","7291","https://itunes.apple.com/HK/app/id414734650"
"53","+3","Travel","Boingo Wi-Finder","Boingo Wireless, Inc.","0.0","","2008-12-07","7122","https://itunes.apple.com/HK/app/id297596317"
"54","+71","Travel","Learn Cantonese phrasebook for Travel in Hong Kong and Macau","Codegent","0.0","","2013-04-21","7060","https://itunes.apple.com/HK/app/id631927508"
"55","+3","Travel","Learn Korean - Phrasebook for Travel in Korea, Seoul, Busan, Incheon","Codegent","0.0","","2011-06-20","6961","https://itunes.apple.com/HK/app/id444080371"
"56","+4","Travel","World Phone","Norwood Systems","0.0","","2015-07-16","6744","https://itunes.apple.com/HK/app/id956373738"
"57","+77","Travel","OsmAnd Maps Travel & Navigate","OsmAND B.V.","0.0","","2015-04-21","6710","https://itunes.apple.com/HK/app/id934850257"
"58","-19","Travel","National Geographic Traveller","APL Media Limited","0.0","","2012-03-02","6654","https://itunes.apple.com/HK/app/id503118162"
"59","+4","Travel","iFlyZED","IT International","HK$ 158.00","","2012-03-26","6572","https://itunes.apple.com/HK/app/id511975681"
"60","+2","Travel","nemo 法語","Nemo Apps LLC","0.0","","2011-12-21","6526","https://itunes.apple.com/HK/app/id487067065"
"61","+15","Travel","Italia!","Anthem Publishing Ltd","0.0","","2010-08-13","6306","https://itunes.apple.com/HK/app/id381727564"
"62","new","Travel","直升機","RICHEMOND LTD","HK$ 38.00","","2020-02-26","6246","https://itunes.apple.com/HK/app/id1288920546"
"63","+112","Travel","換乘路線圖","TOKYO STUDIO INC.","0.0","","2016-01-27","6160","https://itunes.apple.com/HK/app/id1077627714"
"64","+5","Travel","Learn Japanese - Phrasebook for Travel in Japan","Codegent","0.0","","2011-07-15","6104","https://itunes.apple.com/HK/app/id447047877"
"65","new","Travel","Wildwalks","Wildwalks","0.0","","2017-01-25","6023","https://itunes.apple.com/HK/app/id519599582"
"66","-22","Travel","XE Pro 貨幣轉換器及匯率計算工具","XE.com Inc.","HK$ 15.00","","2020-05-16","5928","https://itunes.apple.com/HK/app/id598967192"
"67","+5","Travel","祈福明燈-佛經梵音天天動聽祈禱健康平安","zhang jia","0.0","","2013-02-22","5811","https://itunes.apple.com/HK/app/id586841185"
"68","+20","Travel","AwardWallet: Track Rewards","AwardWallet, LLC","0.0","","2010-08-26","5765","https://itunes.apple.com/HK/app/id388442727"
"69","new","Travel","Vancouver: Wallpaper* City Guide","Phaidon Press","HK$ 38.00","","2016-10-08","5634","https://itunes.apple.com/HK/app/id513861390"
"70","+3","Travel","tripwolf - travel guide & map","tripwolf","0.0","","2018-11-09","5584","https://itunes.apple.com/HK/app/id318062323"
"71","+4","Travel","SpeakEasy French","Pocketglow LLC","HK$ 28.00","","2011-02-23","5482","https://itunes.apple.com/HK/app/id412991664"
"72","+6","Travel","口袋地圖 Pro","Huirong Li","HK$ 15.00","","2014-09-09","5337","https://itunes.apple.com/HK/app/id910570079"
"73","new","Travel","貨幣換算器+","monkeyLabs Inc.","0.0","","2020-06-11","5221","https://itunes.apple.com/HK/app/id844099556"
"74","+11","Travel","GPSmyCity: Walks in 1K+ Cities","GPSmyCity.com, Inc.","0.0","","2011-03-28","5113","https://itunes.apple.com/HK/app/id417207307"
"75","+150","Travel","CalConvert：貨幣轉換器","Currency Converter & Calculator, Taschenrechner, Calculatrice, Calculadora","0.0","","2011-04-22","5106","https://itunes.apple.com/HK/app/id426007025"
"76","new","Travel","中國旅遊(China Travel)","Magzter Inc.","0.0","","2015-07-13","4921","https://itunes.apple.com/HK/app/id1017608748"
"77","+12","Travel","The Flight Tracker Pro","International Airport Flight Track Technologies","HK$ 53.00","","2012-04-22","4917","https://itunes.apple.com/HK/app/id499826209"
"78","new","Travel","Hong Kong Map & Walks (F)","GPSmyCity.com, Inc.","HK$ 38.00","","2010-01-04","4898","https://itunes.apple.com/HK/app/id348149920"
"79","+2","Travel","PeakVisor","Routes Software SRL","0.0","","2016-12-21","4894","https://itunes.apple.com/HK/app/id1187259191"
"80","+11","Travel","SmartShanghai","SmartShanghai.com","0.0","","2010-02-05","4731","https://itunes.apple.com/HK/app/id353096339"
"81","+2","Travel","AirPano Travel Book Planner","CONCEPT360 GmbH","0.0","","2014-06-26","4645","https://itunes.apple.com/HK/app/id887138564"
"82","new","Travel","Plane Finder - Flight Tracker","pinkfroot limited","HK$ 38.00","","2009-11-03","4571","https://itunes.apple.com/HK/app/id336477530"
"83","-16","Travel","GlobeTempus Convert Time Zone","Ievgenii Lebid","0.0","","2014-01-14","4556","https://itunes.apple.com/HK/app/id790181049"
"84","+8","Travel","Guru Maps","Evgen Bodunov","0.0","","2009-07-29","4543","https://itunes.apple.com/HK/app/id321745474"
"85","new","Travel","地鐵通-MetroMan","WU QIUPING","0.0","","2011-09-30","4510","https://itunes.apple.com/HK/app/id466351433"
"86","-61","Travel","WikiCamps Australia","WikiCamps pty ltd","HK$ 38.00","","2012-03-01","4473","https://itunes.apple.com/HK/app/id505365608"
"87","+6","Travel","Flight Update Pro","Silverware Software, LLC","HK$ 48.00","","2009-05-30","4428","https://itunes.apple.com/HK/app/id317703490"
"88","+8","Travel","沖繩自遊Okinawa Travel Guide","MOOK PUBLICATION, Co.","0.0","","2011-03-16","4240","https://itunes.apple.com/HK/app/id425079386"
"89","+8","Travel","tokyo superguide","superfuture corporation","HK$ 15.00","","2010-08-05","4176","https://itunes.apple.com/HK/app/id383543179"
"90","+8","Travel","口袋导游-智能旅游景点讲解电子导游","上海知客网络科技有限公司","0.0","","2015-06-02","4123","https://itunes.apple.com/HK/app/id967931773"
"91","-5","Travel","Condé Nast Traveller Magazine","The Conde Nast Publications Limited","0.0","","2012-03-08","4096","https://itunes.apple.com/HK/app/id503132990"
"92","+8","Travel","WiFi Map Pro - WiFi Everywhere","WiFi Map LLC","HK$ 38.00","","2012-07-26","4028","https://itunes.apple.com/HK/app/id543032054"
"93","new","Travel","Hava Trafik Kontrol - Live ATC","Dora Dalyanoglu","HK$ 8.00","","2020-01-25","3985","https://itunes.apple.com/HK/app/id1160608318"
"94","+7","Travel","Where Chefs Eat – A Guide to Chefs' Favorite Restaurants","Phaidon Press","HK$ 118.00","","2015-01-29","3952","https://itunes.apple.com/HK/app/id957320762"
"95","+7","Travel","Packing Pro","Quinn Genzel","HK$ 23.00","","2009-04-16","3929","https://itunes.apple.com/HK/app/id312266675"
"96","-62","Travel","TrabeePocket - Travel Budget","jhcho","0.0","","2013-08-05","3858","https://itunes.apple.com/HK/app/id673659438"
"97","+6","Travel","好地方HK","TechmaxApp","0.0","","2013-05-31","3812","https://itunes.apple.com/HK/app/id617391259"
"98","+7","Travel","美景聽聽-全球景點講解語音導遊","Juan Chen","0.0","","2014-12-07","3761","https://itunes.apple.com/HK/app/id945386876"
"99","+7","Travel","Pilots Atlas","absolutezero multimedia GmbH","0.0","","2013-07-23","3712","https://itunes.apple.com/HK/app/id581508432"
"100","+7","Travel","WiFox","foXnoMad, LLC","HK$ 15.00","","2016-09-08","3666","https://itunes.apple.com/HK/app/id1130542083"
"101","-78","Travel","Guides by Lonely Planet","Lonely Planet Global, Inc.","0.0","","2016-01-27","3649","https://itunes.apple.com/HK/app/id1045791869"
"102","+6","Travel","Babelshot: Translate Instantly Using Phone Camera","Codium Labs LLC","HK$ 48.00","","2016-02-20","3615","https://itunes.apple.com/HK/app/id334194705"
"103","+43","Travel","Wayfarer Points: Travel Deals","Wayfarer Points Limited","0.0","","2018-12-21","3610","https://itunes.apple.com/HK/app/id1442831237"
"104","+5","Travel","Trail Wallet Travel Budget App","Simon Fairbairn","0.0","","2012-12-10","3524","https://itunes.apple.com/HK/app/id547171665"
"105","-89","Travel","Mark O'Travel - 你的旅行地圖","Sergei Shpygar","0.0","","2014-04-29","3522","https://itunes.apple.com/HK/app/id866778149"
"106","+5","Reference","免費語言翻譯應用","myLanguage","0.0","","2011-12-06","3500","https://itunes.apple.com/HK/app/id454405637"
"107","+3","Travel","中国国家地理","Beijing Panorama National Geography New Media Technology Co.,Ltd.","0.0","","2012-12-21","3485","https://itunes.apple.com/HK/app/id537114159"
"108","+6","Travel","Currency+ Lite","James Spencer","0.0","","2011-04-17","3387","https://itunes.apple.com/HK/app/id428146680"
"109","+3","Travel","French Dictionary + ©","Ascendo Inc.","HK$ 78.00","","2009-07-29","3361","https://itunes.apple.com/HK/app/id322962700"
"110","new","Travel","曼彻斯特 旅游指南","eTips LTD","0.0","","2010-08-16","3361","https://itunes.apple.com/HK/app/id386486676"
"111","+9","Travel","世界迷霧","Ollix","HK$ 118.00","","2012-09-18","3359","https://itunes.apple.com/HK/app/id505367096"
"112","+3","Travel","gothere.sg","gothere.sg","HK$ 28.00","","2010-08-05","3314","https://itunes.apple.com/HK/app/id348131804"
"113","+3","Travel","京阪神自遊Keihanshin Travel Guide","MOOK PUBLICATION, Co.","0.0","","2010-12-03","3252","https://itunes.apple.com/HK/app/id404761451"
"114","+3","Travel","nemo 義大利語","Nemo Apps LLC","0.0","","2012-01-01","3218","https://itunes.apple.com/HK/app/id487064887"
"115","+3","Travel","日本九州完全自遊Action Kyushu 2015","MOOK PUBLICATION, Co.","0.0","","2013-10-24","3172","https://itunes.apple.com/HK/app/id727466560"
"116","+5","Travel","Translate Voice - Language Translator & Dictionary","myLanguage","HK$ 78.00","","2009-08-26","3134","https://itunes.apple.com/HK/app/id323470584"
"117","+6","Travel","NonRev","Airline Employee Travel Services LLC","0.0","","2013-08-27","3099","https://itunes.apple.com/HK/app/id478370011"
"118","+4","Travel","Mobile Passport","Airside Mobile LLC","0.0","","2014-08-11","3093","https://itunes.apple.com/HK/app/id907024887"
"119","+5","Travel","Tap & Say - 常用语学说手册 带你走遍世界17种语言","Codegent","0.0","","2012-02-10","3070","https://itunes.apple.com/HK/app/id491648052"
"120","+7","Travel","nemo 越南語","Nemo Apps LLC","0.0","","2013-07-24","3043","https://itunes.apple.com/HK/app/id635605857"
"121","new","Travel","Tsuku Tsuku","Yoshihiko Eto","0.0","","2020-04-01","3020","https://itunes.apple.com/HK/app/id1039751190"
"122","-3","Travel","Timeshifter","Timeshifter Inc.","0.0","","2018-06-19","3007","https://itunes.apple.com/HK/app/id1380684374"
"123","+5","Travel","東京完全制霸Tokyo Travel Guide","MOOK PUBLICATION, Co.","0.0","","2010-11-28","2958","https://itunes.apple.com/HK/app/id399196195"
"124","+5","Travel","Flighty - Live Flight Tracker","Global Flight, Airport, & Airline Status Tracker LLC","0.0","","2019-08-19","2930","https://itunes.apple.com/HK/app/id1358823008"
"125","+60","Travel","Travel! - Friends & Tips","TM Solutions Limited","0.0","","2019-11-08","2928","https://itunes.apple.com/HK/app/id1485206268"
"126","+6","Travel","SpeakEasy Italian","Pocketglow LLC","HK$ 28.00","","2012-03-18","2915","https://itunes.apple.com/HK/app/id497462835"
"127","-76","Travel","British Museum Guide","Vusiem Tour Guides Ltd","0.0","","2012-09-19","2883","https://itunes.apple.com/HK/app/id551275212"
"128","+3","Travel","台北旅遊Guide","Miramar Travel Ltd","0.0","","2011-06-27","2878","https://itunes.apple.com/HK/app/id444935043"
"129","+4","Travel","Disneyland®","Disney","0.0","","2015-08-04","2839","https://itunes.apple.com/HK/app/id1022164656"
"130","+5","Travel","myTracks","Dirk Stichling","HK$ 138.00","","2011-01-05","2812","https://itunes.apple.com/HK/app/id403100976"
"131","+6","Travel","Outdoor Photography Magazine","MagazineCloner.com Limited","HK$ 18.00","","2011-03-29","2787","https://itunes.apple.com/HK/app/id428912452"
"132","+4","Travel","FlightAware Flight Tracker","FlightAware","0.0","","2009-06-04","2771","https://itunes.apple.com/HK/app/id316793974"
"133","+6","Travel","大阪市 旅游指南 离线地图","TRAVEL EXPERIENCES EUROPE LTD","0.0","","2010-11-30","2757","https://itunes.apple.com/HK/app/id387869432"
"134","+8","Travel","Discover Japan","DENTSU INC.","0.0","","2015-03-12","2704","https://itunes.apple.com/HK/app/id972428725"
"135","+6","Travel","PackPoint 行李打包清單，旅遊的好伴侶","Wawwo","0.0","","2014-07-16","2687","https://itunes.apple.com/HK/app/id896337401"
"136","+7","Travel","東京旅遊Guide","Miramar Travel Ltd","0.0","","2011-10-02","2662","https://itunes.apple.com/HK/app/id468576036"
