"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+24","Education","Toca Hair Salon 3","Toca Boca AB","HK$ 28.00","","2016-12-07","123876","https://itunes.apple.com/HK/app/id1119482395"
"2","-1","Productivity","Notability","Ginger Labs","HK$ 68.00","","2010-04-01","83033","https://itunes.apple.com/HK/app/id360593530"
"3","-1","Education","AnkiMobile Flashcards","Ankitects Pty Ltd","HK$ 198.00","","2010-05-26","36799","https://itunes.apple.com/HK/app/id373493387"
"4","-1","Music","Vocal Pitch Monitor","Tadao Yamaoka","HK$ 8.00","","2014-03-28","29651","https://itunes.apple.com/HK/app/id842218231"
"5","+1","Music","TonalEnergy 調音器—節拍器","TonalEnergy, Inc","HK$ 28.00","","2012-02-17","29197","https://itunes.apple.com/HK/app/id497716362"
"6","+9","Education","聽寫五十音專業版","Otek International Inc.","HK$ 15.00","","2013-02-04","26940","https://itunes.apple.com/HK/app/id597758149"
"7","new","Education","ICAO Level 4 - Aviation Language Proficiency For English Airline Pilots","ahmet Baydas","$11.99","","2015-01-07","24199","https://itunes.apple.com/HK/app/id944196493"
"8","-","Education","大家的日本語初級1-改訂版","fu yang","0.0","","2018-12-29","23149","https://itunes.apple.com/HK/app/id1442440203"
"9","new","Music","Real Piano™ Classic","Cookie Apps, Inc.","HK$ 8.00","","2010-12-17","20000","https://itunes.apple.com/HK/app/id409818349"
"10","+55","Reference","Sky Guide","Fifth Star Labs LLC","HK$ 23.00","","2013-05-06","18350","https://itunes.apple.com/HK/app/id576588894"
"11","+85","Education","Toca Kitchen Sushi","Toca Boca AB","$3.99","","2019-01-27","17718","https://itunes.apple.com/HK/app/id1440031359"
"12","new","Education","Peppa Pig™：度假","Entertainment One","HK$ 23.00","","2015-12-04","17352","https://itunes.apple.com/HK/app/id1060085514"
"13","-9","Medical","Human Anatomy Atlas 2021","Visible Body","HK$ 198.00","","2016-07-27","16387","https://itunes.apple.com/HK/app/id1117998129"
"14","new","Puzzle","7 Billion Humans","Experimental Gameplay Group","HK$ 38.00","","2018-12-06","16333","https://itunes.apple.com/HK/app/id1393923918"
"15","+42","Music","Tenuto","musictheory.net","HK$ 28.00","","2011-08-30","16134","https://itunes.apple.com/HK/app/id459313476"
"16","+29","Education","Calculator ∞ - 科學計算器","Incpt.Mobis","HK$ 23.00","","2011-09-15","15364","https://itunes.apple.com/HK/app/id458535809"
"17","+180","Education","NHK简明日語-新概念学习大家的日語","yang yongjun","￦2,500","","2018-10-10","15000","https://itunes.apple.com/HK/app/id1409658462"
"18","new","Productivity","Pythonista 3","omz:software","HK$ 78.00","","2016-06-13","14784","https://itunes.apple.com/HK/app/id1085978097"
