"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+36","Travel","WikiCamps New Zealand","WikiCamps pty ltd","HK$ 15.00","","2012-12-17","194249","https://itunes.apple.com/HK/app/id582527125"
"2","+100","Travel","SpeakEasy Spanish","Pocketglow LLC","HK$ 28.00","","2012-10-02","91690","https://itunes.apple.com/HK/app/id506650515"
"3","+2","Travel","Hong Kong Taxi Cards","TechmaxApp","HK$ 15.00","","2013-08-08","85720","https://itunes.apple.com/HK/app/id683353582"
"4","-2","Travel","香港國際機場航班資訊 - HK Flight Info.","TechmaxApp","HK$ 8.00","","2013-08-20","68167","https://itunes.apple.com/HK/app/id688856635"
"5","new","Travel","华欣中文离线地图","igis.me","HK$ 8.00","","","63327","https://itunes.apple.com/HK/app/id995855586"
"6","-3","Travel","HappyCow Find Vegan Food","HappyCow","HK$ 28.00","","2011-05-12","53170","https://itunes.apple.com/HK/app/id435871950"
"7","new","Travel","Wisely + the Camino Portugués","Wise Pilgrim","HK$ 38.00","","2020-04-06","39749","https://itunes.apple.com/HK/app/id983056779"
"8","+1","Travel","MarineTraffic - Ship Tracking","MarineTraffic.com","HK$ 38.00","","2012-10-08","37262","https://itunes.apple.com/HK/app/id563910324"
"9","+12","Travel","WikiCamps Australia","WikiCamps pty ltd","HK$ 38.00","","2012-03-01","35502","https://itunes.apple.com/HK/app/id505365608"
"10","+72","Travel","高铁管家PRO","北京市活力天汇科技有限公司","HK$ 8.00","","2015-02-25","35319","https://itunes.apple.com/HK/app/id948516823"
"11","+1","Travel","CityMaps2Go Pro 旅遊指南","Ulmon GmbH","HK$ 88.00","","2009-09-03","34578","https://itunes.apple.com/HK/app/id327783342"
"12","-4","Travel","航旅纵横PRO-官方航班动态、手机值机、机票","China Travelsky Technology Limited","HK$ 8.00","","2013-12-18","32513","https://itunes.apple.com/HK/app/id768160271"
"13","-9","Travel","LiveATC Air Radio","LiveATC.net","HK$ 28.00","","2009-06-09","31700","https://itunes.apple.com/HK/app/id317809458"
"14","+5","Travel","XE Pro 貨幣轉換器及匯率計算工具","XE.com Inc.","HK$ 15.00","","2020-05-16","29503","https://itunes.apple.com/HK/app/id598967192"
"15","-2","Travel","不失禮遊日對話器","Zazaki Greenose","HK$ 28.00","","2009-12-24","27591","https://itunes.apple.com/HK/app/id347802574"
"16","-2","Travel","香港國際機場 - 航班資訊","LAU, DUSTIN","HK$ 15.00","","2011-01-24","25304","https://itunes.apple.com/HK/app/id414734650"
"17","-1","Travel","航班現場 - 飛行雷達","Weather or Not Apps, LLC","HK$ 53.00","","2019-08-16","23379","https://itunes.apple.com/HK/app/id1064962398"
"18","-11","Travel","TripView - Sydney & Melbourne","TripView Pty Ltd","HK$ 23.00","","2009-03-26","20498","https://itunes.apple.com/HK/app/id294730339"
"19","-13","Travel","飞常准Pro-全球航班查询机票酒店预订","FEEYO.COM E-COMMERCE CORP.","HK$ 8.00","","2011-10-05","19946","https://itunes.apple.com/HK/app/id469338840"
"20","+4","Travel","世界迷霧","Ollix","HK$ 98.00","","2012-09-18","19329","https://itunes.apple.com/HK/app/id505367096"
"21","new","Travel","全国日帰り温泉マップ","A&O","HK$ 28.00","","2011-12-13","18253","https://itunes.apple.com/HK/app/id488097290"
"22","-2","Travel","SpeakEasy French","Pocketglow LLC","HK$ 28.00","","2011-02-23","18003","https://itunes.apple.com/HK/app/id412991664"
"23","-8","Travel","PeakFinder AR","Fabio Soldati","HK$ 38.00","","2010-03-12","17736","https://itunes.apple.com/HK/app/id357421934"
"24","-13","Travel","Plane Finder - Flight Tracker","pinkfroot limited","HK$ 38.00","","2009-11-03","16212","https://itunes.apple.com/HK/app/id336477530"
"25","new","Travel","US New York JFK Intl Airport Flight Info","LAU, DUSTIN","HK$ 15.00","","2017-03-13","16005","https://itunes.apple.com/HK/app/id479905742"
"26","new","Travel","AA账本 - AA制生活旅游记账,分账神器","SHUAI LI","HK$ 8.00","","2016-02-15","15777","https://itunes.apple.com/HK/app/id703375653"
"27","-5","Travel","全国列车","XINNONG WANG","HK$ 28.00","","2016-10-23","14781","https://itunes.apple.com/HK/app/id323337388"
"28","+14","Travel","gothere.sg","gothere.sg","HK$ 28.00","","2010-08-05","14688","https://itunes.apple.com/HK/app/id348131804"
"29","-3","Travel","口袋地圖 Pro","Huirong Li","HK$ 15.00","","2014-09-09","13549","https://itunes.apple.com/HK/app/id910570079"
"30","-2","Travel","The Flight Tracker Pro","International Airport Flight Track Technologies","HK$ 48.00","","2012-04-22","12984","https://itunes.apple.com/HK/app/id499826209"
"31","-2","Travel","AllSubway","carmat","HK$ 8.00","","2008-12-05","12455","https://itunes.apple.com/HK/app/id299081353"
