"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Music & Audio","YouTube Music - 串流歌曲和音樂影片","Google LLC","0.0","","2020-07-16","246889","https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.music"
"2","+22","Maps & Navigations","PinnAR","TelecomSquare,Inc.","0.0","","2020-03-24","143241","https://play.google.com/store/apps/details?id=jp.co.telecomsquare.app.pinnar"
"3","+4","Food & Drink","和你Eat","IT Monastery Limited","0.0","每件HK$8.00","2020-03-22","76966","https://play.google.com/store/apps/details?id=com.woleieat"
"4","+1","Communication","WhatsApp Messenger","WhatsApp Inc.","0.0","","2020-07-20","73080","https://play.google.com/store/apps/details?id=com.whatsapp"
"5","new","Shopping","Wolipay - 和你PAY","Awesapp Limited","0.0","","2020-07-02","62218","https://play.google.com/store/apps/details?id=com.awesapp.wolipay"
"6","+6","Communication","微信","WeChat","0.0","每件HK$7.00-HK$118.00","2020-07-13","57309","https://play.google.com/store/apps/details?id=com.tencent.mm"
"7","new","Travel & Local","香港商店","CHI HO","0.0","","2020-04-24","49738","https://play.google.com/store/apps/details?id=com.ffhk.shoplisthk"
"8","+2","Finance","AlipayHK (支付寶香港)","Alipay (Hangzhou) Technology Co. Ltd","0.0","","2020-07-17","47356","https://play.google.com/store/apps/details?id=hk.alipay.wallet"
"9","-1","News & Magazines","香港01 - 新聞資訊及生活服務","HK01 Company Limited","0.0","","2020-07-21","38510","https://play.google.com/store/apps/details?id=com.hk01.news_app"
"10","-1","Travel & Local","APP 1933 - KMB．LWB","The Kowloon Motor Bus Company (1933) Limited","0.0","","2020-06-24","35043","https://play.google.com/store/apps/details?id=com.kmb.app1933"
"11","new","Medical","HA Go","Hospital Authority","0.0","","2020-07-14","30177","https://play.google.com/store/apps/details?id=hk.org.ha.hago"
"12","+6","Video Players & Editors","TikTok","TikTok Pte. Ltd.","0.0","每件HK$8.00-HK$808.00","2020-06-28","28447","https://play.google.com/store/apps/details?id=com.ss.android.ugc.trill"
"13","+3","Communication","Messenger — 收发消息和视频通话全部免费","Facebook","0.0","每件HK$8.00-HK$3,099.00","2020-07-20","21930","https://play.google.com/store/apps/details?id=com.facebook.orca"
"14","+7","Tools","Google 翻译","Google LLC","0.0","","2020-07-10","21875","https://play.google.com/store/apps/details?id=com.google.android.apps.translate"
"15","+13","Social","Facebook","Facebook","0.0","每件HK$8.00-HK$3,099.00","2020-07-24","21215","https://play.google.com/store/apps/details?id=com.facebook.katana"
"16","new","Shopping","DONKI","Pan Pacific Retail Management Asia","0.0","","2020-07-09","20943","https://play.google.com/store/apps/details?id=com.dondon.donki"
"17","+14","Travel & Local","Trip.com：機票、酒店、火車票、接送、當地玩樂","Trip.com","0.0","","2020-07-16","20400","https://play.google.com/store/apps/details?id=ctrip.english"
"18","+12","Social","Instagram","Instagram","0.0","每件HK$8.00-HK$38.00","2020-07-20","19146","https://play.google.com/store/apps/details?id=com.instagram.android"
"19","+1","Food & Drink","foodpanda - 美食外卖及生鲜杂货外送服务","Foodpanda GmbH a subsidiary of Delivery Hero SE","0.0","","2020-07-22","18970","https://play.google.com/store/apps/details?id=com.global.foodpanda.android"
"20","+21","Tools","八達通","Octopus Cards Limited","0.0","","2020-07-23","17288","https://play.google.com/store/apps/details?id=com.octopuscards.nfc_reader"
"21","+5","Shopping","手机淘宝","Taobao","0.0","","2020-07-02","16569","https://play.google.com/store/apps/details?id=com.taobao.taobao"
"22","+23","Lifestyle","MyLink - 連接 · 生活","China Mobile Hong Kong Co. Ltd.","0.0","","2020-06-04","15208","https://play.google.com/store/apps/details?id=com.ChinaMobile"
"23","+54","Social","Omi - 你的最後一款交友軟體","MatchUp UK Limited","0.0","每件HK$15.00-HK$939.00","2020-07-22","14563","https://play.google.com/store/apps/details?id=sg.omi"
"24","-20","News & Magazines","有线新闻","i-CABLE.com Limited","0.0","每件HK$68.00-HK$688.00","2020-07-08","14520","https://play.google.com/store/apps/details?id=hk.hkott.app"
"25","-12","Communication","Telegram","Telegram FZ-LLC","0.0","","2020-06-06","12883","https://play.google.com/store/apps/details?id=org.telegram.messenger"
"26","-12","Tools","数字健康","Google LLC","0.0","","2020-05-11","12713","https://play.google.com/store/apps/details?id=com.google.android.apps.wellbeing"
"27","-12","Travel & Local","新巴城巴","Citybus & New World First Bus","0.0","","2020-06-17","12498","https://play.google.com/store/apps/details?id=com.nwfb"
"28","new","Lifestyle","奇華Fans","Kee Wah Bakery Limited","0.0","","2020-07-24","12013","https://play.google.com/store/apps/details?id=com.keewah.start"
"29","new","Weather","我的天文台 (MyObservatory)","Hong Kong Observatory","0.0","","2020-06-30","11701","https://play.google.com/store/apps/details?id=hko.MyObservatory_v1_0"
"30","+29","Finance","PayMe from HSBC","The Hongkong and Shanghai Banking Corporation Ltd","0.0","","2020-07-14","9873","https://play.google.com/store/apps/details?id=hk.com.hsbc.paymefromhsbc"
"31","+16","Entertainment","Google Play 游戏","Google LLC","0.0","","2020-07-08","9330","https://play.google.com/store/apps/details?id=com.google.android.play.games"
"32","+14","Video Players & Editors","bilibili - 高清新番原创视频社区","哔哩哔哩","0.0","每件HK$7.00-HK$1,248.00","2020-07-09","9281","https://play.google.com/store/apps/details?id=com.bilibili.app.in"
"33","-16","Tools","Clean Booster - Phone Cleaner & Speed Booster","SM Health Team","0.0","","2019-12-11","8784","https://play.google.com/store/apps/details?id=clean.booster.phone"
"34","new","Lifestyle","UNIQLO Hong Kong & Macau","UNIQLO CO., LTD.","0.0","","2020-06-22","8540","https://play.google.com/store/apps/details?id=com.uniqlo.hk.catalogue"
"35","+8","Entertainment","Netflix","Netflix, Inc.","0.0","每件HK$61.96-HK$95.90","2020-07-23","8396","https://play.google.com/store/apps/details?id=com.netflix.mediaclient"
"36","+21","Communication","LINE","LINE Corporation","0.0","每件HK$7.57-HK$1,168.00","2020-07-16","8263","https://play.google.com/store/apps/details?id=jp.naver.line.android"
"37","+75","Travel & Local","客路旅行","Klook Travel Technology Ltd.","0.0","","2020-07-20","8001","https://play.google.com/store/apps/details?id=com.klook"
"38","-4","News & Magazines","Twitter","Twitter, Inc.","0.0","","2020-07-23","7952","https://play.google.com/store/apps/details?id=com.twitter.android"
"39","+23","Entertainment","myTV SUPER","tvb.com","0.0","","2020-07-22","7827","https://play.google.com/store/apps/details?id=com.tvb.mytvsuper"
"40","+15","Tools","老王VPN(永久免费佛系VPN)❤️- 最好的免费VPN 秒连 高速 稳定 梯子 永久更新 科学上网","老王","0.0","每件HK$8.00-HK$538.00","2020-06-06","7684","https://play.google.com/store/apps/details?id=com.findtheway"
"41","-14","Tools","App Vault","Xiaomi Inc.","0.0","","2020-05-14","7508","https://play.google.com/store/apps/details?id=com.mi.android.globalminusscreen"
"42","-23","Education","开言英语 - 地道英语流利说","Openlanguage Inc.","0.0","每件HK$78.00-HK$1,399.00","2020-07-23","7320","https://play.google.com/store/apps/details?id=com.openlanguage.kaiyan"
"43","+49","Finance","HSBC HK Mobile Banking 香港汇丰流动理财","The Hongkong and Shanghai Banking Corporation Ltd","0.0","","2020-07-08","7201","https://play.google.com/store/apps/details?id=hk.com.hsbc.hsbchkmobilebanking"
"44","+31","Music & Audio","Spotify - 音樂和 Podcast","Spotify Ltd.","0.0","","2020-07-23","7002","https://play.google.com/store/apps/details?id=com.spotify.music"
"45","-34","News & Magazines","Now 新聞 - 24小時直播","PCCW Media Limited","0.0","","2020-07-22","6999","https://play.google.com/store/apps/details?id=com.now.newsapp"
"46","+25","Finance","中银香港","Bank of China (Hong Kong) Limited","0.0","","2020-07-19","6443","https://play.google.com/store/apps/details?id=com.bochk.com"
"47","+48","Tools","WhatSticker 免費貼圖商店","LouisLam.net","0.0","","2020-07-17","6298","https://play.google.com/store/apps/details?id=online.whatsticker"
