Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
HK,FREE,AND,2020,5,M,1,-,,Business,Zoom云视频会议,zoom.us,0.0,,2020-07-08,238907,https://play.google.com/store/apps/details?id=us.zoom.videomeetings
HK,FREE,AND,2020,5,M,2,+8,,Tools,安全錦囊,"Construction Industry Council, Hong Kong",0.0,,2020-06-05,101994,https://play.google.com/store/apps/details?id=hk.gov.cicsafety
HK,FREE,AND,2020,5,M,3,+5,,Communication,WhatsApp Messenger,WhatsApp Inc.,0.0,,2020-07-20,91846,https://play.google.com/store/apps/details?id=com.whatsapp
HK,FREE,AND,2020,5,M,4,+2,,Video Players & Editors,TikTok,TikTok Pte. Ltd.,0.0,每件HK$8.00-HK$808.00,2020-06-28,68133,https://play.google.com/store/apps/details?id=com.ss.android.ugc.trill
HK,FREE,AND,2020,5,M,5,+2,,Tools,One Booster - 殺毒，加速，手機清理,One Dot Moblie Limited,0.0,每件HK$13.00-HK$43.00,2020-07-21,56957,https://play.google.com/store/apps/details?id=com.cleanteam.oneboost
HK,FREE,AND,2020,5,M,6,+89,,Shopping,"big big shop - 睇得到, 買得到",Big Big Channel Limited,0.0,,2020-06-15,43663,https://play.google.com/store/apps/details?id=hk.com.tvb.bigbigshop
HK,FREE,AND,2020,5,M,7,new,,Tools,NordVPN  - 快速安全的VPN,NordVPN apps,0.0,每件HK$48.00-HK$658.00,2020-07-13,43437,https://play.google.com/store/apps/details?id=com.nordvpn.android
HK,FREE,AND,2020,5,M,8,+10,,Finance,AlipayHK (支付寶香港),Alipay (Hangzhou) Technology Co. Ltd,0.0,,2020-07-17,40607,https://play.google.com/store/apps/details?id=hk.alipay.wallet
HK,FREE,AND,2020,5,M,9,-,,Music & Audio,YouTube Music - 串流歌曲和音樂影片,Google LLC,0.0,,2020-07-16,38281,https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.music
HK,FREE,AND,2020,5,M,10,+21,,News & Magazines,香港01 - 新聞資訊及生活服務,HK01 Company Limited,0.0,,2020-07-21,32421,https://play.google.com/store/apps/details?id=com.hk01.news_app
HK,FREE,AND,2020,5,M,11,+4,,Communication,微信,WeChat,0.0,每件HK$7.00-HK$118.00,2020-07-13,31392,https://play.google.com/store/apps/details?id=com.tencent.mm
HK,FREE,AND,2020,5,M,12,-8,,Food & Drink,foodpanda - 美食外卖及生鲜杂货外送服务,Foodpanda GmbH a subsidiary of Delivery Hero SE,0.0,,2020-07-22,28034,https://play.google.com/store/apps/details?id=com.global.foodpanda.android
HK,FREE,AND,2020,5,M,13,+9,,Travel & Local,APP 1933 - KMB．LWB,The Kowloon Motor Bus Company (1933) Limited,0.0,,2020-06-24,26401,https://play.google.com/store/apps/details?id=com.kmb.app1933
HK,FREE,AND,2020,5,M,14,-2,,Tools,One Security - 殺毒，清理，加速,One Dot Moblie Limited,0.0,每件HK$13.00-HK$43.00,2020-07-23,25946,https://play.google.com/store/apps/details?id=com.cleanteam.onesecurity
HK,FREE,AND,2020,5,M,15,new,,Tools,ProtonVPN——安全的免費 VPN,Proton Technologies AG,0.0,,2020-06-12,25049,https://play.google.com/store/apps/details?id=ch.protonvpn.android
HK,FREE,AND,2020,5,M,16,+8,,Social,Instagram,Instagram,0.0,每件HK$8.00-HK$38.00,2020-07-20,21129,https://play.google.com/store/apps/details?id=com.instagram.android
HK,FREE,AND,2020,5,M,17,-4,,Business,Google Meet,Google LLC,0.0,,2020-07-20,20430,https://play.google.com/store/apps/details?id=com.google.android.apps.meetings
HK,FREE,AND,2020,5,M,18,+9,,Communication,Messenger — 收发消息和视频通话全部免费,Facebook,0.0,"每件HK$8.00-HK$3,099.00",2020-07-20,19494,https://play.google.com/store/apps/details?id=com.facebook.orca
HK,FREE,AND,2020,5,M,19,+16,,Lifestyle,UNIQLO Hong Kong & Macau,"UNIQLO CO., LTD.",0.0,,2020-06-22,18932,https://play.google.com/store/apps/details?id=com.uniqlo.hk.catalogue
HK,FREE,AND,2020,5,M,20,+12,,Shopping,手机淘宝,Taobao,0.0,,2020-07-02,18627,https://play.google.com/store/apps/details?id=com.taobao.taobao
HK,FREE,AND,2020,5,M,21,+29,,Productivity,你的手机助手 - 链接至 Windows,Microsoft Corporation,0.0,,2020-07-09,18440,https://play.google.com/store/apps/details?id=com.microsoft.appmanager
HK,FREE,AND,2020,5,M,22,+58,,Lifestyle,易賞錢,"A. S. Watson & Company, Limited",0.0,,2020-07-23,18285,https://play.google.com/store/apps/details?id=com.asw.moneyback
HK,FREE,AND,2020,5,M,23,+3,,Communication,Telegram,Telegram FZ-LLC,0.0,,2020-06-06,17813,https://play.google.com/store/apps/details?id=org.telegram.messenger
HK,FREE,AND,2020,5,M,24,+5,,Social,Facebook,Facebook,0.0,"每件HK$8.00-HK$3,099.00",2020-07-24,16456,https://play.google.com/store/apps/details?id=com.facebook.katana
HK,FREE,AND,2020,5,M,25,-8,,Entertainment,Viu,PCCW OTT (HK) Limited,0.0,每件HK$7.00-HK$838.00,2020-07-21,14997,https://play.google.com/store/apps/details?id=com.viu.phone
HK,FREE,AND,2020,5,M,26,new,,Tools,Outline,Jigsaw Operations LLC,0.0,,2020-05-26,14159,https://play.google.com/store/apps/details?id=org.outline.android.client
HK,FREE,AND,2020,5,M,27,+13,,Tools,Google 翻译,Google LLC,0.0,,2020-07-10,13365,https://play.google.com/store/apps/details?id=com.google.android.apps.translate
HK,FREE,AND,2020,5,M,28,+47,,Finance,BoC Pay,Bank of China (Hong Kong) Limited,0.0,,2020-06-09,12679,https://play.google.com/store/apps/details?id=com.bochk.bocpay
HK,FREE,AND,2020,5,M,29,new,,Photography,FaceApp,FaceApp Inc,0.0,每件HK$14.99-HK$398.00,2020-07-23,12492,https://play.google.com/store/apps/details?id=io.faceapp
HK,FREE,AND,2020,5,M,30,+28,,Tools,Android 系统 WebView,Google LLC,0.0,,2020-06-17,12251,https://play.google.com/store/apps/details?id=com.google.android.webview
HK,FREE,AND,2020,5,M,31,-15,,Entertainment,Netflix,"Netflix, Inc.",0.0,每件HK$61.96-HK$95.90,2020-07-23,12210,https://play.google.com/store/apps/details?id=com.netflix.mediaclient
HK,FREE,AND,2020,5,M,32,new,,Shopping,好氣 Fun,Towngas,0.0,,2020-06-03,12014,https://play.google.com/store/apps/details?id=com.towngas.towngasfun
HK,FREE,AND,2020,5,M,33,+9,,Entertainment,影视之家,lijinghui,0.0,,2020-05-11,11753,https://play.google.com/store/apps/details?id=com.movies.yszj
HK,FREE,AND,2020,5,M,34,-9,,Finance,AIA Connect / 友聯繫,AIA International Limited,0.0,,2020-07-20,11436,https://play.google.com/store/apps/details?id=com.aiahk.idirect
HK,FREE,AND,2020,5,M,35,+9,,Finance,HSBC HK Mobile Banking 香港汇丰流动理财,The Hongkong and Shanghai Banking Corporation Ltd,0.0,,2020-07-08,11372,https://play.google.com/store/apps/details?id=hk.com.hsbc.hsbchkmobilebanking
HK,FREE,AND,2020,5,M,36,+18,,Finance,中银香港,Bank of China (Hong Kong) Limited,0.0,,2020-07-19,10677,https://play.google.com/store/apps/details?id=com.bochk.com
HK,FREE,AND,2020,5,M,37,-4,,Entertainment,Google Play 游戏,Google LLC,0.0,,2020-07-08,10254,https://play.google.com/store/apps/details?id=com.google.android.play.games
HK,FREE,AND,2020,5,M,38,-,,News & Magazines,Twitter,"Twitter, Inc.",0.0,,2020-07-23,10237,https://play.google.com/store/apps/details?id=com.twitter.android
HK,FREE,AND,2020,5,M,39,new,,Shopping,MUJI passport HK,"MUJI (Hong Kong) Co., Ltd.",0.0,,2020-03-31,10054,https://play.google.com/store/apps/details?id=hk.com.mujipassport.android.app
HK,FREE,AND,2020,5,M,40,+5,,Tools,八達通,Octopus Cards Limited,0.0,,2020-07-23,9773,https://play.google.com/store/apps/details?id=com.octopuscards.nfc_reader
HK,FREE,AND,2020,5,M,41,-2,,Entertainment,myTV SUPER,tvb.com,0.0,,2020-07-22,9328,https://play.google.com/store/apps/details?id=com.tvb.mytvsuper
HK,FREE,AND,2020,5,M,42,new,,Tools,Samsung Voice Recorder,"Samsung Electronics Co.,  Ltd.",0.0,,2020-05-15,8891,https://play.google.com/store/apps/details?id=com.sec.android.app.voicenote
HK,FREE,AND,2020,5,M,43,+13,,Communication,LINE,LINE Corporation,0.0,"每件HK$7.57-HK$1,168.00",2020-07-16,8286,https://play.google.com/store/apps/details?id=jp.naver.line.android
HK,FREE,AND,2020,5,M,44,+54,,Tools,S 换机助手 (Smart Switch Mobile),"Samsung Electronics Co.,  Ltd.",0.0,,2020-06-05,7249,https://play.google.com/store/apps/details?id=com.sec.android.easyMover
HK,FREE,AND,2020,5,M,45,+31,,Tools,最安全的免费 QRCode 阅读器,TWMobile,0.0,,2020-06-15,7245,https://play.google.com/store/apps/details?id=tw.mobileapp.qrcode.banner
HK,FREE,AND,2020,5,M,46,+3,,Finance,PayMe from HSBC,The Hongkong and Shanghai Banking Corporation Ltd,0.0,,2020-07-14,7226,https://play.google.com/store/apps/details?id=hk.com.hsbc.paymefromhsbc
HK,FREE,AND,2020,5,M,47,+25,,Entertainment,Funlab - 探索自我，發現樂趣,FL studio,0.0,每件HK$158.00-HK$619.00,2020-07-24,6896,https://play.google.com/store/apps/details?id=com.wf.funlab
HK,FREE,AND,2020,5,M,48,+15,,Music & Audio,Spotify - 音樂和 Podcast,Spotify Ltd.,0.0,,2020-07-23,6855,https://play.google.com/store/apps/details?id=com.spotify.music
HK,FREE,AND,2020,5,M,49,-21,,Business,Microsoft Teams,Microsoft Corporation,0.0,,2020-07-23,6530,https://play.google.com/store/apps/details?id=com.microsoft.teams
HK,FREE,AND,2020,5,M,50,+2,,Entertainment,ViuTV,HK Television Entertainment Company Limited,0.0,,2020-07-14,5988,https://play.google.com/store/apps/details?id=com.hktve.viutv
HK,FREE,AND,2020,5,M,51,-31,,Food & Drink,Deliveroo 戶戶送：美食送餐服務,Deliveroo,0.0,,2020-07-13,5753,https://play.google.com/store/apps/details?id=com.deliveroo.orderapp
HK,FREE,AND,2020,5,M,52,new,,Video Players & Editors,芒果TV国际-MangoTV,湖南快乐阳光互动娱乐传媒有限公司,0.0,每件HK$8.00-HK$258.00,2020-06-30,5739,https://play.google.com/store/apps/details?id=com.hunantv.imgo.activity.inter
HK,FREE,AND,2020,5,M,53,new,,Lifestyle,GoLocator: 定位仪,AppHeroes,0.0,每件HK$9.90-HK$149.00,2020-07-13,4930,https://play.google.com/store/apps/details?id=com.hulahoop.android
HK,FREE,AND,2020,5,M,54,new,,Lifestyle,美心西餅,Maxim's Group,0.0,,2018-09-20,4857,https://play.google.com/store/apps/details?id=com.maxims.MaximsCake2
HK,FREE,AND,2020,5,M,55,new,,Lifestyle,YATA-Fans,Yata Limited,0.0,,2020-07-13,4770,https://play.google.com/store/apps/details?id=hk.yata
