"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Productivity","Google One","Google LLC","0.0","每件HK$8.00-HK$1,199.00","2020-07-23","320000","https://play.google.com/store/apps/details?id=com.google.android.apps.subscriptions.red"
"2","-","Social","17LIVE - Live Streaming 直播互動社交平台","17 Media (H.K.) Limited","0.0","每件HK$8.00-HK$1,599.00","2020-07-24","160000","https://play.google.com/store/apps/details?id=com.machipopo.media17"
"3","-","Social","Bigo Live 香港 – 全球直播互動平臺","BIGO TECHNOLOGY PTE. LTD.","0.0","每件HK$8.00-HK$3,099.00","2020-07-07","96279","https://play.google.com/store/apps/details?id=sg.bigo.live"
"4","-","Music & Audio","JOOX Music: 免費唱K、聽歌、歌曲下載、音樂電台","Tencent Mobility Limited","0.0","每件HK$7.00-HK$1,288.00","2020-07-25","90264","https://play.google.com/store/apps/details?id=com.tencent.ibg.joox"
"5","-","Music & Audio","KKBOX - 音樂無限聽 Let’s music! 立即下載享受音樂歌曲與MV","KKBOX International Limited","0.0","每件HK$28.00-HK$159.00","2020-07-24","59896","https://play.google.com/store/apps/details?id=com.skysoft.kkbox.android"
"6","+2","Entertainment","线上抓娃娃机「抓乐霸」","CyberStep, Inc.","0.0","每件HK$44.00-HK$1,760.00","2020-02-19","48261","https://play.google.com/store/apps/details?id=com.cyberstep.toreba.android"
"7","-1","Social","Up直播 - 全球love","Asia Innovations HK Limited","0.0","每件HK$8.00-HK$3,088.00","2020-07-15","47189","https://play.google.com/store/apps/details?id=com.asiainno.uplive"
"8","-1","Lifestyle","Tinder","Tinder","0.0","每件HK$7.68-HK$2,349.00","2020-07-16","34829","https://play.google.com/store/apps/details?id=com.tinder"
"9","+1","Dating","Coffee Meets Bagel Dating app","Coffee Meets Bagel","0.0","每件HK$7.67-HK$1,409.00","2020-07-15","33228","https://play.google.com/store/apps/details?id=com.coffeemeetsbagel"
"10","+4","Books & Reference","悦路小说—小说电子书阅读器，海量经典小说看不停，电子书免费阅读器小说大全拇指阅读小说软件","Infinite Stories","0.0","每件HK$39.90-HK$389.00","2020-07-13","32705","https://play.google.com/store/apps/details?id=com.xinyue.academy"
"11","new","Personalization","OPixels - 好玩的照片编辑应用和潮流社区","MISSU LIMITED","0.0","每件HK$23.00-HK$708.00","2020-06-19","28598","https://play.google.com/store/apps/details?id=com.hd.wallpaper.backgrounds"
"12","-1","Dating","交友恋爱其实很简单✨ SweetRing - 认识理想对象的恋爱交友APP❤️","SweetRing","0.0","每件HK$8.00-HK$1,688.00","2020-07-23","25618","https://play.google.com/store/apps/details?id=com.sweetringplus.android"
"13","+7","Social","Pkdating-高颜值交友平台","PapaDating","0.0","每件HK$23.00-HK$1,959.00","2020-01-06","25558","https://play.google.com/store/apps/details?id=com.sgmc.bglast"
"14","+1","Social","MeMe直播 - 就是你想的那樣","Next Entertainment Hong Kong Limited","0.0","每件HK$7.50-HK$2,375.00","2020-07-17","24410","https://play.google.com/store/apps/details?id=chat.meme.inke"
"15","-2","Social","貓印直播-華人線上Live視頻直播軟體","chengsihting","0.0","每件HK$29.90-HK$1,929.00","2020-07-24","22627","https://play.google.com/store/apps/details?id=com.acfantastic.moreinlive"
"16","+2","Books & Reference","传奇书城","Infinite Stories","0.0","每件HK$8.00-HK$389.00","2020-05-18","20254","https://play.google.com/store/apps/details?id=and.legendnovel.app"
"17","-","Social","HAGO - Hangout Virtually: Game, Chat, Live","Hago Games","0.0","每件HK$8.00-HK$2,438.00","2020-07-22","18570","https://play.google.com/store/apps/details?id=com.yy.hiyo"
"18","+8","Books & Reference","小說快讀","Beijing yuejiantianxia Technology CO. LTD","0.0","每件HK$8.00-HK$389.00","2020-06-12","17811","https://play.google.com/store/apps/details?id=com.yj.xskd"
"19","+2","Books & Reference","小说大全--热门小说电子书阅读器","Reader Maker","0.0","每件HK$8.00-HK$389.00","2020-05-28","17174","https://play.google.com/store/apps/details?id=dmw.xsdq.app"
"20","-4","Books & Reference","火热小说","Bingo Reading","0.0","每件HK$8.00-HK$389.00","2020-07-01","16443","https://play.google.com/store/apps/details?id=com.xinmo.i18n.app"
"21","-2","Communication","LINE","LINE Corporation","0.0","每件HK$7.57-HK$1,168.00","2020-07-16","14831","https://play.google.com/store/apps/details?id=jp.naver.line.android"
"22","-","Productivity","Google 云端硬盘","Google LLC","0.0","每件HK$7.85-HK$7,952.00","2020-07-20","14707","https://play.google.com/store/apps/details?id=com.google.android.apps.docs"
