"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+1","Music & Audio","Poweramp Full Version Unlocker","Max MP","HK$38.88","","2020-01-20","138839","https://play.google.com/store/apps/details?id=com.maxmpz.audioplayer.unlock"
"2","-1","Photography","TouchRetouch","ADVA Soft","HK$15.49","","2020-07-13","128784","https://play.google.com/store/apps/details?id=com.advasoft.touchretouch"
"3","-","Video Players & Editors","MX Player Pro","MXP Media India (formerly J2 Interactive)","HK$46.00","","2020-07-22","105327","https://play.google.com/store/apps/details?id=com.mxtech.videoplayer.pro"
"4","+3","Tools","简易图库 Pro - 图片管理 & 编辑","Simple Mobile Tools","HK$7.99","","2020-06-18","92454","https://play.google.com/store/apps/details?id=com.simplemobiletools.gallery.pro"
"5","-1","Music & Audio","USB Audio Player PRO","eXtream Software Development","HK$65.00","每件HK$16.90-HK$33.00","2020-07-21","88491","https://play.google.com/store/apps/details?id=com.extreamsd.usbaudioplayerpro"
"6","+46","Tools","IDM+: Music, Video, Torrent Downloader [25% OFF]","Vicky Bonick","HK$18.00","","2020-05-29","84295","https://play.google.com/store/apps/details?id=idm.internet.download.manager.plus"
"7","+1","Personalization","Nova Launcher Prime","TeslaCoil Software","HK$39.00","","2019-01-18","48044","https://play.google.com/store/apps/details?id=com.teslacoilsw.launcher.prime"
"8","+4","Productivity","Noteshelf - 做笔记|手写| PDF标记","Fluid Touch","HK$39.90","","2020-07-25","45087","https://play.google.com/store/apps/details?id=com.fluidtouch.noteshelf2"
"9","-4","Tools","Tasker","joaomgcd","HK$24.90","","2020-02-15","44757","https://play.google.com/store/apps/details?id=net.dinglisch.android.taskerm"
"10","-1","Books & Reference","靜讀天下專業版","Moon+","HK$39.90","","2020-05-22","25588","https://play.google.com/store/apps/details?id=com.flyersoft.moonreaderp"
"11","+68","Tools","Game Booster 4x Faster Pro - GFX Tool & Lag Fix","G19 Mobile","HK$8.00","每件HK$8.00-HK$55.90","2020-05-26","24086","https://play.google.com/store/apps/details?id=com.g19mobile.gameboosterplus"
"12","+2","Productivity","ACR 证书","NLL","HK$24.00","","2018-01-30","18409","https://play.google.com/store/apps/details?id=com.nll.acr.license"
"13","+18","Maps & Navigations","Navigation Pro: Google Maps Navi on Samsung Watch","Smartwatch Studios","HK$29.99","","2020-07-12","16118","https://play.google.com/store/apps/details?id=smartwatchstudios.app.gears3navigation"
"14","+4","Video Players & Editors","nPlayer","Newin Inc.","HK$38.00","","2019-12-20","15805","https://play.google.com/store/apps/details?id=com.newin.nplayer.pro"
"15","+7","Music & Audio","Neutron Music Player","Neutron Code Limited","HK$50.90","","2020-07-10","15050","https://play.google.com/store/apps/details?id=com.neutroncode.mp"
"16","+8","Tools","SD女佣 专业版 - 解锁器","darken","HK$22.00","","2020-03-17","15049","https://play.google.com/store/apps/details?id=eu.thedarken.sdm.unlocker"
"17","+76","Communication","Threema","Threema GmbH","HK$24.90","","2020-07-01","13931","https://play.google.com/store/apps/details?id=ch.threema.app"
"18","-3","Productivity","Duet Display","Duet, Inc.","HK$78.00","每件HK$158.00-HK$238.00","2020-07-07","13833","https://play.google.com/store/apps/details?id=com.kairos.duet"
"19","-8","Education","Star Walk 2 - 天文指南和天空图: 随时随地观看星星，星座，行星和卫星","Vito Technology","HK$23.00","每件HK$7.00-HK$23.00","2020-05-05","13805","https://play.google.com/store/apps/details?id=com.vitotechnology.StarWalk2"
"20","-7","Tools","DroidCamX Wireless Webcam Pro","Dev47Apps","HK$40.00","","2020-07-03","12758","https://play.google.com/store/apps/details?id=com.dev47apps.droidcamx"
"21","-5","Business","Package Disabler Pro (Samsung)","policedeveloper","HK$23.00","","2019-09-20","12565","https://play.google.com/store/apps/details?id=com.kinder.pksafety"
"22","-16","Music & Audio","Onkyo HF Player Unlocker","Onkyo Corporation","HK$70.90","","2017-09-07","10852","https://play.google.com/store/apps/details?id=com.onkyo.jp.hfplayer_unlocker"
