Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
HK,FREE,IOS,2019,6,M,1,+28,,News,香港01 - 新聞資訊及生活服務,HK01 Company Limited,0.0,,2016-02-29,165328,https://itunes.apple.com/HK/app/id1084662006
HK,FREE,IOS,2019,6,M,2,+1,,Food & Drink,foodpanda - 線上美食訂購及生鮮雜貨外送,Foodpanda,0.0,,2013-11-25,86243,https://itunes.apple.com/HK/app/id758103884
HK,FREE,IOS,2019,6,M,3,new,,Photo & Video,FaceApp - AI 臉部編輯器,FaceApp Inc,0.0,,2017-01-24,61243,https://itunes.apple.com/HK/app/id1180884341
HK,FREE,IOS,2019,6,M,4,+244,,Social Networking,LIHKG 討論區,LIHKG Limited,0.0,,2016-11-25,50766,https://itunes.apple.com/HK/app/id1178373396
HK,FREE,IOS,2019,6,M,5,new,,News,Now 新聞 - 24小時直播,PCCW Media Limited,0.0,,2012-01-09,50092,https://itunes.apple.com/HK/app/id480933058
HK,FREE,IOS,2019,6,M,6,+174,,News,東網 - 東方日報,on.cc (HK) Limited,0.0,,2010-01-13,47486,https://itunes.apple.com/HK/app/id349812998
HK,FREE,IOS,2019,6,M,7,new,,Action,憤怒的主公 – 策略卡牌手遊巨作,jiekun chen,0.0,,2018-10-10,44976,https://itunes.apple.com/HK/app/id1437378678
HK,FREE,IOS,2019,6,M,8,-3,,Finance,AlipayHK (支付寶香港),Alipay Payment Services (HK) Limited,0.0,,2017-05-24,40290,https://itunes.apple.com/HK/app/id1210638245
HK,FREE,IOS,2019,6,M,9,+103,,Social Networking,Telegram Messenger,Telegram FZ-LLC,0.0,,2013-08-13,39406,https://itunes.apple.com/HK/app/id686449807
HK,FREE,IOS,2019,6,M,10,new,,Strategy,進擊的巨人,遊戲酒吧,0.0,300 鑽石 : HK$ 38.00 / 600 鑽石 : HK$ 78.00 / 1200 鑽石 : HK$ 158.00,2019-07-11,38211,https://itunes.apple.com/HK/app/id1238647149
HK,FREE,IOS,2019,6,M,11,new,,Shopping,DONKI,Pan Pacific Retail Management,0.0,,2019-07-21,37495,https://itunes.apple.com/HK/app/id1470192971
