"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Business","ZOOM Cloud Meetings","Zoom","0.0","","2012-08-14","262692","https://itunes.apple.com/HK/app/id546505307"
"2","+4","Food & Drink","foodpanda - 線上美食訂購及生鮮雜貨外送","Foodpanda","0.0","","2013-11-25","84984","https://itunes.apple.com/HK/app/id758103884"
"3","+225","Utilities","My HKBN (My Account)","Hong Kong Broadband Network Limited","0.0","","2013-01-07","56988","https://itunes.apple.com/HK/app/id586153084"
"4","+260","Healthcare & Fitness","Pulse by Prudential (HK)","Prudential Hong Kong Limited","0.0","","2019-12-19","45390","https://itunes.apple.com/HK/app/id1486134122"
"5","+231","Lifestyle","Yahoo","Yahoo","0.0","","2019-04-02","41002","https://itunes.apple.com/HK/app/id1455821641"
"6","+11","Lifestyle","JHC 日本城 JFUN","Japan Home Centre (HK) Ltd.","0.0","","2011-05-25","36955","https://itunes.apple.com/HK/app/id439164971"
"7","+9","Entertainment","Netflix","Netflix, Inc.","0.0","","2016-01-06","36403","https://itunes.apple.com/HK/app/id363590051"
"8","+6","Food & Drink","戶戶送：外賣美食","Deliveroo","0.0","","2015-11-26","33515","https://itunes.apple.com/HK/app/id1001501844"
"9","-1","Business","Microsoft Teams","Microsoft Corporation","0.0","","2016-11-02","28995","https://itunes.apple.com/HK/app/id1113153706"
"10","+19","Finance","HSBC HK 香港滙豐流動理財","HSBC Global Services (UK) Limited","0.0","","2016-10-26","27192","https://itunes.apple.com/HK/app/id1164066737"
"11","+13","Finance","PayMe from HSBC","The Hongkong and Shanghai Banking Corporation Ltd.","0.0","","2017-02-07","26373","https://itunes.apple.com/HK/app/id1184264977"
"12","+20","Entertainment","TikTok - 有趣的人都在這裡","TikTok Pte. Ltd.","0.0","","2020-06-09","25488","https://itunes.apple.com/HK/app/id1235601864"
"13","+9","Lifestyle","SaSaHK","Sa Sa Cosmetic Company Ltd","0.0","","2017-11-07","20836","https://itunes.apple.com/HK/app/id1304040141"
"14","+46","Finance","Octopus 八達通","Octopus Cards","0.0","","2016-08-01","20447","https://itunes.apple.com/HK/app/id1114430602"
"15","+11","Lifestyle","MyLink - 連接．生活","China Mobile Hong Kong Company Limited","0.0","","2011-12-11","19365","https://itunes.apple.com/HK/app/id483513425"
"16","+21","Social Networking","WhatsApp Messenger","WhatsApp Inc.","0.0","","2009-05-03","16922","https://itunes.apple.com/HK/app/id310633997"
"17","-13","Food & Drink","THE GULU","Gorilla Group Limited","0.0","","2013-11-13","16733","https://itunes.apple.com/HK/app/id739628906"
"18","+168","Finance","智財迅手機版","AASTOCKS.com Limited","0.0","","2010-05-04","15403","https://itunes.apple.com/HK/app/id368726182"
"19","new","Utilities","广告主的恶梦","jiang wan","0.0","","2019-11-14","14813","https://itunes.apple.com/HK/app/id1482063271"
"20","-8","Business","Google Meet","Google LLC","0.0","","2017-02-27","13941","https://itunes.apple.com/HK/app/id1013231476"
"21","+91","Travel","大航假期","大航假期有限公司","0.0","","2014-08-15","13934","https://itunes.apple.com/HK/app/id904196877"
"22","+18","Photo & Video","YouTube","Google LLC","0.0","","2012-09-11","13920","https://itunes.apple.com/HK/app/id544007664"
"23","-10","News","香港01 - 新聞資訊及生活服務","HK01 Company Limited","0.0","","2016-02-29","13448","https://itunes.apple.com/HK/app/id1084662006"
"24","+15","Productivity","Gmail - Google 推出的電子郵件服務","Google LLC","0.0","","2011-11-02","12336","https://itunes.apple.com/HK/app/id422689480"
"25","new","Utilities","NetTools+","jiang wan","0.0","","2019-11-10","11991","https://itunes.apple.com/HK/app/id1484759089"
"26","+29","Photo & Video","Instagram","Instagram, Inc.","0.0","","2010-10-06","11970","https://itunes.apple.com/HK/app/id389801252"
"27","+49","Finance","中銀香港","Bank of China (Hong Kong) Limited","0.0","","2010-08-15","11851","https://itunes.apple.com/HK/app/id385731633"
"28","-25","Shopping","HKTVmall – 網上購物","Hong Kong Television Network Limited","0.0","","2014-11-12","11277","https://itunes.apple.com/HK/app/id910398738"
"29","-14","Education","Google Classroom","Google LLC","0.0","","2015-01-13","10976","https://itunes.apple.com/HK/app/id924620788"
"30","-5","Business","順豐速運","顺丰","0.0","","2018-05-27","10902","https://itunes.apple.com/HK/app/id1383101059"
"31","new","Adventure","七大罪：光與暗之交戰","Netmarble Corporation","0","","2020-03-02","10849","https://itunes.apple.com/HK/app/id1475440231"
"32","+35","Food & Drink","麥當勞® App","MHK Restaurants Limited","0.0","","2017-11-28","10375","https://itunes.apple.com/HK/app/id1316860583"
"33","+39","Photo & Video","Z相機 - 趣玩百變特效","Funnytech Corporation","0.0","","2020-04-07","10270","https://itunes.apple.com/HK/app/id1407162950"
"34","+35","Finance","AlipayHK (支付寶香港)","Alipay Payment Services (HK) Limited","0.0","","2017-05-24","10200","https://itunes.apple.com/HK/app/id1210638245"
"35","-30","Utilities","安全錦囊","Construction Industry Council","0.0","","2015-05-28","10178","https://itunes.apple.com/HK/app/id985904083"
"36","+5","Music","YouTube Music","Google LLC","0.0","","2019-11-05","10162","https://itunes.apple.com/HK/app/id1017492454"
"37","new","Entertainment","Nintendo Switch Online","Nintendo Co., Ltd.","0.0","","2019-04-21","10061","https://itunes.apple.com/HK/app/id1234806557"
"38","+8","Productivity","掃描全能王CamScanner|文字識別翻譯","INTSIG Information Co.,Ltd","0.0","","2010-08-27","9948","https://itunes.apple.com/HK/app/id388627783"
"39","+27","Food & Drink","東海堂 arome","Arome Bakery (H.K.) Company Limited","0.0","","2019-08-10","9927","https://itunes.apple.com/HK/app/id1466185290"
"40","+40","Utilities","Google","Google LLC","0.0","","2019-02-12","9921","https://itunes.apple.com/HK/app/id284815942"
"41","new","Healthcare & Fitness","居安抗疫","Office of the Government Chief Information Officer, Hong Kong SAR Government","0.0","","2020-03-17","9918","https://itunes.apple.com/HK/app/id1499780720"
