"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+9","Kids","萬國覺醒-RoK","Lilith Games","0.0","","2018-09-20","219440","https://itunes.apple.com/HK/app/id1354260888"
"2","-1","Card","聖鬥士星矢：覺醒","GAMESWORD CO., LIMITED","0.0","","2019-02-26","157494","https://itunes.apple.com/HK/app/id1444385242"
"3","-","Kids","叫我萬歲爺（國際版）","Clicktouch Co.,Ltd.","0.0","60元寶 : HK$ 8.00 / 300元寶 : HK$ 38.00 / 680元寶 : HK$ 78.00","2018-05-01","107478","https://itunes.apple.com/HK/app/id1372629721"
"4","+4","Action","Garena 傳說對決：刀劍神域合作始動","Garena Online Private Ltd","0.0","","2016-10-12","68930","https://itunes.apple.com/HK/app/id1089079153"
"5","+10","Strategy","叫我官老爺 - 原創宮廷模擬當官手遊","Guangzhou BanFu Information Technology Company Limited.","0.0","","2017-07-19","57341","https://itunes.apple.com/HK/app/id1241253595"
"6","+10","Arcade","神魔之塔","Mad Head Limited","0.0","","2013-01-14","51676","https://itunes.apple.com/HK/app/id583798880"
"7","+4","Simulation","Captain Tsubasa: Dream Team","KLab Inc.","0.0","","2017-12-04","49051","https://itunes.apple.com/HK/app/id1293738123"
"8","-2","Adventure","明日之後 - 末世生存手遊","NetEase Games","0.0","","2019-01-09","42075","https://itunes.apple.com/HK/app/id1441752845"
"9","+35","Action","MARVEL 未來之戰","Netmarble Corporation","0.0","","2015-04-29","41875","https://itunes.apple.com/HK/app/id955705796"
"10","+12","Action","第五人格-1v4非對稱對戰手遊","NetEase Games","0.0","","2018-07-06","31015","https://itunes.apple.com/HK/app/id1347780764"
"11","-4","Racing","Garena 極速領域：全新進化","Garena Online Private Ltd","0.0","","2019-01-17","30900","https://itunes.apple.com/HK/app/id1416604843"
"12","+51","Puzzle","DRAGON BALL Z -七龍珠爆裂激戰-","BANDAI NAMCO Entertainment Inc.","0.0","","2015-11-01","30854","https://itunes.apple.com/HK/app/id951627425"
"13","+8","Strategy","我在大清當皇帝（國際版）","Clicktouch Co.,Ltd.","0.0","","2015-08-06","25343","https://itunes.apple.com/HK/app/id1015763729"
"14","+142","Entertainment","腾讯视频-认真的嘎嘎们独播","Tencent Technology (Shenzhen) Company Limited","0.0","","2012-09-21","24610","https://itunes.apple.com/HK/app/id458318329"
"15","+3","Action","焚情訣","lngame","0.0","","2019-02-12","22644","https://itunes.apple.com/HK/app/id1435459811"
"16","-12","Adventure","風色童話","X-LEGEND ENTERTAINMENT CO., LTD.","0.0","","2018-12-03","22217","https://itunes.apple.com/HK/app/id1417708139"
"17","+91","Action","天空之門-首款萬人天空激戰鉅作","GAME Dreamer (HK) Limited","0.0","60 鑽石 : HK$ 8.00 / 300 鑽石 : HK$ 38.00 / 600 鑽石 : HK$ 78.00","2019-04-23","19317","https://itunes.apple.com/HK/app/id1443459796"
"18","+32","Word","紫禁繁花-小宮女逆襲紫禁城","Meogames","0.0","","2018-12-17","18969","https://itunes.apple.com/HK/app/id1442053164"
"19","+7","Arcade","糖果傳奇","King","0.0","","2012-11-14","18689","https://itunes.apple.com/HK/app/id553834731"
"20","-11","Strategy","PUBG MOBILE-全新地圖：LIVIK","Tencent Mobile International Limited","0.0","","2018-03-19","16703","https://itunes.apple.com/HK/app/id1330123889"
"21","+11","Puzzle","Puzzle & Dragons","GungHo Online Entertainment, Inc.","0.0","魔法石　1個 : HK$ 8.00 / 魔法石　6個 : HK$ 38.00 / 魔法石　12個 : HK$ 68.00","2014-03-02","16082","https://itunes.apple.com/HK/app/id808027845"
"22","+65","Strategy","陰陽師Onmyoji-和風幻想RPG","NetEase Games","0.0","限時禮包壹 : HK$ 128.00 / 限時禮包贰 : HK$ 318.00 / 限時禮包叁 : HK$ 618.00","2016-12-14","15513","https://itunes.apple.com/HK/app/id1164388317"
"23","+24","Action","DRAGON BALL LEGENDS -七龍珠 激戰傳說-","BANDAI NAMCO Entertainment Inc.","0.0","","2018-05-31","15445","https://itunes.apple.com/HK/app/id1358222641"
"24","-12","Adventure","Fate/Grand Order","Moe Lee","0.0","首儲禮包（5個聖晶石） : HK$ 8.00 / 聖晶石1個 : HK$ 8.00 / 聖晶石4個+贈送（免費）1個 : HK$ 28.00","2017-05-17","14408","https://itunes.apple.com/HK/app/id1225867328"
"25","+8","Action","部落衝突:皇室戰爭「Clash Royale」","Supercell","0.0","","2016-01-03","13780","https://itunes.apple.com/HK/app/id1053012308"
"26","-7","Kids","閃耀暖暖","Jue Yu","0.0","","2019-04-09","12900","https://itunes.apple.com/HK/app/id1447235764"
"27","-10","Action","Dragalia Lost ～失落的龍絆～","Nintendo Co., Ltd.","0.0","","2018-09-26","12806","https://itunes.apple.com/HK/app/id1352230941"
"28","+18","Adventure","超異域公主連結！Re:Dive","So-net Taiwan Limited","0.0","寶石50個 : HK$ 8.00 / 寶石150個 : HK$ 23.00 / 寶石300個 : HK$ 48.00","2018-08-04","11129","https://itunes.apple.com/HK/app/id1390473317"
"29","+7","Strategy","新三國志手機版-港澳版","Hong Kong Black Beard Game Limited","0.0","90元寶 : HK$ 15.00 / 225元寶 : HK$ 38.00 / 450元寶 : HK$ 78.00","2017-11-15","10624","https://itunes.apple.com/HK/app/id1289157855"
"30","-2","Strategy","真三國大戰2-要玩就玩真的","GAE HK Inc.","0.0","60鑽石 : HK$ 8.00 / 300鑽石 : HK$ 38.00 / 680鑽石 : HK$ 78.00","2018-08-15","10550","https://itunes.apple.com/HK/app/id1401898390"
"31","+12","Music","JOOX Music: 隨時聽歌唱K及下載歌曲","Tencent Mobility Limited","0.0","JOOX VIP（1個月） : HK$ 23.00 / JOOX VIP（3個月） : HK$ 138.00 / JOOX VIP（12個月） : HK$ 488.00","2014-12-19","9601","https://itunes.apple.com/HK/app/id914406371"
"32","-12","Kids","Pokémon GO","Niantic, Inc.","0.0","","2016-07-24","9441","https://itunes.apple.com/HK/app/id1094591345"
"33","-2","Strategy","黑道風雲","YOTTA GAMES LIMITED","0.0","Game of Mafia Gift3 : HK$ 38.00 / Game of Mafia Gift2 : HK$ 23.00 / Game of Mafia Gift1 : HK$ 8.00","2017-02-09","9273","https://itunes.apple.com/HK/app/id1163967490"
"34","+17","Music","KKBOX - Listen to music 音樂無限聽!","KKBOX","0.0","選擇自動續訂 KKBOX 月租型白金會員 : HK$ 48.00 / 選擇 KKBOX香港 每月扣款續訂白金會員 : HK$ 53.00 / KKBOX馬來西亞 月租型白金會員(自動續訂) : HK$ 28.00","2009-01-06","9022","https://itunes.apple.com/HK/app/id300915900"
"35","+25","Simulation","夢幻家園 (Homescapes)","Playrix","0.0","","2017-09-19","8746","https://itunes.apple.com/HK/app/id1195621598"
"36","-12","Strategy","夢幻模擬戰","GameBeans","0.0","","2018-10-02","8458","https://itunes.apple.com/HK/app/id1424179149"
"37","-2","Adventure","勇者與龍之森","9Splay Entertainment Technology Co., LTD.","0.0","","2019-04-08","8225","https://itunes.apple.com/HK/app/id1452449346"
"38","-4","Strategy","王國紀元(Lords Mobile)","IGG.COM","0.0","","2016-03-30","8134","https://itunes.apple.com/HK/app/id1071976327"
"39","+3","Entertainment","Netflix","Netflix, Inc.","0.0","","2016-01-06","8093","https://itunes.apple.com/HK/app/id363590051"
"40","+18","Lifestyle","Tinder - 豐富社交生活","Tinder Inc.","0.0","","2012-08-02","7939","https://itunes.apple.com/HK/app/id547702041"
"41","-2","Strategy","新神鵰俠侶 港澳","Hong Kong Black Beard Game Limited","0.0","","2018-12-19","7749","https://itunes.apple.com/HK/app/id1435473903"
"42","+6","Social Networking","17LIVE - Live Streaming","17 MEDIA (H.K.) LIMITED","0.0","","2015-06-05","7733","https://itunes.apple.com/HK/app/id988259048"
"43","+10","Strategy","熹妃傳-第一部可玩的宮鬥小說","SUPERJOY INTERACTIVE GAMES LIMITED","0.0","","2015-11-23","7555","https://itunes.apple.com/HK/app/id1038294675"
"44","+18","Strategy","魔靈召喚: 天空之役","Com2uS Corp.","0.0","","2014-06-11","7270","https://itunes.apple.com/HK/app/id852912420"
