"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Adventure","Minecraft.","Mojang","HK$ 53.00","","2011-11-17","264642","https://itunes.apple.com/HK/app/id479516143"
"2","+1","Kids","Plague Inc. (瘟疫公司)","Ndemic Creations","HK$ 8.00","","2012-05-25","105408","https://itunes.apple.com/HK/app/id525818839"
"3","+204","Finance","秒速記帳 1SecMoney","Ping-Hsien Chou","HK$ 15.00","","2014-11-02","92066","https://itunes.apple.com/HK/app/id926076608"
"4","-","Photo & Video","TouchRetouch","ADVA Soft GmbH","HK$ 15.00","","2010-06-08","75468","https://itunes.apple.com/HK/app/id373311252"
"5","-3","Productivity","Forest 專注森林","SEEKRTECH CO., LTD.","HK$ 15.00","","2014-05-10","71323","https://itunes.apple.com/HK/app/id866450515"
"6","new","Strategy","怪奇小店","Silong Yang","HK$ 28.00","","2019-05-05","66738","https://itunes.apple.com/HK/app/id1335049416"
"7","+1","Strategy","Rebel Inc. (反叛公司)","Ndemic Creations","HK$ 15.00","","2018-12-04","42103","https://itunes.apple.com/HK/app/id1439187947"
"8","+1","Sportsgame","NBA 2K19","2K","HK$ 58.00","","2018-09-26","39862","https://itunes.apple.com/HK/app/id1412321065"
"9","-3","Role Playing","超級群俠傳-單機武俠手游","Yue Jiang","HK$ 8.00","","2018-08-28","34861","https://itunes.apple.com/HK/app/id1149477636"
"10","+13","Strategy","三國志漢末霸業","ChengDu LongYou Tech Ltd","HK$ 78.00","","2018-06-14","32935","https://itunes.apple.com/HK/app/id1373057849"
"11","-","Photo & Video","FILCA - SLR Film Camera","Cheol Kim","HK$ 8.00","","2018-09-22","29894","https://itunes.apple.com/HK/app/id1436429074"
"12","+28","Role Playing","月圓之夜","Giant Network Technology Co., Ltd.","HK$ 8.00","","2017-10-18","22429","https://itunes.apple.com/HK/app/id1278845241"
"13","-6","Entertainment","Avengers: Endgame Stickers","Marvel Entertainment","HK$ 15.00","","2019-04-24","22336","https://itunes.apple.com/HK/app/id1458556514"
"14","-2","Utilities","iSafe Pro","Fanship","HK$ 8.00","","2010-12-14","21867","https://itunes.apple.com/HK/app/id402012828"
"15","new","Adventure","Evoland 2","Playdigious","HK$ 8.00","","2018-02-27","21390","https://itunes.apple.com/HK/app/id1291427111"
