Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
HK,PAID,IOS,2019,6,M,1,-,,Adventure,Minecraft.,Mojang,HK$ 53.00,,2011-11-17,389757,https://itunes.apple.com/HK/app/id479516143
HK,PAID,IOS,2019,6,M,2,+2,,Photo & Video,TouchRetouch,ADVA Soft GmbH,HK$ 15.00,,2010-06-08,108550,https://itunes.apple.com/HK/app/id373311252
HK,PAID,IOS,2019,6,M,3,+2,,Productivity,Forest 專注森林,"SEEKRTECH CO., LTD.",HK$ 15.00,,2014-05-10,105468,https://itunes.apple.com/HK/app/id866450515
HK,PAID,IOS,2019,6,M,4,-2,,Kids,Plague Inc. (瘟疫公司),Ndemic Creations,HK$ 8.00,,2012-05-25,105253,https://itunes.apple.com/HK/app/id525818839
HK,PAID,IOS,2019,6,M,5,+6,,Photo & Video,FILCA - SLR Film Camera,Cheol Kim,HK$ 28.00,,2018-09-22,80524,https://itunes.apple.com/HK/app/id1436429074
HK,PAID,IOS,2019,6,M,6,new,,Strategy,大征服者: 羅馬,EASY Inc.,0,,2019-06-27,75028,https://itunes.apple.com/HK/app/id1462722690
HK,PAID,IOS,2019,6,M,7,-,,Strategy,Rebel Inc. (反叛公司),Ndemic Creations,HK$ 15.00,,2018-12-04,63191,https://itunes.apple.com/HK/app/id1439187947
HK,PAID,IOS,2019,6,M,8,+522,,Strategy,修仙掌門人 - 模擬經營仙俠遊戲,Xuan Su,HK$ 8.00,,2018-10-19,56836,https://itunes.apple.com/HK/app/id1436567310
HK,PAID,IOS,2019,6,M,9,+5,,Utilities,iSafe Pro,Fanship,HK$ 8.00,,2010-12-14,46539,https://itunes.apple.com/HK/app/id402012828
HK,PAID,IOS,2019,6,M,10,-2,,Sportsgame,NBA 2K19,2K,$7.99,,2018-09-26,43890,https://itunes.apple.com/HK/app/id1412321065
HK,PAID,IOS,2019,6,M,11,new,,Role Playing,魔石傳說,Simplist Limited,HK$ 28.00,,2019-06-07,43877,https://itunes.apple.com/HK/app/id1410350374
HK,PAID,IOS,2019,6,M,12,-2,,Strategy,三國志漢末霸業,ChengDu LongYou Tech Ltd,HK$ 78.00,,2018-06-14,38020,https://itunes.apple.com/HK/app/id1373057849
HK,PAID,IOS,2019,6,M,13,+8,,Social Networking,WatchChat 2: for WhatsApp,Alexander Nowak,HK$ 23.00,,2017-10-26,29839,https://itunes.apple.com/HK/app/id1299535391
HK,PAID,IOS,2019,6,M,14,new,,Role Playing,紙境英雄,深圳独立视界互动游戏有限公司,R14.99,,2019-05-22,24894,https://itunes.apple.com/HK/app/id1441418773
HK,PAID,IOS,2019,6,M,15,+72,,Card,夢之彼端,"WEXPLORE GAMES CO., LIMITED",0,,2019-04-09,24728,https://itunes.apple.com/HK/app/id1445376954
HK,PAID,IOS,2019,6,M,16,+45,,Simulation,Football Manager 2019 Mobile,SEGA,$8.99,,2018-11-02,23422,https://itunes.apple.com/HK/app/id1437397276
HK,PAID,IOS,2019,6,M,17,+139,,Adventure,Pocket Build,MoonBear LTD,HK$ 8.00,,2017-10-31,22507,https://itunes.apple.com/HK/app/id1293681293
HK,PAID,IOS,2019,6,M,18,-1,,Music,DEEMO,Rayark International Limited,HK$ 15.00,,2013-11-12,20551,https://itunes.apple.com/HK/app/id700637744
HK,PAID,IOS,2019,6,M,19,+4,,Arcade,Cytus,Rayark International Limited,HK$ 15.00,,2012-01-12,20313,https://itunes.apple.com/HK/app/id485246824
HK,PAID,IOS,2019,6,M,20,+18,,Simulation,迷你地鐵,Dinosaur Polo Club,HK$ 28.00,,2015-12-25,19685,https://itunes.apple.com/HK/app/id837860959
HK,PAID,IOS,2019,6,M,21,new,,Games,RFS - Real Flight Simulator,RORTOS SRL,HK$ 8.00,,2019-07-23,18650,https://itunes.apple.com/HK/app/id1444761746
HK,PAID,IOS,2019,6,M,22,-9,,Entertainment,Avengers: Endgame Stickers,Marvel Entertainment,HK$ 15.00,,2019-04-24,17038,https://itunes.apple.com/HK/app/id1458556514
HK,PAID,IOS,2019,6,M,23,+17,,Arcade,Street Fighter IV CE,CAPCOM,HK$ 38.00,,2017-07-11,16410,https://itunes.apple.com/HK/app/id1239299402
HK,PAID,IOS,2019,6,M,24,+518,,Music,Muse Dash,X.D. Network Inc.,HK$ 23.00,,2018-06-14,14753,https://itunes.apple.com/HK/app/id1361473095
HK,PAID,IOS,2019,6,M,25,-6,,Photo & Video,kirakira+,bytes inc.,HK$ 8.00,,2015-02-25,14671,https://itunes.apple.com/HK/app/id955687901
HK,PAID,IOS,2019,6,M,26,-8,,Card,DungeonMaker,GameCoaster,HK$ 38.00,,2018-05-19,14331,https://itunes.apple.com/HK/app/id1359652100
