Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
HK,FREE,AND,2019,8,M,1,-,,Education,开言英语 - 地道英语流利说,Openlanguage Inc.,0.0,"每件HK$78.00-HK$1,399.00",2020-07-23,263056,https://play.google.com/store/apps/details?id=com.openlanguage.kaiyan
HK,FREE,AND,2019,8,M,2,-,,Education,英孚英语24/7,Signum International AG,0.0,,2020-04-09,109518,https://play.google.com/store/apps/details?id=com.ef.english24_7
HK,FREE,AND,2019,8,M,3,-,,Education,eClass Parent App,BroadLearning Education (Asia) Limited,0.0,,2020-06-17,90072,https://play.google.com/store/apps/details?id=com.broadlearning.eclass
HK,FREE,AND,2019,8,M,4,+3,,Education,超人中中,CLP Power Hong Kong Limited,0.0,,2019-09-30,87062,https://play.google.com/store/apps/details?id=com.clp.poweryoueducationkit
HK,FREE,AND,2019,8,M,5,-1,,Education,倉頡/速成練習工具,OpenserTk,0.0,每件HK$49.90,2019-06-28,67047,https://play.google.com/store/apps/details?id=com.opensertk.cangjie_practice_ss_directload
HK,FREE,AND,2019,8,M,6,-,,Education,英汉字典 EC Dictionary,CSST,0.0,,2019-07-14,53125,https://play.google.com/store/apps/details?id=com.csst.ecdict
HK,FREE,AND,2019,8,M,7,-2,,Education,WordBit 英語 (自動學習) -繁體,WordBit,0.0,,2020-02-01,51252,https://play.google.com/store/apps/details?id=net.wordbit.entw
HK,FREE,AND,2019,8,M,8,+174,,Education,Teamwork School,TalkBox Limited,0.0,,2020-02-26,34124,https://play.google.com/store/apps/details?id=com.talkboxapp.teamwork.school
HK,FREE,AND,2019,8,M,9,+7,,Education,Photomath,"Photomath, Inc.",0.0,每件HK$8.00-HK$469.00,2020-07-08,33650,https://play.google.com/store/apps/details?id=com.microblink.photomath
HK,FREE,AND,2019,8,M,10,-1,,Education,BBC Learning English,Media Applications Technologies for the BBC,0.0,,2020-06-11,33150,https://play.google.com/store/apps/details?id=uk.co.bbc.learningenglish
HK,FREE,AND,2019,8,M,11,+104,,Education,Remind: School Communication,Remind101,0.0,,2020-02-28,30000,https://play.google.com/store/apps/details?id=com.remind101
HK,FREE,AND,2019,8,M,12,-,,Education,GRWTH,GRWTH Limited,0.0,,2020-07-07,28698,https://play.google.com/store/apps/details?id=com.grwth.portal
HK,FREE,AND,2019,8,M,13,-5,,Education,多邻国｜免费学英语,Duolingo,0.0,每件HK$8.00-HK$996.00,2020-07-20,27772,https://play.google.com/store/apps/details?id=com.duolingo
HK,FREE,AND,2019,8,M,14,+5,,Education,TED,TED Conferences LLC,0.0,,2020-07-09,26181,https://play.google.com/store/apps/details?id=com.ted.android
HK,FREE,AND,2019,8,M,15,-4,,Education,英语沟通 - 免费学英语 (Learn English for Chinese),BkiT Software | Từ điển - Ngoại ngữ,0.0,,2018-10-05,23566,https://play.google.com/store/apps/details?id=com.ndm.chinese.learnenglish
HK,FREE,AND,2019,8,M,16,+7,,Education,eClass Student App,BroadLearning Education (Asia) Limited,0.0,,2020-05-11,20709,https://play.google.com/store/apps/details?id=com.broadlearning.eclassstudent
HK,FREE,AND,2019,8,M,17,+1,,Education,英汉字典 | 汉英字典: 支援离线英语发音 / English Chinese Dictionary,Bravolol - Language Learning,0.0,每件HK$13.00-HK$398.00,2020-06-19,19441,https://play.google.com/store/apps/details?id=com.bravolol.bravolang.englishchinesecdictionary
HK,FREE,AND,2019,8,M,18,+6,,Education,Google Classroom,Google LLC,0.0,,2020-06-10,18703,https://play.google.com/store/apps/details?id=com.google.android.apps.classroom
HK,FREE,AND,2019,8,M,19,+1,,Education,Snapask: 一对一即时课业辅导,Snapask,0.0,"每件HK$8.00-HK$2,938.00",2020-07-21,17239,https://play.google.com/store/apps/details?id=co.appedu.snapask
HK,FREE,AND,2019,8,M,20,-5,,Education,香港小學習字表 - 根據官方指引設計,Secmenu Technology Co,0.0,,2019-11-05,15801,https://play.google.com/store/apps/details?id=com.secmenu.chineselearning
HK,FREE,AND,2019,8,M,21,-11,,Education,国际空间站高清实况：观看地球实况,VKL Apps,0.0,每件HK$13.00,2020-05-14,14414,https://play.google.com/store/apps/details?id=com.nicedayapps.iss_free
