"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Education","Google Classroom","Google LLC","0.0","","2020-06-10","291281","https://play.google.com/store/apps/details?id=com.google.android.apps.classroom"
"2","-","Education","Cake - 免费英语会话","Playlist Corporation","0.0","","2020-07-22","135638","https://play.google.com/store/apps/details?id=me.mycake"
"3","new","Education","HKDSE","AVEEGO LIMITED","0.0","","2019-02-25","59457","https://play.google.com/store/apps/details?id=com.hkdse"
"4","-1","Education","Simply Piano 由 JoyTunes 开发","JoyTunes","0.0","每件HK$45.90-HK$1,159.00","2020-07-21","56967","https://play.google.com/store/apps/details?id=com.joytunes.simplypiano"
"5","+2","Education","Conects Q&A-Homework help (Math & Science Solver)","ST Unitas","0.0","","2020-03-03","56049","https://play.google.com/store/apps/details?id=com.stu.conects"
"6","-1","Education","Edpuzzle","Edpuzzle","0.0","","2020-06-10","55298","https://play.google.com/store/apps/details?id=com.edpuzzle.student"
"7","+2","Education","Lingokids - playlearning™  英文應用","Lingokids - English Learning For Kids","0.0","每件HK$7.00-HK$1,059.00","2020-07-13","52439","https://play.google.com/store/apps/details?id=es.monkimun.lingokids"
"8","+11","Education","Kahoot!","Kahoot!","0.0","每件HK$23.00-HK$1,879.00","2020-07-13","49449","https://play.google.com/store/apps/details?id=no.mobitroll.kahoot.android"
"9","-5","Education","eClass Parent App","BroadLearning Education (Asia) Limited","0.0","","2020-06-17","49074","https://play.google.com/store/apps/details?id=com.broadlearning.eclass"
"10","+3","Education","英孚英语24/7","Signum International AG","0.0","","2020-04-09","48305","https://play.google.com/store/apps/details?id=com.ef.english24_7"
"11","+5","Education","开言英语 - 地道英语流利说","Openlanguage Inc.","0.0","每件HK$78.00-HK$1,399.00","2020-07-23","42119","https://play.google.com/store/apps/details?id=com.openlanguage.kaiyan"
"12","new","Education","Interactive Handwriting - Scan to Reveal","Letterland","0.0","","2019-12-23","28128","https://play.google.com/store/apps/details?id=com.letterland.interactivehandwriting"
"13","+2","Education","英汉字典 EC Dictionary","CSST","0.0","","2019-07-14","24023","https://play.google.com/store/apps/details?id=com.csst.ecdict"
"14","+4","Education","香港小學習字表 - 根據官方指引設計","Secmenu Technology Co","0.0","","2019-11-05","23574","https://play.google.com/store/apps/details?id=com.secmenu.chineselearning"
"15","-4","Education","EVIGarten","EVI Services Limited","0.0","","2020-05-16","23262","https://play.google.com/store/apps/details?id=hk.com.evi.evifamily.kids"
"16","+12","Education","倉頡/速成練習工具","OpenserTk","0.0","每件HK$49.90","2019-06-28","19707","https://play.google.com/store/apps/details?id=com.opensertk.cangjie_practice_ss_directload"
"17","+17","Education","PlantNet 植物识别","plantnet-project.org","0.0","","2020-07-20","18692","https://play.google.com/store/apps/details?id=org.plantnet"
"18","-12","Education","eClass Student App","BroadLearning Education (Asia) Limited","0.0","","2020-05-11","18442","https://play.google.com/store/apps/details?id=com.broadlearning.eclassstudent"
"19","-9","Education","GRWTH","GRWTH Limited","0.0","","2020-07-07","17848","https://play.google.com/store/apps/details?id=com.grwth.portal"
"20","-12","Education","Oxford iSolution","Oxford University Press (China) Ltd.","0.0","","2020-01-07","17226","https://play.google.com/store/apps/details?id=abacus.com.hk.androidebook"
"21","-4","Education","微软数学","Microsoft Corporation","0.0","","2020-06-11","17150","https://play.google.com/store/apps/details?id=com.microsoft.math"
"22","-","Education","英汉字典 | 汉英字典: 支援离线英语发音 / English Chinese Dictionary","Bravolol - Language Learning","0.0","每件HK$13.00-HK$398.00","2020-06-19","16706","https://play.google.com/store/apps/details?id=com.bravolol.bravolang.englishchinesecdictionary"
"23","+4","Education","Photomath","Photomath, Inc.","0.0","每件HK$8.00-HK$469.00","2020-07-08","16661","https://play.google.com/store/apps/details?id=com.microblink.photomath"
