"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+1","Education","Blinkist - Nonfiction Books","Blinks Labs GmbH","0.0","每件HK$8.00-HK$1,188.00","2020-07-20","203500","https://play.google.com/store/apps/details?id=com.blinkslabs.blinkist.android"
"2","-1","Education","Udemy - 在线课程","Udemy","0.0","每件HK$8.00-HK$1,629.00","2020-07-16","182500","https://play.google.com/store/apps/details?id=com.udemy.android"
"3","+2","Education","Drops：學習39種新語言","Language Drops","0.0","每件HK$8.00-HK$1,509.00","2020-07-22","78456","https://play.google.com/store/apps/details?id=com.languagedrops.drops.international"
"4","+2","Education","Snapask: 一对一即时课业辅导","Snapask","0.0","每件HK$8.00-HK$2,938.00","2020-07-21","74821","https://play.google.com/store/apps/details?id=co.appedu.snapask"
"5","-2","Education","Bright — English for beginners","EnglishApps","0.0","每件HK$39.90-HK$299.00","2020-06-08","57796","https://play.google.com/store/apps/details?id=com.engbright"
"6","-2","Education","多邻国｜免费学英语","Duolingo","0.0","每件HK$8.00-HK$996.00","2020-07-20","55692","https://play.google.com/store/apps/details?id=com.duolingo"
"7","-","Education","跟忆术家学语言: 英语、 日语、意大利语、 西班牙语、 德语、 法语、 俄语、 韩语、 阿拉伯语等","Memrise","0.0","每件HK$7.00-HK$1,088.00","2020-07-22","54226","https://play.google.com/store/apps/details?id=com.memrise.android.memrisecompanion"
"8","+2","Education","Busuu 博說：學習語言 – 英文、日文、西班牙文等更多語言","Busuu","0.0","每件HK$7.00-HK$1,299.99","2020-07-17","29326","https://play.google.com/store/apps/details?id=com.busuu.android.enc"
"9","-","Education","Epic!童书海洋","Epic! Creations Inc","0.0","每件HK$38.68-HK$559.00","2020-07-17","25655","https://play.google.com/store/apps/details?id=com.getepic.Epic"
"10","-2","Education","Lingokids - playlearning™  英文應用","Lingokids - English Learning For Kids","0.0","每件HK$7.00-HK$1,059.00","2020-07-13","21659","https://play.google.com/store/apps/details?id=es.monkimun.lingokids"
"11","+25","Education","Skillshare 在线课程","Skillshare, Inc","0.0","每件HK$77.43-HK$779.00","2020-07-08","21577","https://play.google.com/store/apps/details?id=com.skillshare.Skillshare"
