Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
HK,GROSS,AND,2019,10,M,1,-,,Education,Udemy - 在线课程,Udemy,0.0,"每件HK$8.00-HK$1,629.00",2020-07-16,256594,https://play.google.com/store/apps/details?id=com.udemy.android
HK,GROSS,AND,2019,10,M,2,+2,,Education,多邻国｜免费学英语,Duolingo,0.0,每件HK$8.00-HK$996.00,2020-07-20,143944,https://play.google.com/store/apps/details?id=com.duolingo
HK,GROSS,AND,2019,10,M,3,-1,,Education,Blinkist - Nonfiction Books,Blinks Labs GmbH,0.0,"每件HK$8.00-HK$1,188.00",2020-07-20,134981,https://play.google.com/store/apps/details?id=com.blinkslabs.blinkist.android
HK,GROSS,AND,2019,10,M,4,-1,,Education,Snapask: 一对一即时课业辅导,Snapask,0.0,"每件HK$8.00-HK$2,938.00",2020-07-21,81091,https://play.google.com/store/apps/details?id=co.appedu.snapask
HK,GROSS,AND,2019,10,M,5,+7,,Education,VoiceTube 看视频学英语：自然而然记住句型单字,VoiceTube,0.0,"每件HK$78.00-HK$1,728.00",2020-07-23,65920,https://play.google.com/store/apps/details?id=org.redidea.voicetube
HK,GROSS,AND,2019,10,M,6,-1,,Education,跟忆术家学语言: 英语、 日语、意大利语、 西班牙语、 德语、 法语、 俄语、 韩语、 阿拉伯语等,Memrise,0.0,"每件HK$7.00-HK$1,088.00",2020-07-22,47931,https://play.google.com/store/apps/details?id=com.memrise.android.memrisecompanion
HK,GROSS,AND,2019,10,M,7,-1,,Education,Epic!童书海洋,Epic! Creations Inc,0.0,每件HK$38.68-HK$559.00,2020-07-17,37039,https://play.google.com/store/apps/details?id=com.getepic.Epic
HK,GROSS,AND,2019,10,M,8,+14,,Education,Rosetta Stone：学习语言,Rosetta Stone Ltd,0.0,"每件HK$8.00-HK$1,568.00",2020-07-08,31957,https://play.google.com/store/apps/details?id=air.com.rosettastone.mobile.CoursePlayer
HK,GROSS,AND,2019,10,M,9,-1,,Education,Elevate - Brain Training,Elevate  Labs,0.0,"每件HK$7.00-HK$1,248.00",2020-07-20,29780,https://play.google.com/store/apps/details?id=com.wonder
HK,GROSS,AND,2019,10,M,10,+7,,Education,Bright — English for beginners,EnglishApps,0.0,每件HK$39.90-HK$299.00,2020-06-08,23816,https://play.google.com/store/apps/details?id=com.engbright
HK,GROSS,AND,2019,10,M,11,+10,,Education,Busuu 博說：學習語言 – 英文、日文、西班牙文等更多語言,Busuu,0.0,"每件HK$7.00-HK$1,299.99",2020-07-17,23089,https://play.google.com/store/apps/details?id=com.busuu.android.enc
HK,GROSS,AND,2019,10,M,12,+21,,Education,Lingokids - playlearning™  英文應用,Lingokids - English Learning For Kids,0.0,"每件HK$7.00-HK$1,059.00",2020-07-13,22285,https://play.google.com/store/apps/details?id=es.monkimun.lingokids
HK,GROSS,AND,2019,10,M,13,+16,,Education,學習韓文 · 日文 · 英文 · 西文 · 法文 · 德文 - LingoDeer,LingoDeer - Learn Languages with fun,0.0,"每件HK$8.00-HK$1,249.00",2020-07-16,21876,https://play.google.com/store/apps/details?id=com.lingodeer
HK,GROSS,AND,2019,10,M,14,+4,,Education,EWA English: 学习英语,Lithium Lab Pte Ltd,0.0,"每件HK$13.00-HK$1,149.00",2020-07-01,20790,https://play.google.com/store/apps/details?id=com.ewa.ewaapp
HK,GROSS,AND,2019,10,M,15,-4,,Education,HelloTalk – 练口语学外语和世界各地的人交友,HelloTalk Learn Languages App,0.0,"每件HK$8.00-HK$1,888.00",2020-07-13,19195,https://play.google.com/store/apps/details?id=com.hellotalk
HK,GROSS,AND,2019,10,M,16,-7,,Education,MasterClass: Learn from the best,MasterClass Inc.,0.0,"每件HK$708.00-HK$1,409.00",2020-07-08,16451,https://play.google.com/store/apps/details?id=com.yanka.mc
HK,GROSS,AND,2019,10,M,17,+8,,Education,Quizlet：使用单词卡学习语言和词汇,Quizlet Inc.,0.0,每件HK$15.00-HK$288.00,2020-07-21,15800,https://play.google.com/store/apps/details?id=com.quizlet.quizletandroid
HK,GROSS,AND,2019,10,M,18,+9,,Education,FluentU: Learn Languages with videos,FluentU,0.0,"每件HK$8.00-HK$1,869.00",2020-07-21,15063,https://play.google.com/store/apps/details?id=com.fluentflix.fluentu
HK,GROSS,AND,2019,10,M,19,+5,,Education,智客– Peak: Brain Training,Brainbow Limited,0.0,每件HK$7.00-HK$818.00,2020-07-01,14883,https://play.google.com/store/apps/details?id=com.brainbow.peak.app
HK,GROSS,AND,2019,10,M,20,-10,,Education,Tandem语言交换 - 找到老外语伴，视频聊天学外语,Tripod Technology GmbH,0.0,每件HK$23.00-HK$478.00,2020-06-23,14850,https://play.google.com/store/apps/details?id=net.tandem
