Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
HK,PAID,AND,2019,2,M,1,-,,Education,Driving Theory Test 4 in 1 Kit + Hazard Perception,Focus Multimedia Ltd - Driving Test Success,HK$39.90,,2020-07-21,270000,https://play.google.com/store/apps/details?id=uk.co.focusmm.DTSCombo
HK,PAID,AND,2019,2,M,2,+1,,Education,Official DVSA Theory Test Kit,TSO (The Stationery Office),HK$49.90,,2020-07-17,133239,https://play.google.com/store/apps/details?id=uk.co.tso.ctt
HK,PAID,AND,2019,2,M,3,-1,,Education,Toca Hair Salon 3,Toca Boca,HK$28.00,,2019-03-06,111869,https://play.google.com/store/apps/details?id=com.tocaboca.tocahairsalon3
HK,PAID,AND,2019,2,M,4,+1,,Education,Stellarium 天文,Noctua Software,HK$18.00,,2020-07-14,61571,https://play.google.com/store/apps/details?id=com.noctuasoftware.stellarium
HK,PAID,AND,2019,2,M,5,-1,,Education,Toca Life: Neighborhood,Toca Boca,HK$28.00,,2018-11-15,60850,https://play.google.com/store/apps/details?id=com.tocaboca.tocaneighborhood
HK,PAID,AND,2019,2,M,6,-,,Education,Toca Life: Hospital,Toca Boca,HK$28.00,,2018-06-12,50707,https://play.google.com/store/apps/details?id=com.tocaboca.tocahospital
HK,PAID,AND,2019,2,M,7,+3,,Education,CITB op/spec HS&E test 2018,CITB,HK$50.90,,2019-03-25,43597,https://play.google.com/store/apps/details?id=uk.co.citb.imagitech.gt100.android.vy18.plus
HK,PAID,AND,2019,2,M,8,-1,,Education,儿童画! 一步一步地重描点线。,Bini Bambini,HK$18.00,,2018-08-23,37296,https://play.google.com/store/apps/details?id=com.binibambini.Mini
HK,PAID,AND,2019,2,M,9,-1,,Education,Toca Lab: Elements,Toca Boca,HK$28.00,,2017-06-01,35544,https://play.google.com/store/apps/details?id=com.tocaboca.tocalab
HK,PAID,AND,2019,2,M,10,+1,,Education,元素周期表 专业版 2020,www.chernykh.tech,HK$8.00,,2020-07-03,30946,https://play.google.com/store/apps/details?id=august.mendeleev.pro
HK,PAID,AND,2019,2,M,11,-2,,Education,Toca Life: Vacation,Toca Boca,HK$28.00,,2018-06-21,27628,https://play.google.com/store/apps/details?id=com.tocaboca.tocavacation
HK,PAID,AND,2019,2,M,12,-,,Education,淘卡宝卡：学校 (Toca Life: School),Toca Boca,HK$28.00,,2018-07-06,21560,https://play.google.com/store/apps/details?id=com.tocaboca.tocaschool
HK,PAID,AND,2019,2,M,13,+8,,Education,Полиглот. Английский язык,AxiomMobile,HK$19.00,每件HK$7.67-HK$19.00,2020-06-26,21234,https://play.google.com/store/apps/details?id=com.axidep.polyglotfull
HK,PAID,AND,2019,2,M,14,+102,,Education,FlyExam Browser,Delta Microtech,HK$8.00,,2020-06-29,18523,https://play.google.com/store/apps/details?id=com.blogspot.scqq.b0x
