"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Education","Driving Theory Test 4 in 1 Kit + Hazard Perception","Focus Multimedia Ltd - Driving Test Success","HK$39.90","","2020-07-21","241198","https://play.google.com/store/apps/details?id=uk.co.focusmm.DTSCombo"
"2","+1","Education","Toca Hair Salon 3","Toca Boca","HK$28.00","","2019-03-06","148894","https://play.google.com/store/apps/details?id=com.tocaboca.tocahairsalon3"
"3","-1","Education","Official DVSA Theory Test Kit","TSO (The Stationery Office)","HK$43.00","","2020-07-17","117996","https://play.google.com/store/apps/details?id=uk.co.tso.ctt"
"4","-","Education","FlyExam Browser","Delta Microtech","HK$8.00","","2020-06-29","86498","https://play.google.com/store/apps/details?id=com.blogspot.scqq.b0x"
"5","-","Education","SkyView® Explore the Universe","Terminal Eleven","HK$15.44","","2019-12-03","68447","https://play.google.com/store/apps/details?id=com.t11.skyview"
"6","+8","Education","Star Walk 2 - 天文指南和天空图: 随时随地观看星星，星座，行星和卫星","Vito Technology","HK$24.90","每件HK$7.00-HK$23.00","2020-05-05","60606","https://play.google.com/store/apps/details?id=com.vitotechnology.StarWalk2"
"7","+1","Education","Toca Lab: Elements","Toca Boca","HK$28.00","","2017-06-01","52612","https://play.google.com/store/apps/details?id=com.tocaboca.tocalab"
"8","-1","Education","Toca Life: Hospital","Toca Boca","HK$28.00","","2018-06-12","46940","https://play.google.com/store/apps/details?id=com.tocaboca.tocahospital"
"9","+1","Education","Stellarium 天文","Noctua Software","HK$28.00","","2020-07-14","39094","https://play.google.com/store/apps/details?id=com.noctuasoftware.stellarium"
"10","-4","Education","CITB Operatives & Specialists HS&E test 2019","CITB","HK$50.90","","2020-03-13","36118","https://play.google.com/store/apps/details?id=uk.co.citb.imagitech.gt100.android.vy19.plus"
"11","-","Education","Toca Life: Vacation","Toca Boca","HK$28.00","","2018-06-21","30952","https://play.google.com/store/apps/details?id=com.tocaboca.tocavacation"
"12","-","Education","Toca Life: Neighborhood","Toca Boca","HK$28.00","","2018-11-15","30777","https://play.google.com/store/apps/details?id=com.tocaboca.tocaneighborhood"
"13","+3","Education","淘卡宝卡：学校 (Toca Life: School)","Toca Boca","HK$28.00","","2018-07-06","22412","https://play.google.com/store/apps/details?id=com.tocaboca.tocaschool"
"14","+4","Education","托卡生活：办公室","Toca Boca","HK$28.00","","2020-06-02","22347","https://play.google.com/store/apps/details?id=com.tocaboca.tocaoffice"
"15","-6","Education","XtraMath","XtraMath","HK$38.00","","2020-01-18","20969","https://play.google.com/store/apps/details?id=org.xtramath.mathfacts"
"16","-3","Education","元素周期表 专业版 2020","www.chernykh.tech","HK$15.99","","2020-07-03","20495","https://play.google.com/store/apps/details?id=august.mendeleev.pro"
"17","+4","Education","Toca Life: Pets","Toca Boca","HK$28.00","","2018-07-06","19071","https://play.google.com/store/apps/details?id=com.tocaboca.tocapets"
"18","+6","Education","Toca Kitchen Sushi Restaurant","Toca Boca","HK$28.00","","2019-09-19","18921","https://play.google.com/store/apps/details?id=com.tocaboca.tocakitchensushi"
"19","+1","Education","Toca Life: Stable","Toca Boca","HK$28.00","","2018-07-06","18688","https://play.google.com/store/apps/details?id=com.tocaboca.tocastable"
"20","+7","Education","Stellarium移动加强版 - 星图","Noctua Software","HK$78.00","","2020-07-12","17201","https://play.google.com/store/apps/details?id=com.noctuasoftware.stellarium_plus"
"21","-6","Education","Führerschein PRO 2020 - Fahrschule Theorie","theorie24.de","HK$38.00","","2020-06-14","15681","https://play.google.com/store/apps/details?id=de.theorie24.fs.auto"
"22","+7","Education","Toca Life: After School","Toca Boca","HK$28.00","","2018-06-21","14670","https://play.google.com/store/apps/details?id=com.tocaboca.tocaafterschool"
"23","-1","Education","Полиглот. Английский язык","AxiomMobile","HK$40.00","每件HK$7.67-HK$19.00","2020-06-26","14393","https://play.google.com/store/apps/details?id=com.axidep.polyglotfull"
"24","+6","Education","Toca Life: Farm","Toca Boca","HK$28.00","","2018-07-06","13330","https://play.google.com/store/apps/details?id=com.tocaboca.tocalifefarm"
"25","+1","Education","Toca Pet Doctor","Toca Boca","HK$28.00","","2017-09-19","12611","https://play.google.com/store/apps/details?id=com.tocaboca.tocapetdoctor"
"26","+6","Education","Toca Life: Town","Toca Boca","HK$28.00","","2018-07-06","11675","https://play.google.com/store/apps/details?id=com.tocaboca.tocatown"
"27","-4","Education","Official Car/Bike DTT Ireland","Prometric Ireland LTD","HK$90.90","","2019-10-10","11099","https://play.google.com/store/apps/details?id=com.prometric.odtt"
"28","-11","Education","CITB MAP HS&E test 2019","CITB","HK$50.90","","2020-03-13","10311","https://play.google.com/store/apps/details?id=uk.co.citb.imagitech.gt200.android.vy19.plus"
"29","-1","Education","iTheorie Autotheorie 2020","Swift Management AG","HK$139.00","","2020-04-19","9976","https://play.google.com/store/apps/details?id=ch.swift.itheorieasa"
