"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Education","Google Classroom","Google LLC","0.0","","2015-01-13","272380","https://itunes.apple.com/HK/app/id924620788"
"2","+1","Education","Cake - 英語會話","Playlist Corporation","0.0","","2018-04-10","115008","https://itunes.apple.com/HK/app/id1350420987"
"3","-1","Education","開言英語OpenLanguage","Beijing Diandiankankan Technology Co.,Ltd.","0.0","","2015-09-10","98786","https://itunes.apple.com/HK/app/id995158649"
"4","+7","Education","eClass Parent App","BroadLearning Education (Asia) Limited","0.0","","2014-06-01","76952","https://itunes.apple.com/HK/app/id880950939"
"5","+2","Education","Kahoot! Play & Create Quizzes","Kahoot! AS","0.0","","2016-09-19","76406","https://itunes.apple.com/HK/app/id1131203560"
"6","-2","Education","多鄰國 (Duolingo)","Duolingo","0.0","","2012-11-13","56866","https://itunes.apple.com/HK/app/id570060128"
"7","+7","Education","英漢字典 EC Dictionary","KUANG JIU","0.0","","2013-08-07","44112","https://itunes.apple.com/HK/app/id682341693"
"8","+4","Education","EF English 24/7","Signum International AG","0.0","","2018-07-28","43053","https://itunes.apple.com/HK/app/id1188537741"
"9","+4","Education","Photomath","Photomath, Inc.","0.0","","2014-10-17","38510","https://itunes.apple.com/HK/app/id919087726"
"10","+5","Education","英漢字典 | 漢英字典 English Dictionary","Bravolol Limited","0.0","","2011-12-15","34636","https://itunes.apple.com/HK/app/id475211454"
"11","+335","Education","帝王生涯-勵精圖治民富國強","上海赛电网络科技有限公司","0.0","","2020-04-08","33849","https://itunes.apple.com/HK/app/id1455175421"
"12","-6","Education","Simply Piano 由 JoyTunes 開發","JoyTunes","0.0","","2015-09-01","33592","https://itunes.apple.com/HK/app/id1019442026"
"13","+86","Education","智客 – Peak: Brain Training","brainbow","0.0","","2014-09-01","23030","https://itunes.apple.com/HK/app/id806223188"
"14","-5","Education","Lingokids　兒童英語","Monkimun Inc","0.0","","2015-09-10","22218","https://itunes.apple.com/HK/app/id1002043426"
"15","-5","Education","英语流利说-让你忍不住开口说英语","Shanghai Liulishuo Information Technology Ltd.","0.0","","2013-02-14","21067","https://itunes.apple.com/HK/app/id597364850"
"16","-8","Education","EWA: 阅读原版书籍以及学习英语和西语单词的神器","Lithium Lab Pte Ltd","0.0","","2017-05-18","19931","https://itunes.apple.com/HK/app/id1200778841"
"17","+26","Education","香港駕駛學院","The Hong Kong School of Motoring","0.0","","2019-03-11","19218","https://itunes.apple.com/HK/app/id1454216008"
"18","+7","Education","香港小學習字表 - 根據官方指引設計","Ching Yee Wong","0.0","","2016-11-17","18033","https://itunes.apple.com/HK/app/id1174301502"
"19","+49","Education","學車王-模擬筆試搵師傅一站式平台","Lemongene Technology Ltd.","0.0","","2016-01-04","17646","https://itunes.apple.com/HK/app/id1068819834"
"20","+29","Education","EF Hello英文真人+智能老師-學習英語單字聽力文法","Signum International AG","0.0","","2019-11-27","17466","https://itunes.apple.com/HK/app/id1324622665"
"21","+1","Education","全能翻译神器-图片扫描翻译韩文日文","XINGYAN CAO","0.0","","2018-04-22","16702","https://itunes.apple.com/HK/app/id1372077131"
"22","-5","Education","BBC Learning English","BBC Media Applications Technologies Limited","0.0","","2018-08-28","16566","https://itunes.apple.com/HK/app/id1416610731"
"23","-5","Education","Yousician Guitar, Piano & Bass","Yousician Ltd","0.0","","2015-02-26","14405","https://itunes.apple.com/HK/app/id959883039"
"24","-","Education","Nearpod","Nearpod","0.0","","2012-05-09","13479","https://itunes.apple.com/HK/app/id523540409"
"25","-4","Education","Quizlet","Quizlet Inc","0.0","","2012-08-08","12932","https://itunes.apple.com/HK/app/id546473125"
"26","-7","Education","伴魚繪本-兒童英文繪本故事","Palfish Inc.","0.0","","2017-03-01","11631","https://itunes.apple.com/HK/app/id1203189645"
"27","+6","Education","eClass Student App","BroadLearning Education (Asia) Limited","0.0","","2016-04-12","11400","https://itunes.apple.com/HK/app/id1088739934"
"28","+72","Education","基本法練習","Ip Hiu Lam","0.0","","2017-07-24","10580","https://itunes.apple.com/HK/app/id1260410048"
"29","-3","Education","日文五十音特訓","Alexander Hsu","0.0","","2017-02-23","10552","https://itunes.apple.com/HK/app/id1208009110"
"30","+14","Education","GRWTH － 伴孩子探索夢想的教育綜合平台","Xtown Mobile","0.0","","2015-09-03","10492","https://itunes.apple.com/HK/app/id1030657466"
"31","+4","Education","全能掃描翻譯-图片转文字提取翻译器","bai xiaoming","0.0","","2018-03-26","9796","https://itunes.apple.com/HK/app/id1362989622"
"32","-5","Education","Elevate - Brain Training","Elevate, Inc.","0.0","","2014-05-21","9740","https://itunes.apple.com/HK/app/id875063456"
"33","-4","Education","Edpuzzle","EDpuzzle, Inc.","0.0","","2014-09-28","9107","https://itunes.apple.com/HK/app/id919598209"
"34","-","Education","TED","TED Conferences LLC","0.0","","2010-10-14","9037","https://itunes.apple.com/HK/app/id376183339"
"35","-5","Education","flowkey流琴 - 自學鋼琴","flowkey GmbH","0.0","","2015-08-21","8647","https://itunes.apple.com/HK/app/id1020357408"
"36","-8","Education","DooEnglish","Lean It Co. Limited","0.0","US$19.99免廣告 : HK$ 158.00","2018-08-23","8576","https://itunes.apple.com/HK/app/id1423526695"
"37","+50","Education","Mathway - 數學問題解決者","Mathway, LLC","0.0","","2012-09-03","7871","https://itunes.apple.com/HK/app/id467329677"
"38","-22","Education","英漢字典 / 英英字典 / 漢英字典 - Erudite","Erudite","0.0","永久升級 : HK$ 198.00 / 每月訂購 : HK$ 8.00 / 每年訂購 : HK$ 15.00","2014-10-22","7840","https://itunes.apple.com/HK/app/id927791564"
"39","+7","Education","Flipgrid.","Flipgrid, Inc.","0.0","","2013-11-21","7164","https://itunes.apple.com/HK/app/id756972930"
