Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
HK,FREE,IOS,2020,6,M,1,-,,Education,Google Classroom,Google LLC,0.0,,2015-01-13,196297,https://itunes.apple.com/HK/app/id924620788
HK,FREE,IOS,2020,6,M,2,+1,,Education,開言英語OpenLanguage,"Beijing Diandiankankan Technology Co.,Ltd.",0.0,,2015-09-10,121013,https://itunes.apple.com/HK/app/id995158649
HK,FREE,IOS,2020,6,M,3,+1,,Education,eClass Parent App,BroadLearning Education (Asia) Limited,0.0,,2014-06-01,102416,https://itunes.apple.com/HK/app/id880950939
HK,FREE,IOS,2020,6,M,4,-2,,Education,Cake - 英語會話,Playlist Corporation,0.0,,2018-04-10,93485,https://itunes.apple.com/HK/app/id1350420987
HK,FREE,IOS,2020,6,M,5,+1,,Education,多鄰國 (Duolingo),Duolingo,0.0,,2012-11-13,55438,https://itunes.apple.com/HK/app/id570060128
HK,FREE,IOS,2020,6,M,6,+24,,Education,GRWTH － 伴孩子探索夢想的教育綜合平台,Xtown Mobile,0.0,,2015-09-03,52542,https://itunes.apple.com/HK/app/id1030657466
HK,FREE,IOS,2020,6,M,7,+12,,Education,學車王-模擬筆試搵師傅一站式平台,Lemongene Technology Ltd.,0.0,,2016-01-04,43617,https://itunes.apple.com/HK/app/id1068819834
HK,FREE,IOS,2020,6,M,8,-,,Education,EF English 24/7,Signum International AG,0.0,,2018-07-28,42003,https://itunes.apple.com/HK/app/id1188537741
HK,FREE,IOS,2020,6,M,9,-2,,Education,英漢字典 EC Dictionary,KUANG JIU,0.0,,2013-08-07,41955,https://itunes.apple.com/HK/app/id682341693
HK,FREE,IOS,2020,6,M,10,+18,,Education,基本法練習,Ip Hiu Lam,0.0,,2017-07-24,41476,https://itunes.apple.com/HK/app/id1260410048
HK,FREE,IOS,2020,6,M,11,-1,,Education,英漢字典 | 漢英字典 English Dictionary,Bravolol Limited,0.0,,2011-12-15,30986,https://itunes.apple.com/HK/app/id475211454
HK,FREE,IOS,2020,6,M,12,+5,,Education,香港駕駛學院,The Hong Kong School of Motoring,0.0,,2019-03-11,30448,https://itunes.apple.com/HK/app/id1454216008
HK,FREE,IOS,2020,6,M,13,-8,,Education,Kahoot! Play & Create Quizzes,Kahoot! AS,0.0,,2016-09-19,30341,https://itunes.apple.com/HK/app/id1131203560
HK,FREE,IOS,2020,6,M,14,-5,,Education,Photomath,"Photomath, Inc.",0.0,,2014-10-17,24555,https://itunes.apple.com/HK/app/id919087726
HK,FREE,IOS,2020,6,M,15,+3,,Education,香港小學習字表 - 根據官方指引設計,Ching Yee Wong,0.0,,2016-11-17,20616,https://itunes.apple.com/HK/app/id1174301502
HK,FREE,IOS,2020,6,M,16,-,,Education,EWA: 阅读原版书籍以及学习英语和西语单词的神器,Lithium Lab Pte Ltd,0.0,,2017-05-18,19431,https://itunes.apple.com/HK/app/id1200778841
HK,FREE,IOS,2020,6,M,17,+21,,Education,英漢字典 / 英英字典 / 漢英字典 - Erudite,Erudite,0.0,永久升級 : HK$ 198.00 / 每月訂購 : HK$ 8.00 / 每年訂購 : HK$ 15.00,2014-10-22,19004,https://itunes.apple.com/HK/app/id927791564
HK,FREE,IOS,2020,6,M,18,-6,,Education,Simply Piano 由 JoyTunes 開發,JoyTunes,0.0,,2015-09-01,17887,https://itunes.apple.com/HK/app/id1019442026
HK,FREE,IOS,2020,6,M,19,+1,,Education,EF Hello英文真人+智能老師-學習英語單字聽力文法,Signum International AG,0.0,,2019-11-27,17627,https://itunes.apple.com/HK/app/id1324622665
HK,FREE,IOS,2020,6,M,20,+2,,Education,BBC Learning English,BBC Media Applications Technologies Limited,0.0,,2018-08-28,14940,https://itunes.apple.com/HK/app/id1416610731
HK,FREE,IOS,2020,6,M,21,-7,,Education,Lingokids　兒童英語,Monkimun Inc,0.0,,2015-09-10,14801,https://itunes.apple.com/HK/app/id1002043426
HK,FREE,IOS,2020,6,M,22,-1,,Education,全能翻译神器-图片扫描翻译韩文日文,XINGYAN CAO,0.0,,2018-04-22,13204,https://itunes.apple.com/HK/app/id1372077131
HK,FREE,IOS,2020,6,M,23,new,,Education,賽馬會家校童喜動計劃 FunToMove@JC,The Chinese University of Hong Kong,0.0,,2018-11-27,13083,https://itunes.apple.com/HK/app/id1444272928
HK,FREE,IOS,2020,6,M,24,+11,,Education,flowkey流琴 - 自學鋼琴,flowkey GmbH,0.0,,2015-08-21,12727,https://itunes.apple.com/HK/app/id1020357408
HK,FREE,IOS,2020,6,M,25,+28,,Education,Snapask - 即時學業輔導,Snapask (Holdings) Inc.,0.0,Snapask Starter : HK$ 228.00 / Snapask Premium : HK$ 648.00 / 段考急救方案 : HK$ 138.00,2014-05-17,12260,https://itunes.apple.com/HK/app/id873940612
HK,FREE,IOS,2020,6,M,26,+17,,Education,HelloTalk - 練口語和世界各地的人交友,HELLOTALK FOREIGN LANGUAGE EXCHANGE LEARNING TALK CHAT APP,0.0,,2012-12-15,12164,https://itunes.apple.com/HK/app/id557130558
HK,FREE,IOS,2020,6,M,27,-2,,Education,Quizlet,Quizlet Inc,0.0,,2012-08-08,11902,https://itunes.apple.com/HK/app/id546473125
HK,FREE,IOS,2020,6,M,28,+24,,Education,CRE能力傾向測試,HIU WAI LIN,0.0,,2018-07-11,11668,https://itunes.apple.com/HK/app/id1393918774
HK,FREE,IOS,2020,6,M,29,+15,,Education,Stapps: 搵補習老師必備App,Stapps Limited,0.0,,2019-05-01,11332,https://itunes.apple.com/HK/app/id1420028589
HK,FREE,IOS,2020,6,M,30,+6,,Education,DooEnglish,Lean It Co. Limited,0.0,US$19.99免廣告 : HK$ 158.00,2018-08-23,11258,https://itunes.apple.com/HK/app/id1423526695
HK,FREE,IOS,2020,6,M,31,-8,,Education,"Yousician Guitar, Piano & Bass",Yousician Ltd,0.0,,2015-02-26,11131,https://itunes.apple.com/HK/app/id959883039
HK,FREE,IOS,2020,6,M,32,-5,,Education,eClass Student App,BroadLearning Education (Asia) Limited,0.0,,2016-04-12,10704,https://itunes.apple.com/HK/app/id1088739934
HK,FREE,IOS,2020,6,M,33,+14,,Education,English Idioms: Learn and Play,Basenji Apps,0.0,,2018-11-07,10470,https://itunes.apple.com/HK/app/id1436747289
HK,FREE,IOS,2020,6,M,34,+24,,Education,CRE英語運用,HIU WAI LIN,0.0,,2018-04-08,10353,https://itunes.apple.com/HK/app/id1368683393
HK,FREE,IOS,2020,6,M,35,+13,,Education,香港基本法題庫,HIU WAI LIN,0.0,,2018-10-01,10150,https://itunes.apple.com/HK/app/id1437701279
HK,FREE,IOS,2020,6,M,36,-7,,Education,日文五十音特訓,Alexander Hsu,0.0,,2017-02-23,10046,https://itunes.apple.com/HK/app/id1208009110
HK,FREE,IOS,2020,6,M,37,-11,,Education,伴魚繪本-兒童英文繪本故事,Palfish Inc.,0.0,,2017-03-01,9836,https://itunes.apple.com/HK/app/id1203189645
HK,FREE,IOS,2020,6,M,38,-23,,Education,英语流利说-让你忍不住开口说英语,Shanghai Liulishuo Information Technology Ltd.,0.0,,2013-02-14,9571,https://itunes.apple.com/HK/app/id597364850
HK,FREE,IOS,2020,6,M,39,+12,,Education,Plantyx - 植物识别,Angel Scope,0.0,,2020-01-08,9533,https://itunes.apple.com/HK/app/id1490577892
HK,FREE,IOS,2020,6,M,40,+86,,Education,Sparksine 好書閱讀精粹,BeVoid Limited,0.0,,2019-02-01,9287,https://itunes.apple.com/HK/app/id1445967705
HK,FREE,IOS,2020,6,M,41,+324,,Education,Speak - Practice Your English,Speakeasy Labs,0.0,,2017-01-31,8392,https://itunes.apple.com/HK/app/id1181737552
HK,FREE,IOS,2020,6,M,42,+3,,Education,Tutorduck 搵私補 - 香港最佳補習老師推薦,Tutorduck,0.0,,2017-08-08,8114,https://itunes.apple.com/HK/app/id1268084774
HK,FREE,IOS,2020,6,M,43,-12,,Education,全能掃描翻譯-图片转文字提取翻译器,bai xiaoming,0.0,,2018-03-26,8067,https://itunes.apple.com/HK/app/id1362989622
HK,FREE,IOS,2020,6,M,44,-12,,Education,Elevate - Brain Training,"Elevate, Inc.",0.0,,2014-05-21,7733,https://itunes.apple.com/HK/app/id875063456
HK,FREE,IOS,2020,6,M,45,+11,,Education,HKTA香港導師會 - 全港最多用戶首選的補習配對平台,Hong Kong Tutor Association Ltd.,0.0,,2020-04-07,7689,https://itunes.apple.com/HK/app/id1497645190
HK,FREE,IOS,2020,6,M,46,+4,,Education,VoiceTube 看影片學英語,"REDIDEA CO., LTD.",0.0,,2013-06-27,7537,https://itunes.apple.com/HK/app/id641446200
HK,FREE,IOS,2020,6,M,47,-7,,Education,小學學習字詞表,TechmaxApp,0.0,去除廣告 : HK$ 15.00,2017-01-22,7049,https://itunes.apple.com/HK/app/id1193222698
HK,FREE,IOS,2020,6,M,48,-14,,Education,TED,TED Conferences LLC,0.0,,2010-10-14,6949,https://itunes.apple.com/HK/app/id376183339
HK,FREE,IOS,2020,6,M,49,-3,,Education,LearnEnglish 英語文法 (英國版),British Council,0.0,,2012-03-18,6944,https://itunes.apple.com/HK/app/id488099900
