Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
HK,GROSS,IOS,2019,2,M,1,-,,Education,Blinkist: 15min Book Insights,Blinks Labs,0.0,,2013-11-13,184708,https://itunes.apple.com/HK/app/id568839295
HK,GROSS,IOS,2019,2,M,2,-,,Education,簡易數學 (Math Learner),Fun Games For Free,0.0,,2018-08-24,148282,https://itunes.apple.com/HK/app/id1148728253
HK,GROSS,IOS,2019,2,M,3,+7,,Education,Lingokids　兒童英語,Monkimun Inc,0.0,,2015-09-10,84066,https://itunes.apple.com/HK/app/id1002043426
HK,GROSS,IOS,2019,2,M,4,-,,Education,Simply Piano 由 JoyTunes 開發,JoyTunes,0.0,,2015-09-01,75234,https://itunes.apple.com/HK/app/id1019442026
HK,GROSS,IOS,2019,2,M,5,+1,,Education,英语流利说-让你忍不住开口说英语,Shanghai Liulishuo Information Technology Ltd.,0.0,,2013-02-14,44402,https://itunes.apple.com/HK/app/id597364850
HK,GROSS,IOS,2019,2,M,6,-1,,Education,Epic! - Kids’ Books and Videos,"Epic Creations, Inc.",0.0,,2013-12-01,36791,https://itunes.apple.com/HK/app/id719219382
HK,GROSS,IOS,2019,2,M,7,+2,,Education,Udemy -  線上課程,Udemy,0.0,,2012-10-15,34552,https://itunes.apple.com/HK/app/id562413829
HK,GROSS,IOS,2019,2,M,8,-,,Education,Snapask - 即時學業輔導,Snapask (Holdings) Inc.,0.0,Snapask Starter : HK$ 228.00 / Snapask Premium : HK$ 648.00 / 段考急救方案 : HK$ 138.00,2014-05-17,33528,https://itunes.apple.com/HK/app/id873940612
HK,GROSS,IOS,2019,2,M,9,-6,,Education,Bright - English for beginners,Language Apps Limited,0.0,,2017-09-04,32735,https://itunes.apple.com/HK/app/id1258621855
HK,GROSS,IOS,2019,2,M,10,+23,,Education,FluentU - 学习语言,Enux Education Limited,0.0,,2015-05-30,31800,https://itunes.apple.com/HK/app/id917892175
HK,GROSS,IOS,2019,2,M,11,+179,,Education,"Yousician Guitar, Piano & Bass",Yousician Ltd,0.0,,2015-02-26,31507,https://itunes.apple.com/HK/app/id959883039
HK,GROSS,IOS,2019,2,M,12,-5,,Education,多鄰國 (Duolingo),Duolingo,0.0,,2012-11-13,31442,https://itunes.apple.com/HK/app/id570060128
HK,GROSS,IOS,2019,2,M,13,+6,,Education,Busuu: Fast Language Learning,Busuu Limited,0.0,,2010-09-21,26866,https://itunes.apple.com/HK/app/id379968583
HK,GROSS,IOS,2019,2,M,14,+1,,Education,MasterClass: Learn New Skills,MasterClass,0.0,,2018-04-23,20889,https://itunes.apple.com/HK/app/id1273867416
HK,GROSS,IOS,2019,2,M,15,-1,,Education,VoiceTube 看影片學英語,"REDIDEA CO., LTD.",0.0,,2013-06-27,18404,https://itunes.apple.com/HK/app/id641446200
HK,GROSS,IOS,2019,2,M,16,-4,,Education,跟憶術家學語言,Memrise,0.0,,2013-05-20,17535,https://itunes.apple.com/HK/app/id635966718
HK,GROSS,IOS,2019,2,M,17,-6,,Education,Coursera: Learn new skills,Coursera,0.0,,2013-12-10,17398,https://itunes.apple.com/HK/app/id736535961
HK,GROSS,IOS,2019,2,M,18,-,,Education,智客 – Peak: Brain Training,brainbow,0.0,,2014-09-01,17254,https://itunes.apple.com/HK/app/id806223188
HK,GROSS,IOS,2019,2,M,19,+18,,Education,Baby Shark Best Kids Songs,SmartStudy,0.0,,2011-11-23,14110,https://itunes.apple.com/HK/app/id475263770
HK,GROSS,IOS,2019,2,M,20,-7,,Education,Elevate - Brain Training,"Elevate, Inc.",0.0,,2014-05-21,10708,https://itunes.apple.com/HK/app/id875063456
HK,GROSS,IOS,2019,2,M,21,+36,,Games,五色學倉頡 ONLINE,Kotech Services Co.,0.0,,2010-07-17,10200,https://itunes.apple.com/HK/app/id382024751
HK,GROSS,IOS,2019,2,M,22,+5,,Education,Lumosity: Brain Training,"Lumos Labs, Inc.",0.0,,2013-06-12,9878,https://itunes.apple.com/HK/app/id577232024
HK,GROSS,IOS,2019,2,M,23,-1,,Education,開言英語OpenLanguage,"Beijing Diandiankankan Technology Co.,Ltd.",0.0,,2015-09-10,9409,https://itunes.apple.com/HK/app/id995158649
HK,GROSS,IOS,2019,2,M,24,-1,,Education,Mondly: 学习33种语言,ATi Studios,0.0,,2015-06-03,7882,https://itunes.apple.com/HK/app/id987873536
HK,GROSS,IOS,2019,2,M,25,+108,,Education,Drops 语言 学习,PLANB LABS OU,0.0,,2014-11-14,7788,https://itunes.apple.com/HK/app/id939540371
