"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+9","Education","學日文－隨時隨地練習常用日語口語，日語聽力，日語單詞！","Yaogao Wu","HK$ 28.00","","2017-01-05","58677","https://itunes.apple.com/HK/app/id1190824858"
"2","-","Reference","Sky Guide","Fifth Star Labs LLC","HK$ 23.00","","2013-05-06","49394","https://itunes.apple.com/HK/app/id576588894"
"3","+9","Productivity","Notability","Ginger Labs","HK$ 68.00","","2010-04-01","47151","https://itunes.apple.com/HK/app/id360593530"
"4","+2","Education","聽寫五十音專業版","Otek International Inc.","HK$ 15.00","","2013-02-04","46716","https://itunes.apple.com/HK/app/id597758149"
"5","+4","Entertainment","PAW Patrol: Air & Sea","Nickelodeon","HK$ 23.00","","2016-03-16","44014","https://itunes.apple.com/HK/app/id1081079094"
"6","-1","Simulation","怪怪水族館","yuan liu","¥6.00","","2016-12-02","41657","https://itunes.apple.com/HK/app/id1180989940"
"7","+10","Education","ABRSM Aural Trainer Grades 6-8","The Associated Board of the Royal Schools of Music (Publishing) Limited","HK$ 58.00","","2015-07-08","40255","https://itunes.apple.com/HK/app/id1001613037"
"8","+42","Education","大家的日本語初級第一版+第二版","fu yang","0.0","","2019-07-31","40104","https://itunes.apple.com/HK/app/id1474352412"
"9","-1","Music","TonalEnergy 調音器—節拍器","TonalEnergy, Inc","HK$ 28.00","","2012-02-17","35879","https://itunes.apple.com/HK/app/id497716362"
"10","+9","Education","大家的日本語初級1-改訂版","fu yang","0.0","","2018-12-29","31931","https://itunes.apple.com/HK/app/id1442440203"
"11","+18","Education","ABRSM Aural Trainer Grades 1-5","The Associated Board of the Royal Schools of Music (Publishing) Limited","HK$ 58.00","","2012-02-28","31518","https://itunes.apple.com/HK/app/id491907493"
"12","+1","Music","Vocal Pitch Monitor","Tadao Yamaoka","HK$ 8.00","","2014-03-28","26045","https://itunes.apple.com/HK/app/id842218231"
"13","+87","Medical","Essential Anatomy 5","3D4Medical from Elsevier","HK$ 118.00","","2013-02-14","20994","https://itunes.apple.com/HK/app/id596684220"
"14","new","Strategy","911 Operator","Games Operators","HK$ 15.00","","2017-11-09","19858","https://itunes.apple.com/HK/app/id1199822686"
"15","new","Education","PlantSnap Pro: Identify Plants","PlantSnap, Inc.","HK$ 158.00","","2017-06-07","19373","https://itunes.apple.com/HK/app/id1234702272"
"16","+19","Education","大家的日本語初級2-第二版","fu yang","¥8.00","","2019-03-23","19348","https://itunes.apple.com/HK/app/id1450482973"
"17","+16","Education","Toca Hair Salon 3","Toca Boca AB","HK$ 28.00","","2016-12-07","17155","https://itunes.apple.com/HK/app/id1119482395"
