Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
HK,PAID,IOS,2020,5,M,1,+3,,Education,AnkiMobile Flashcards,Ankitects Pty Ltd,HK$ 198.00,,2010-05-26,115777,https://itunes.apple.com/HK/app/id373493387
HK,PAID,IOS,2020,5,M,2,-1,,Education,Jolly Phonics Lessons Pro,Jolly Futures Technologies C.I.C.,HK$ 38.00,,2017-06-07,59549,https://itunes.apple.com/HK/app/id1242383996
HK,PAID,IOS,2020,5,M,3,+10,,Education,CRE中文運用,HIU WAI LIN,HK$ 48.00,,2019-05-24,40374,https://itunes.apple.com/HK/app/id1464890166
HK,PAID,IOS,2020,5,M,4,new,,Education,NHK简明日語-新概念学习大家的日語,yang yongjun,HK$ 15.00,,2018-10-10,38552,https://itunes.apple.com/HK/app/id1409658462
HK,PAID,IOS,2020,5,M,5,+157,,Education,Speater (Smart Repeater),Sungyoon,HK$ 38.00,,2012-08-08,36157,https://itunes.apple.com/HK/app/id549627415
HK,PAID,IOS,2020,5,M,6,+5,,Education,國語辭典,LIU LONGJUN,HK$ 15.00,,2013-03-29,33283,https://itunes.apple.com/HK/app/id625274950
HK,PAID,IOS,2020,5,M,7,+18,,Education,SkyView®,Terminal Eleven LLC,HK$ 15.00,,2010-12-10,32902,https://itunes.apple.com/HK/app/id404990064
HK,PAID,IOS,2020,5,M,8,-6,,Education,Teach Your Monster to Read,Teach Monster Games Ltd.,HK$ 23.00,,2014-07-23,28176,https://itunes.apple.com/HK/app/id828392046
HK,PAID,IOS,2020,5,M,9,+3,,Education,Jolly Phonics Tests,Jolly Learning,HK$ 8.00,,2018-10-23,27464,https://itunes.apple.com/HK/app/id1436185749
HK,PAID,IOS,2020,5,M,10,+68,,Education,動漫日語會話集常用篇,xing feng,HK$ 8.00,,2016-11-08,25148,https://itunes.apple.com/HK/app/id1170783525
HK,PAID,IOS,2020,5,M,11,-3,,Education,Star Walk 2: 星空漫步 AR，星空圖，天文觀測,Vito Technology Inc.,HK$ 23.00,,2014-08-20,22130,https://itunes.apple.com/HK/app/id892279069
HK,PAID,IOS,2020,5,M,12,+17,,Education,現代中國語文字典,"Modern Educational Research Society, LTD",HK$ 28.00,,2011-05-02,21086,https://itunes.apple.com/HK/app/id434579566
HK,PAID,IOS,2020,5,M,13,+15,,Education,Letterland Stories BCD,Letterland,HK$ 8.00,,2016-10-03,20448,https://itunes.apple.com/HK/app/id1160844882
HK,PAID,IOS,2020,5,M,14,+156,,Education,Jolly Phonics Songs,Jolly Learning,HK$ 23.00,,2016-04-08,19845,https://itunes.apple.com/HK/app/id1096113645
HK,PAID,IOS,2020,5,M,15,new,,Education,Sago Mini 小小伙伴!,Sago Mini,HK$ 28.00,,2017-06-23,19728,https://itunes.apple.com/HK/app/id1245748156
HK,PAID,IOS,2020,5,M,16,-10,,Education,Pango KABOOM ! cube stacking,Studio Pango,HK$ 15.00,,2020-05-01,19632,https://itunes.apple.com/HK/app/id1496316612
HK,PAID,IOS,2020,5,M,17,+3,,Education,Phonics Fun on Farm Educational Learn to Read App,"22learn, LLC",HK$ 23.00,,2014-05-09,18769,https://itunes.apple.com/HK/app/id875224191
HK,PAID,IOS,2020,5,M,18,+4,,Education,PAW Patrol - Rescue Run,Nickelodeon,HK$ 23.00,,2014-12-17,18446,https://itunes.apple.com/HK/app/id934416963
HK,PAID,IOS,2020,5,M,19,+24,,Education,Fix-it Phonics Review,Letterland,HK$ 8.00,,2014-09-16,16532,https://itunes.apple.com/HK/app/id916738218
HK,PAID,IOS,2020,5,M,20,+159,,Education,一生必學的英文字首字根字尾，繁體中文版,Otek International Inc.,HK$ 15.00,,2015-01-20,15135,https://itunes.apple.com/HK/app/id949885204
HK,PAID,IOS,2020,5,M,21,-12,,Education,聽寫五十音專業版,Otek International Inc.,HK$ 15.00,,2013-02-04,15076,https://itunes.apple.com/HK/app/id597758149
HK,PAID,IOS,2020,5,M,22,+24,,Education,ABRSM Aural Trainer Grades 1-5,The Associated Board of the Royal Schools of Music (Publishing) Limited,HK$ 58.00,,2012-02-28,15045,https://itunes.apple.com/HK/app/id491907493
HK,PAID,IOS,2020,5,M,23,+22,,Education,Monkey Preschool Lunchbox,THUP Games,HK$ 15.00,,2009-08-31,14313,https://itunes.apple.com/HK/app/id328205875
HK,PAID,IOS,2020,5,M,24,+20,,Education,Explain EDU,Explain Everything sp. z o.o.,HK$ 108.00,,2011-08-19,14236,https://itunes.apple.com/HK/app/id431493086
HK,PAID,IOS,2020,5,M,25,new,,Education,睡梦乡儿童圣经故事,LIANG HE,HK$ 8.00,,2016-02-26,14087,https://itunes.apple.com/HK/app/id1086896948
HK,PAID,IOS,2020,5,M,26,new,,Education,Human Japanese,"Brak Software, Inc.",HK$ 78.00,,2019-01-17,13698,https://itunes.apple.com/HK/app/id304090210
HK,PAID,IOS,2020,5,M,27,+223,,Education,Voice Dream Reader,Voice Dream LLC,HK$ 78.00,,2012-02-08,13670,https://itunes.apple.com/HK/app/id496177674
HK,PAID,IOS,2020,5,M,28,-9,,Education,Toca Hair Salon 3,Toca Boca AB,HK$ 28.00,,2016-12-07,13370,https://itunes.apple.com/HK/app/id1119482395
HK,PAID,IOS,2020,5,M,29,-12,,Education,Green Screen by Do Ink,"DK Pictures, Inc.",HK$ 38.00,,2013-10-29,13174,https://itunes.apple.com/HK/app/id730091131
HK,PAID,IOS,2020,5,M,30,new,,Education,DVSA Hazard Perception,TSO (The Stationery Office),HK$ 23.00,,2020-06-24,12778,https://itunes.apple.com/HK/app/id1019610471
HK,PAID,IOS,2020,5,M,31,+7,,Education,Kids Song All - 220 Songs,KWOK YU KIN,HK$ 8.00,,2011-08-10,12770,https://itunes.apple.com/HK/app/id455210642
HK,PAID,IOS,2020,5,M,32,-22,,Education,ABRSM Aural Trainer Grades 6-8,The Associated Board of the Royal Schools of Music (Publishing) Limited,HK$ 58.00,,2015-07-08,12300,https://itunes.apple.com/HK/app/id1001613037
HK,PAID,IOS,2020,5,M,33,+9,,Education,成語辭典,LIU LONGJUN,HK$ 8.00,,2013-06-17,12137,https://itunes.apple.com/HK/app/id660050578
HK,PAID,IOS,2020,5,M,34,+13,,Education,Jolly Phonics Fun,Jolly Futures Technologies C.I.C.,HK$ 15.00,,2018-10-20,11610,https://itunes.apple.com/HK/app/id1436184957
HK,PAID,IOS,2020,5,M,35,+100,,Education,Letterland Stories HIJ,Letterland,HK$ 8.00,,2016-10-03,11444,https://itunes.apple.com/HK/app/id1160844891
HK,PAID,IOS,2020,5,M,36,+31,,Education,Letterland Stories WXY,Letterland,HK$ 8.00,,2016-10-03,11375,https://itunes.apple.com/HK/app/id1160810860
HK,PAID,IOS,2020,5,M,37,+25,,Education,勇敢開口說英語,Otek International Inc.,HK$ 23.00,,2015-06-15,11336,https://itunes.apple.com/HK/app/id998080759
