Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
HK,FREE,AND,2019,5,M,1,-,,Travel & Local,APP 1933 - KMB．LWB,The Kowloon Motor Bus Company (1933) Limited,0.0,,2020-06-24,298857,https://play.google.com/store/apps/details?id=com.kmb.app1933
HK,FREE,AND,2019,5,M,2,-,,Travel & Local,新巴城巴,Citybus & New World First Bus,0.0,,2020-06-17,135689,https://play.google.com/store/apps/details?id=com.nwfb
HK,FREE,AND,2019,5,M,3,-,,Travel & Local,高德地图,高德软件,0.0,,2020-05-20,106137,https://play.google.com/store/apps/details?id=com.autonavi.minimap
HK,FREE,AND,2019,5,M,4,-,,Travel & Local,Trip.com：機票、酒店、火車票、接送、當地玩樂,Trip.com,0.0,,2020-07-16,99447,https://play.google.com/store/apps/details?id=ctrip.english
HK,FREE,AND,2019,5,M,5,-,,Travel & Local,客路旅行,Klook Travel Technology Ltd.,0.0,,2020-07-20,66207,https://play.google.com/store/apps/details?id=com.klook
HK,FREE,AND,2019,5,M,6,+4,,Travel & Local,安可达 (Agoda),agoda.com,0.0,,2020-07-21,44706,https://play.google.com/store/apps/details?id=com.agoda.mobile.consumer
HK,FREE,AND,2019,5,M,7,-1,,Travel & Local,MTR Mobile,MTR Corporation Limited,0.0,,2020-06-17,44679,https://play.google.com/store/apps/details?id=com.mtr.mtrmobile
HK,FREE,AND,2019,5,M,8,-,,Travel & Local,永安旅遊 - 機票酒店旅遊優惠,Hong Kong Wing On Travel Service Limited,0.0,,2020-07-09,44665,https://play.google.com/store/apps/details?id=com.wingontravel.m
HK,FREE,AND,2019,5,M,9,-2,,Travel & Local,携程旅行,携程旅行网,0.0,,2020-07-08,43051,https://play.google.com/store/apps/details?id=ctrip.android.view
HK,FREE,AND,2019,5,M,10,+69,,Travel & Local,百度地图,Baidu Map,0.0,,2020-06-24,31677,https://play.google.com/store/apps/details?id=com.baidu.BaiduMap
HK,FREE,AND,2019,5,M,11,-,,Travel & Local,Expedia 酒店、机票、租车与旅游活动优惠,Expedia,0.0,,2020-07-16,30972,https://play.google.com/store/apps/details?id=com.expedia.bookings
HK,FREE,AND,2019,5,M,12,-3,,Travel & Local,GOGOX (前為GOGOVAN)-即時貨運及速遞叫車,GoGo Tech Limited,0.0,,2020-07-17,30916,https://play.google.com/store/apps/details?id=hk.gogovan.GoGoVanClient2
HK,FREE,AND,2019,5,M,13,-,,Travel & Local,KKday：全球旅遊體驗行程預訂,KKday,0.0,,2020-07-21,27959,https://play.google.com/store/apps/details?id=com.kkday.member
HK,FREE,AND,2019,5,M,14,-,,Travel & Local,Airbnb - 全球民宿预订,Airbnb,0.0,,2020-07-16,22627,https://play.google.com/store/apps/details?id=com.airbnb.android
HK,FREE,AND,2019,5,M,15,-,,Travel & Local,对话翻译,HawsoftMob Inc.,0.0,每件HK$8.00-HK$39.90,2020-01-21,21800,https://play.google.com/store/apps/details?id=com.hawsoft.mobile.speechtrans
HK,FREE,AND,2019,5,M,16,+1,,Travel & Local,香港快运航空,HK Express,0.0,,2020-04-29,19851,https://play.google.com/store/apps/details?id=com.hkexpress.android
HK,FREE,AND,2019,5,M,17,+3,,Travel & Local,"Skyscanner – cheap flights, hotels and car rental",Skyscanner Ltd,0.0,,2020-02-20,18675,https://play.google.com/store/apps/details?id=net.skyscanner.android.main
HK,FREE,AND,2019,5,M,18,+29,,Travel & Local,巴士到站时间 - BUS KMB,lncknight,0.0,,2019-07-24,17561,https://play.google.com/store/apps/details?id=com.lncknight.ionictest01
HK,FREE,AND,2019,5,M,19,-3,,Travel & Local,Booking.com缤客 - 全球酒店预订,Booking.com Hotels & Vacation Rentals,0.0,,2020-07-20,17336,https://play.google.com/store/apps/details?id=com.booking
HK,FREE,AND,2019,5,M,20,+3,,Travel & Local,国泰航空,Cathay Pacific Airways Limited,0.0,,2020-07-09,16725,https://play.google.com/store/apps/details?id=com.xs2theworld.cxmobile
HK,FREE,AND,2019,5,M,21,-,,Travel & Local,trivago - 优栈网：比较酒店价格,trivago,0.0,,2020-07-08,15519,https://play.google.com/store/apps/details?id=com.trivago
HK,FREE,AND,2019,5,M,22,-4,,Travel & Local,中国旅行社,香港中國旅行社,0.0,,2019-01-08,15172,https://play.google.com/store/apps/details?id=com.cts.ctsapp
HK,FREE,AND,2019,5,M,23,+8,,Travel & Local,"JAPAN Trip Navigator -travel guide, chat",JTB Corp.,0.0,,2020-01-10,14837,https://play.google.com/store/apps/details?id=jp.co.jtb.japantripnavigator
HK,FREE,AND,2019,5,M,24,+2,,Travel & Local,Hotels.com 好订网：酒店预订,Hotels.com LP,0.0,,2020-07-16,14586,https://play.google.com/store/apps/details?id=com.hcom.android
HK,FREE,AND,2019,5,M,25,-13,,Travel & Local,China Train Ticket for 铁路12306火车票,"Beijing Yikele Technology Co., Ltd.",0.0,,2019-11-27,12935,https://play.google.com/store/apps/details?id=com.ffgamestudio.fast12306
HK,FREE,AND,2019,5,M,26,+6,,Travel & Local,地图,Google LLC,0.0,,2020-07-16,12711,https://play.google.com/store/apps/details?id=com.google.android.apps.maps
HK,FREE,AND,2019,5,M,27,-8,,Travel & Local,Google 地球,Google LLC,0.0,,2020-07-20,12266,https://play.google.com/store/apps/details?id=com.google.earth
HK,FREE,AND,2019,5,M,28,+5,,Travel & Local,Ocean Park Hong Kong,Ocean Park Hong Kong,0.0,,2020-02-26,11716,https://play.google.com/store/apps/details?id=com.oceanpark.mobileapp
HK,FREE,AND,2019,5,M,29,-1,,Travel & Local,大航假期,Bigline Holiday Limited,0.0,,2020-04-07,11157,https://play.google.com/store/apps/details?id=holiday.yulin.com.bigholiday
HK,FREE,AND,2019,5,M,30,-,,Travel & Local,香港迪士尼乐园,Disney,0.0,,2019-11-27,10974,https://play.google.com/store/apps/details?id=com.disney.hongkongdisneyland_goo
