"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel & Local","APP 1933 - KMB．LWB","The Kowloon Motor Bus Company (1933) Limited","0.0","","2020-06-24","288378","https://play.google.com/store/apps/details?id=com.kmb.app1933"
"2","+2","Travel & Local","Trip.com：機票、酒店、火車票、接送、當地玩樂","Trip.com","0.0","","2020-07-16","148804","https://play.google.com/store/apps/details?id=ctrip.english"
"3","-","Travel & Local","新巴城巴","Citybus & New World First Bus","0.0","","2020-06-17","101199","https://play.google.com/store/apps/details?id=com.nwfb"
"4","+62","Travel & Local","香港商店","CHI HO","0.0","","2020-04-24","71777","https://play.google.com/store/apps/details?id=com.ffhk.shoplisthk"
"5","+2","Travel & Local","客路旅行","Klook Travel Technology Ltd.","0.0","","2020-07-20","70880","https://play.google.com/store/apps/details?id=com.klook"
"6","-1","Travel & Local","高德地图","高德软件","0.0","","2020-05-20","61836","https://play.google.com/store/apps/details?id=com.autonavi.minimap"
"7","-5","Travel & Local","MTR Mobile","MTR Corporation Limited","0.0","","2020-06-17","55320","https://play.google.com/store/apps/details?id=com.mtr.mtrmobile"
"8","-","Travel & Local","安可达 (Agoda)","agoda.com","0.0","","2020-07-21","41231","https://play.google.com/store/apps/details?id=com.agoda.mobile.consumer"
"9","-","Travel & Local","永安旅遊 - 機票酒店旅遊優惠","Hong Kong Wing On Travel Service Limited","0.0","","2020-07-09","38562","https://play.google.com/store/apps/details?id=com.wingontravel.m"
"10","+3","Travel & Local","KKday：全球旅遊體驗行程預訂","KKday","0.0","","2020-07-21","36858","https://play.google.com/store/apps/details?id=com.kkday.member"
"11","-1","Travel & Local","GOGOX (前為GOGOVAN)-即時貨運及速遞叫車","GoGo Tech Limited","0.0","","2020-07-17","30084","https://play.google.com/store/apps/details?id=hk.gogovan.GoGoVanClient2"
"12","+6","Travel & Local","百度地图","Baidu Map","0.0","","2020-06-24","27600","https://play.google.com/store/apps/details?id=com.baidu.BaiduMap"
"13","-1","Travel & Local","Expedia 酒店、机票、租车与旅游活动优惠","Expedia","0.0","","2020-07-16","27212","https://play.google.com/store/apps/details?id=com.expedia.bookings"
"14","+2","Travel & Local","香港快运航空","HK Express","0.0","","2020-04-29","23158","https://play.google.com/store/apps/details?id=com.hkexpress.android"
"15","+4","Travel & Local","Booking.com缤客 - 全球酒店预订","Booking.com Hotels & Vacation Rentals","0.0","","2020-07-20","20288","https://play.google.com/store/apps/details?id=com.booking"
"16","+5","Travel & Local","Hotels.com 好订网：酒店预订","Hotels.com LP","0.0","","2020-07-16","17788","https://play.google.com/store/apps/details?id=com.hcom.android"
"17","+7","Travel & Local","CALL4VAN 客貨車平台 call van 叫車服務","Genie-WorkShop","0.0","","2020-02-25","16403","https://play.google.com/store/apps/details?id=com.geniews.vanclientv1"
"18","-7","Travel & Local","地图","Google LLC","0.0","","2020-07-16","16288","https://play.google.com/store/apps/details?id=com.google.android.apps.maps"
"19","+3","Travel & Local","Airbnb - 全球民宿预订","Airbnb","0.0","","2020-07-16","16153","https://play.google.com/store/apps/details?id=com.airbnb.android"
"20","-","Travel & Local","trivago - 优栈网：比较酒店价格","trivago","0.0","","2020-07-08","15221","https://play.google.com/store/apps/details?id=com.trivago"
"21","+5","Travel & Local","Google 地球","Google LLC","0.0","","2020-07-20","14794","https://play.google.com/store/apps/details?id=com.google.earth"
"22","+7","Travel & Local","国泰航空","Cathay Pacific Airways Limited","0.0","","2020-07-09","14594","https://play.google.com/store/apps/details?id=com.xs2theworld.cxmobile"
"23","-","Travel & Local","全球定位系统 导航 ＆ 地图 方向  -  路线 发现者","Entertaining Logix Apps","0.0","","2020-05-21","13835","https://play.google.com/store/apps/details?id=com.entertaininglogixapps.gps.navigation.direction.find.route.map.guide.pro"
"24","+9","Travel & Local","对话翻译","HawsoftMob Inc.","0.0","每件HK$8.00-HK$39.90","2020-01-21","13396","https://play.google.com/store/apps/details?id=com.hawsoft.mobile.speechtrans"
"25","+10","Travel & Local","大航假期","Bigline Holiday Limited","0.0","","2020-04-07","13191","https://play.google.com/store/apps/details?id=holiday.yulin.com.bigholiday"
"26","+15","Travel & Local","Ocean Park Hong Kong","Ocean Park Hong Kong","0.0","","2020-02-26","13176","https://play.google.com/store/apps/details?id=com.oceanpark.mobileapp"
"27","+11","Travel & Local","香港迪士尼乐园","Disney","0.0","","2019-11-27","12922","https://play.google.com/store/apps/details?id=com.disney.hongkongdisneyland_goo"
"28","+3","Travel & Local","Skyscanner – cheap flights, hotels and car rental","Skyscanner Ltd","0.0","","2020-02-20","12485","https://play.google.com/store/apps/details?id=net.skyscanner.android.main"
"29","+7","Travel & Local","携程旅行","携程旅行网","0.0","","2020-07-08","12330","https://play.google.com/store/apps/details?id=ctrip.android.view"
"30","+9","Travel & Local","我的航班 (官方应用程式)","Airport Authority Hong Kong","0.0","","2020-05-25","12251","https://play.google.com/store/apps/details?id=com.hkia.myflight"
"31","+36","Travel & Local","China Train Ticket for 铁路12306火车票","Beijing Yikele Technology Co., Ltd.","0.0","","2019-11-27","11765","https://play.google.com/store/apps/details?id=com.ffgamestudio.fast12306"
"32","-","Travel & Local","搭载 AccuRate™ 技术的免费版加强型货币转换器","Digitalchemy, LLC","0.0","每件HK$8.00-HK$108.00","2020-05-27","10995","https://play.google.com/store/apps/details?id=com.digitalchemy.currencyconverter"
"33","-19","Travel & Local","香港巴士","Goder Hsu","0.0","","2020-05-06","10561","https://play.google.com/store/apps/details?id=com.goder.busquerysystemhkb"
"34","-19","Travel & Local","街景直播，GPS导航和地球地图2020","Street View Live, GPS Navigation & Earth Maps 2019","0.0","每件HK$78.00","2020-07-16","9559","https://play.google.com/store/apps/details?id=com.live.earthview.maps.gpsfinder.globalsatellite.apps"
"35","+2","Travel & Local","GPS Map Route Traffic Navigation","Dream Edge Technologies","0.0","$0.99 per item","2020-02-28","9189","https://play.google.com/store/apps/details?id=com.dream.edge.technologies.gps.map.route.traffic.navigation.path.view.street.live"
"36","-8","Travel & Local","JAPAN Trip Navigator -travel guide, chat","JTB Corp.","0.0","","2020-01-10","9030","https://play.google.com/store/apps/details?id=jp.co.jtb.japantripnavigator"
"37","+3","Travel & Local","NAVER Map, Navigation","NAVER Corp.","0.0","","2020-02-14","8688","https://play.google.com/store/apps/details?id=com.nhn.android.nmap"
