"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel & Local","Flightradar24 航班追踪","Flightradar24 AB","0.0","每件HK$9.90-HK$519.00","2020-05-12","312727","https://play.google.com/store/apps/details?id=com.flightradar24free"
"2","+1","Travel & Local","iPhiGéNie","iPhiGéNie-Optima","0.0","每件HK$9.02-HK$289.00","2020-06-19","105000","https://play.google.com/store/apps/details?id=com.iphigenie"
"3","+7","Travel & Local","Visorando GPS randonnée","Visorando","0.0","每件HK$41.90-HK$159.45","2020-07-07","57594","https://play.google.com/store/apps/details?id=org.visorando.android"
"4","-2","Travel & Local","Mobile Passport","Airside Mobile Inc.","0.0","每件HK$39.90-HK$118.00","2020-05-20","56482","https://play.google.com/store/apps/details?id=us.mobilepassport"
"5","+19","Travel & Local","KKFly.hk","Awesapp Limited","0.0","每件HK$8.00-HK$788.00","2020-07-08","50438","https://play.google.com/store/apps/details?id=hk.kkfly.kkfly"
"6","+50","Travel & Local","实时航班——航班状态追踪器和雷达","Weather or Not Apps","0.0","每件HK$8.00-HK$309.00","2020-07-13","47485","https://play.google.com/store/apps/details?id=com.apalon.flight.tracker"
"7","-3","Travel & Local","TourBar-寻找驴友","TourBar","0.0","每件HK$28.00-HK$1,089.00","2020-04-23","44535","https://play.google.com/store/apps/details?id=com.tourbar"
"8","+10","Travel & Local","GO地圖2020for小精靈","iGameTouch Studio","0.0","每件HK$78.00-HK$218.00","2020-06-11","41991","https://play.google.com/store/apps/details?id=com.nineteen.pokeradar"
"9","+5","Travel & Local","StaffTraveler","StaffTraveler Solutions B.V.","0.0","$0.99 - $39.99 per item","2020-02-25","41660","https://play.google.com/store/apps/details?id=com.stafftraveler.webview"
"10","+6","Travel & Local","AsianMate  - 查找日本本地向导","ATSTLLC","0.0","每件HK$70.90-HK$2,179.00","2020-07-11","36521","https://play.google.com/store/apps/details?id=asia.jmate.travelfriends"
"11","+2","Travel & Local","PeakFinder","Fabio Soldati","HK$38.00","","2020-03-03","35457","https://play.google.com/store/apps/details?id=org.peakfinder.area.alps"
"12","+3","Travel & Local","InviteTravel","Reflecto UAB","0.0","每件HK$80.90-HK$1,809.00","2020-06-26","29903","https://play.google.com/store/apps/details?id=com.invitetravel"
