Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
HK,GROSS,AND,2020,6,M,1,-,,Travel & Local,Flightradar24 航班追踪,Flightradar24 AB,0.0,每件HK$9.90-HK$519.00,2020-05-12,310000,https://play.google.com/store/apps/details?id=com.flightradar24free
HK,GROSS,AND,2020,6,M,2,-,,Travel & Local,Visorando GPS randonnée,Visorando,0.0,每件HK$41.90-HK$159.45,2020-07-07,155000,https://play.google.com/store/apps/details?id=org.visorando.android
HK,GROSS,AND,2020,6,M,3,+1,,Travel & Local,Mobile Passport,Airside Mobile Inc.,0.0,每件HK$39.90-HK$118.00,2020-05-20,97252,https://play.google.com/store/apps/details?id=us.mobilepassport
HK,GROSS,AND,2020,6,M,4,-1,,Travel & Local,iPhiGéNie,iPhiGéNie-Optima,0.0,每件HK$9.02-HK$289.00,2020-06-19,83486,https://play.google.com/store/apps/details?id=com.iphigenie
HK,GROSS,AND,2020,6,M,5,+1,,Travel & Local,"park4night - camping car,van",AppMobilEdition,0.0,每件HK$9.90-HK$95.90,2020-07-08,59425,https://play.google.com/store/apps/details?id=fr.tramb.park4night
HK,GROSS,AND,2020,6,M,6,+2,,Travel & Local,PeakFinder,Fabio Soldati,HK$38.00,,2020-03-03,47172,https://play.google.com/store/apps/details?id=org.peakfinder.area.alps
HK,GROSS,AND,2020,6,M,7,-2,,Travel & Local,实时航班——航班状态追踪器和雷达,Weather or Not Apps,0.0,每件HK$8.00-HK$309.00,2020-07-13,37995,https://play.google.com/store/apps/details?id=com.apalon.flight.tracker
HK,GROSS,AND,2020,6,M,8,+2,,Travel & Local,Naviki – Bike navigation,beemo,0.0,每件HK$8.00-HK$209.00,2020-07-14,37779,https://play.google.com/store/apps/details?id=org.naviki
HK,GROSS,AND,2020,6,M,9,+5,,Travel & Local,All Motorhome Parkings Lite - Campercontact,Nederlandse Kampeerauto Club,0.0,每件HK$7.00-HK$70.90,2019-06-21,37708,https://play.google.com/store/apps/details?id=nl.nkc.camperplaats
HK,GROSS,AND,2020,6,M,10,-3,,Travel & Local,Outdooractive：徒步和骑行路线，GPS和导航,Outdooractive GmbH,0.0,每件HK$8.00-HK$528.00,2020-07-16,37027,https://play.google.com/store/apps/details?id=com.outdooractive.Outdooractive
