Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
HK,PAID,AND,2019,2,M,1,-,,Travel & Local,PeakFinder,Fabio Soldati,HK$38.00,,2020-03-03,238845,https://play.google.com/store/apps/details?id=org.peakfinder.area.alps
HK,PAID,AND,2019,2,M,2,-,,Travel & Local,TripView,TripView Pty Ltd,HK$24.90,,2020-05-28,167647,https://play.google.com/store/apps/details?id=com.grofsoft.tripview
HK,PAID,AND,2019,2,M,3,-,,Travel & Local,OruxMaps GP,jose vazquez,HK$24.90,每件HK$8.00-HK$70.90,2020-07-10,93235,https://play.google.com/store/apps/details?id=com.orux.oruxmapsDonate
HK,PAID,AND,2019,2,M,4,-,,Travel & Local,LiveATC for Android,LiveATC,HK$30.92,,2020-01-31,86593,https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app
HK,PAID,AND,2019,2,M,5,+1,,Travel & Local,AlpineQuest Off-Road Explorer,Psyberia,HK$69.99,,2020-05-26,54024,https://play.google.com/store/apps/details?id=psyberia.alpinequest.full
HK,PAID,AND,2019,2,M,6,+2,,Travel & Local,Contour lines plugin — OsmAnd,OsmAnd,HK$28.00,,2016-12-27,41278,https://play.google.com/store/apps/details?id=net.osmand.srtmPlugin.paid
HK,PAID,AND,2019,2,M,7,+2,,Travel & Local,"OsmAnd+ — Offline Maps, Travel & Navigation",OsmAnd,HK$75.90,每件HK$8.00-HK$44.99,2020-06-09,39022,https://play.google.com/store/apps/details?id=net.osmand.plus
HK,PAID,AND,2019,2,M,8,-1,,Travel & Local,iFootpath UK Circular Walking Guides with GPS Map,iFootpath - part of OneToRemember LLP,HK$18.00,,2019-05-02,37800,https://play.google.com/store/apps/details?id=com.footpath
HK,PAID,AND,2019,2,M,9,+6,,Maps & Navigations,Land Nav Assistant,Gammon Applications,HK$15.50,,2019-04-21,30101,https://play.google.com/store/apps/details?id=com.gammonapps.android.straightlinenavigator
HK,PAID,AND,2019,2,M,10,-,,Travel & Local,Plane Finder - Flight Tracker,pinkfroot limited,HK$50.90,每件HK$21.31,2020-05-20,29454,https://play.google.com/store/apps/details?id=com.pinkfroot.planefinder
HK,PAID,AND,2019,2,M,11,-,,Travel & Local,快乐牛 - 纯素食者和素食者的餐厅指南,HappyCow,HK$29.90,,2020-07-14,26842,https://play.google.com/store/apps/details?id=com.sisow.hcvg.healthydiningguide
HK,PAID,AND,2019,2,M,12,+5,,Travel & Local,Road to Hana GyPSy Drive Tour,GyPSy Guide,HK$34.90,,2019-05-23,25571,https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.mi.rh
HK,PAID,AND,2019,2,M,13,+1,,Travel & Local,對話翻譯,HawsoftMob Inc.,HK$38.00,,2019-07-29,22443,https://play.google.com/store/apps/details?id=com.hawsoft.mobile.speechtranspro
HK,PAID,AND,2019,2,M,14,-1,,Travel & Local,Maps Speedometer,Amphebia,HK$13.00,,2019-01-16,20324,https://play.google.com/store/apps/details?id=com.amphebia.navigationspeedometer
HK,PAID,AND,2019,2,M,15,-3,,Travel & Local,Radardroid Pro,Ventero Tel.,HK$55.90,,2020-05-04,20163,https://play.google.com/store/apps/details?id=com.ventel.android.radardroid2
HK,PAID,AND,2019,2,M,16,+8,,Travel & Local,Maui - Full Island GyPSy Driving Tour,GyPSy Guide,HK$59.90,,2019-05-23,19596,https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.mi.fit
HK,PAID,AND,2019,2,M,17,+1,,Travel & Local,Gylis,GIS-Centras,HK$7.02,,2018-10-31,18912,https://play.google.com/store/apps/details?id=lt.giscentras.gylis
