"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel & Local","PeakFinder","Fabio Soldati","HK$38.00","","2020-03-03","310000","https://play.google.com/store/apps/details?id=org.peakfinder.area.alps"
"2","-","Travel & Local","OruxMaps GP","jose vazquez","HK$24.90","每件HK$8.00-HK$70.90","2020-07-10","143643","https://play.google.com/store/apps/details?id=com.orux.oruxmapsDonate"
"3","+1","Travel & Local","TripView","TripView Pty Ltd","HK$29.90","","2020-05-28","112688","https://play.google.com/store/apps/details?id=com.grofsoft.tripview"
"4","+4","Travel & Local","AlpineQuest Off-Road Explorer","Psyberia","HK$69.90","","2020-05-26","64222","https://play.google.com/store/apps/details?id=psyberia.alpinequest.full"
"5","-2","Travel & Local","LiveATC for Android","LiveATC","HK$29.90","","2020-01-31","60833","https://play.google.com/store/apps/details?id=net.liveatc.liveatc_app"
"6","+1","Travel & Local","Elmer's Great North Parade","St Oswald's Hospice Ltd","HK$9.90","","2019-08-14","48455","https://play.google.com/store/apps/details?id=stoswalds.elmernewcastle.android"
"7","-1","Travel & Local","Contour lines plugin — OsmAnd","OsmAnd","HK$14.90","","2016-12-27","47582","https://play.google.com/store/apps/details?id=net.osmand.srtmPlugin.paid"
"8","-3","Travel & Local","OsmAnd+ — Offline Maps, Travel & Navigation","OsmAnd","HK$38.00","每件HK$8.00-HK$44.99","2020-06-09","42062","https://play.google.com/store/apps/details?id=net.osmand.plus"
"9","-","Travel & Local","Plane Finder - Flight Tracker","pinkfroot limited","HK$50.90","每件HK$21.31","2020-05-20","35262","https://play.google.com/store/apps/details?id=com.pinkfroot.planefinder"
"10","+24","Travel & Local","خرائط الصحراء - السعودية","خرائط البر","HK$128.00","","2020-05-16","32789","https://play.google.com/store/apps/details?id=desert.maps.saudi"
"11","-1","Travel & Local","Road to Hana GyPSy Drive Tour","GyPSy Guide","HK$39.90","","2019-05-23","31953","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.mi.rh"
"12","-","Travel & Local","快乐牛 - 纯素食者和素食者的餐厅指南","HappyCow","HK$29.90","","2020-07-14","27738","https://play.google.com/store/apps/details?id=com.sisow.hcvg.healthydiningguide"
"13","-2","Travel & Local","Yellowstone Teton Combo GyPSy","GyPSy Guide","HK$60.90","","2019-08-01","23838","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.wy.combo"
"14","-1","Travel & Local","Maui - Full Island GyPSy Driving Tour","GyPSy Guide","HK$59.90","","2019-05-23","23710","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.mi.fit"
"15","+5","Travel & Local","Harzer Wandernadel","Ethon Technologies GmbH","HK$35.90","","2020-07-16","19972","https://play.google.com/store/apps/details?id=de.ethon.android.hwn"
"16","-2","Travel & Local","Radardroid Pro","Ventero Tel.","HK$55.90","","2020-05-04","19445","https://play.google.com/store/apps/details?id=com.ventel.android.radardroid2"
"17","-","Travel & Local","PeakVisor - 3D地图、山峰识别","Routes Software SRL","HK$34.90","","2020-07-14","16451","https://play.google.com/store/apps/details?id=tips.routes.peakvisor"
"18","-","Travel & Local","旅行英会話 - Help me Travel","Unicorn Creations","HK$75.90","","2020-05-12","16183","https://play.google.com/store/apps/details?id=com.bilingirl.helpmetravel"
"19","+4","Travel & Local","對話翻譯","HawsoftMob Inc.","HK$38.00","","2019-07-29","15888","https://play.google.com/store/apps/details?id=com.hawsoft.mobile.speechtranspro"
"20","+6","Travel & Local","Bons Plans Voyage New York","Alex les bons plans","HK$28.00","","2019-06-22","14447","https://play.google.com/store/apps/details?id=fr.rc.nyc"
"21","+8","Travel & Local","GPS Status PRO - (legacy key)","EclipSim","HK$24.90","","2013-05-23","13829","https://play.google.com/store/apps/details?id=com.eclipsim.gpstoolbox.pro"
"22","-1","Travel & Local","Canadian Rockies GyPSy Guide","GyPSy Guide","HK$119.00","","2019-08-22","13486","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.ca.cr"
"23","+2","Travel & Local","XE Currency Converter & Money Transfers Pro","XE.com Inc.","HK$11.35","","2020-05-16","12063","https://play.google.com/store/apps/details?id=com.xe.currencypro"
"24","+16","Travel & Local","Unlock City Maps","Topobyte.de","HK$13.00","","2019-10-28","10239","https://play.google.com/store/apps/details?id=de.topobyte.apps.freemium.unlock.citymaps"
"25","+6","Travel & Local","Gylis","GIS-Centras","HK$7.02","","2018-10-31","9747","https://play.google.com/store/apps/details?id=lt.giscentras.gylis"
"26","+17","Travel & Local","Palacio Real de Madrid","GVAM Guías Interactivas","HK$15.00","","2016-06-27","9517","https://play.google.com/store/apps/details?id=com.gvam.palacioMovil"
"27","+18","Travel & Local","航班追踪器","Impala Studios","HK$33.00","","2020-07-06","9489","https://play.google.com/store/apps/details?id=com.flistholding.flightpluspremium"
"28","+9","Auto & Vehicles","Fahrtenbuch GPS-Zeiterfassung PRO","Brunnlechner - Apps made in Germany","HK$80.90","每件HK$8.00","2020-06-28","9236","https://play.google.com/store/apps/details?id=brunnlechner.gps.zeiterfassungpro"
"29","-7","Travel & Local","US Public Lands","Two Steps Beyond LLC","HK$23.00","","2019-07-08","9083","https://play.google.com/store/apps/details?id=com.twostepsbeyond.uspubliclands"
"30","-11","Travel & Local","Yellowstone GyPSy Driving Tour","GyPSy Guide","HK$43.00","","2019-08-01","9040","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.wy.y"
"31","-15","Travel & Local","Archiescampings","JahDroid","HK$23.00","","2020-01-12","8904","https://play.google.com/store/apps/details?id=jahdroid.archies"
"32","+16","Travel & Local","Hawaii Big Island Full Island Tour GyPSy","GyPSy Guide","HK$59.90","","2019-04-10","8897","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.hbi.fit"
"33","+2","Travel & Local","KrugerExplorer","Explorer Apps","HK$98.00","","2019-10-22","8858","https://play.google.com/store/apps/details?id=com.kruger.explorer"
"34","+4","Travel & Local","Kauai GyPSy Guide Driving Tour","GyPSy Guide","HK$59.90","","2020-02-20","8421","https://play.google.com/store/apps/details?id=com.gypsyguide.tours.gypsyguidetour.hi.k"
"35","+30","Travel & Local","Wisely + Camino Portugués : A Wise Pilgrim Guide","Wise Pilgrim","HK$15.00","","2020-02-26","8199","https://play.google.com/store/apps/details?id=com.wisepilgrim.portugues"
"36","+40","Travel & Local","Рим большой аудио-путеводитель 1000Guides","1000Guides","HK$60.90","","2019-10-07","7874","https://play.google.com/store/apps/details?id=com.Guides1000.package2013280122953"
