Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
HK,FREE,IOS,2019,11,M,1,-,,Travel,App1933 - KMB ‧ LWB,The Kowloon Motor Bus Company (1933) Limited,0.0,,2016-11-20,192833,https://itunes.apple.com/HK/app/id1170003707
HK,FREE,IOS,2019,11,M,2,+2,,Travel,MTR Mobile,MTR Corporation Limited,0.0,,2010-05-13,146605,https://itunes.apple.com/HK/app/id369295276
HK,FREE,IOS,2019,11,M,3,+4,,Travel,新巴城巴 CitybusNWFB,Citybus & New World First Bus,0.0,,2011-10-21,84680,https://itunes.apple.com/HK/app/id472242340
HK,FREE,IOS,2019,11,M,4,-2,,Navigation,Citymapper －「一個打十個」嘅交通 App,Citymapper Limited,0.0,,2011-10-17,84347,https://itunes.apple.com/HK/app/id469463298
HK,FREE,IOS,2019,11,M,5,+1,,Reference,Google 翻譯,Google LLC,0.0,,2011-02-08,82601,https://itunes.apple.com/HK/app/id414706506
HK,FREE,IOS,2019,11,M,6,+3,,Travel,Trip.com,Ctrip.com international,0.0,,2013-08-05,56456,https://itunes.apple.com/HK/app/id681752345
HK,FREE,IOS,2019,11,M,7,-2,,Travel,KLOOK客路,Klook Travel Technology Limited,0.0,,2015-04-23,55318,https://itunes.apple.com/HK/app/id961850126
HK,FREE,IOS,2019,11,M,8,+10,,Travel,KKday: 全球旅遊體驗行程預訂-自由行規劃,KKday,0.0,,2017-09-24,52908,https://itunes.apple.com/HK/app/id1248267356
HK,FREE,IOS,2019,11,M,9,+1,,Travel,Uber 優步，全球便捷搭乘,"Uber Technologies, Inc.",0.0,,2010-05-20,44113,https://itunes.apple.com/HK/app/id368677368
HK,FREE,IOS,2019,11,M,10,+15,,Travel,香港出行易,"Transport Department, HKSAR Government",0.0,,2011-08-15,41181,https://itunes.apple.com/HK/app/id426108163
HK,FREE,IOS,2019,11,M,11,-,,Travel,HKTaxi - 香港Call的士App,HKTaxi App Limited,0.0,,2013-06-18,31854,https://itunes.apple.com/HK/app/id660232595
