"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Travel","App1933 - KMB ‧ LWB","The Kowloon Motor Bus Company (1933) Limited","0.0","","2016-11-20","294091","https://itunes.apple.com/HK/app/id1170003707"
"2","-","Travel","新巴城巴 CitybusNWFB","Citybus & New World First Bus","0.0","","2011-10-21","136665","https://itunes.apple.com/HK/app/id472242340"
"3","+2","Travel","GOGOX (前為GOGOVAN)-即時貨運及速遞叫車","GoGo Tech Limited","0.0","","2013-10-31","80012","https://itunes.apple.com/HK/app/id708390467"
"4","+29","Travel","KKFly","Awesapp Ltd","0.0","魔力 x 1 : HK$ 8.00 / 魔力 x 10 : HK$ 78.00 / 魔力 x 120 : HK$ 788.00","2018-06-04","67365","https://itunes.apple.com/HK/app/id1374837929"
"5","+1","Travel","HKTaxi - 香港Call的士App","HKTaxi App Limited","0.0","","2013-06-18","60327","https://itunes.apple.com/HK/app/id660232595"
"6","+1","Travel","香港遠足路線","YAT SHING TSOI","0.0","年費訂閱 : HK$ 28.00 / 一次性購買 : HK$ 288.00","2018-07-25","58724","https://itunes.apple.com/HK/app/id1403380232"
"7","+2","Travel","MTR Mobile","MTR Corporation Limited","0.0","","2010-05-13","57202","https://itunes.apple.com/HK/app/id369295276"
"8","+2","Travel","CALL4VAN 客貨車平台","Genie-WorkShop","0.0","","2015-11-14","51579","https://itunes.apple.com/HK/app/id1056894785"
"9","-5","Travel","Uber 優步，全球便捷搭乘","Uber Technologies, Inc.","0.0","","2010-05-20","45370","https://itunes.apple.com/HK/app/id368677368"
"10","+1","Travel","Lalamove (用戶版) - 即時速遞及貨運Call車","Lalamove Media Limited","0.0","","2013-12-27","32188","https://itunes.apple.com/HK/app/id735701965"
"11","+1","Travel","85飛的 - HKTaxi 香港Call的士App","Tat Man Siu","0.0","","2014-01-16","29357","https://itunes.apple.com/HK/app/id787091892"
"12","+7","Travel","Google 地球","Google LLC","0.0","","2013-06-26","25971","https://itunes.apple.com/HK/app/id293622097"
"13","-","Travel","Flow - 日間酒店、共享工作空間、會議室","Flow Entertainment Limited","0.0","","2017-07-22","25332","https://itunes.apple.com/HK/app/id1257818009"
"14","+13","Travel","MTR Next Train","MTR Corporation Limited","0.0","","2012-06-06","22516","https://itunes.apple.com/HK/app/id531631636"
"15","-","Travel","Agoda - 國內外訂房優惠","Agoda.com","0.0","","2011-06-06","21132","https://itunes.apple.com/HK/app/id440676901"
"16","+4","Travel","TrailWatch: 隨身行山嚮導","WYNG Foundation","0.0","","2014-01-29","19306","https://itunes.apple.com/HK/app/id791098937"
"17","-3","Travel","Trip.com","Ctrip.com international","0.0","","2013-08-05","18084","https://itunes.apple.com/HK/app/id681752345"
"18","+29","Travel","Pickupp User - Shop & Deliver","Hong Kong Pick-Up!","0.0","","2018-10-30","17218","https://itunes.apple.com/HK/app/id1433497708"
"19","+13","Travel","Google 街景服務","Google LLC","0.0","","2014-08-19","16723","https://itunes.apple.com/HK/app/id904418768"
"20","+1","Travel","Booking.com 旅遊優惠","Booking.com","0.0","","2010-04-14","14825","https://itunes.apple.com/HK/app/id367003839"
"21","+9","Travel","新巴城巴嶼巴實時抵站時間","Ho Kit Cheung","0.0","","2019-08-19","14495","https://itunes.apple.com/HK/app/id1476678281"
"22","+2","Travel","Airbnb","Airbnb, Inc.","0.0","","2010-11-10","13744","https://itunes.apple.com/HK/app/id401626263"
"23","+2","Travel","HOTELS.COM: 查找和比較旅行優惠。預訂旅遊行程","Hotels.com","0.0","","2019-02-11","12800","https://itunes.apple.com/HK/app/id284971959"
"24","-8","Travel","國泰航空","Cathay Pacific Airways Limited","0.0","","2009-02-23","12768","https://itunes.apple.com/HK/app/id305038764"
"25","+6","Travel","trivago：比較酒店價錢","trivago N.V.","0.0","","2010-06-15","12154","https://itunes.apple.com/HK/app/id376888389"
"26","-8","Finance","XE 貨幣轉換器及匯率計算工具","XE.com Inc.","0.0","","2009-05-20","11770","https://itunes.apple.com/HK/app/id315241195"
"27","+19","Travel","香港出行易","Transport Department, HKSAR Government","0.0","","2011-08-15","10345","https://itunes.apple.com/HK/app/id426108163"
"28","+12","Travel","KLOOK客路","Klook Travel Technology Limited","0.0","","2015-04-23","10329","https://itunes.apple.com/HK/app/id961850126"
"29","+13","Travel","85截的 ProTaxi","ExcaliburPlus Limited","0.0","","2016-02-03","10226","https://itunes.apple.com/HK/app/id1067888194"
"30","-8","Travel","Expedia 智遊網酒店、機票、當地玩樂一站式旅遊預訂平台","Expedia, Inc.","0.0","","2011-04-06","10002","https://itunes.apple.com/HK/app/id427916203"
"31","+5","Travel","永安旅遊 - 機票酒店旅遊優惠","Hong Kong Wing On Travel Service Limited","0.0","","2014-07-23","9779","https://itunes.apple.com/HK/app/id888640962"
"32","+18","Travel","GOGOX夥伴(前為GOGOVAN司機版)","GoGo Tech Limited","0.0","","2018-03-13","9406","https://itunes.apple.com/HK/app/id1332742891"
