"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+2","Travel","KKFly","Awesapp Ltd","0.0","魔力 x 1 : HK$ 8.00 / 魔力 x 10 : HK$ 78.00 / 魔力 x 120 : HK$ 788.00","2018-06-04","187875","https://itunes.apple.com/HK/app/id1374837929"
"2","-1","Travel","Flightradar24 | Flight Tracker","Flightradar24 AB","0.0","","2010-07-21","174915","https://itunes.apple.com/HK/app/id382233851"
"3","-1","Travel","iTranslate Converse 語音翻譯","iTranslate","0.0","","2017-08-03","95198","https://itunes.apple.com/HK/app/id1241264761"
"4","-","Travel","航班動態 - 航班動態追蹤器和天氣","Weather or Not Apps, LLC","0.0","","2016-06-16","78999","https://itunes.apple.com/HK/app/id1097815000"
"5","+24","Travel","香港遠足路線","YAT SHING TSOI","0.0","年費訂閱 : HK$ 28.00 / 一次性購買 : HK$ 288.00","2018-07-25","40836","https://itunes.apple.com/HK/app/id1403380232"
"6","+4","Travel","Tabiko - 日本旅遊即時諮詢好幫手","FAST JAPAN INC.","0.0","","2017-03-01","36731","https://itunes.apple.com/HK/app/id1208358502"
"7","+4","Travel","LUXE City Guides","LUXE Ltd.","0.0","","2015-05-14","26385","https://itunes.apple.com/HK/app/id966722476"
"8","-3","Travel","櫻花最前線 - 2019年預測","日本気象株式会社","HK$ 23.00","","2019-01-10","22201","https://itunes.apple.com/HK/app/id1447190934"
"9","-","Travel","Explorest - Photo Locations","Explorest Inc","0.0","","2017-06-17","21592","https://itunes.apple.com/HK/app/id1227446332"
"10","+10","Travel","MarineTraffic - Ship Tracking","MarineTraffic.com","HK$ 38.00","","2012-10-08","21075","https://itunes.apple.com/HK/app/id563910324"
"11","+100","Travel","Disneyland®","Disney","0.0","","2015-08-04","20306","https://itunes.apple.com/HK/app/id1022164656"
"12","+14","Travel","HappyCow Find Vegan Food","HappyCow","HK$ 28.00","","2011-05-12","20249","https://itunes.apple.com/HK/app/id435871950"
"13","-1","Travel","LiveATC Air Radio","LiveATC.net","HK$ 28.00","","2009-06-09","20021","https://itunes.apple.com/HK/app/id317809458"
"14","+24","Travel","App in the Air","AITA LIMITED","0.0","","2012-05-31","19826","https://itunes.apple.com/HK/app/id527299553"
"15","+2","Travel","Metro Paris - offline maps","Samuel Ferrier","0.0","","2019-01-25","18630","https://itunes.apple.com/HK/app/id1100653632"
"16","-9","Travel","StaffTraveler","StaffTraveler Solutions B.V.","0.0","","2016-06-13","18263","https://itunes.apple.com/HK/app/id1115912521"
"17","+19","Travel","TripIt: Travel Planner","TripIt","0.0","","2009-04-10","17199","https://itunes.apple.com/HK/app/id311035142"
"18","+5","Travel","香港國際機場航班資訊 - HK Flight Info.","TechmaxApp","HK$ 8.00","","2013-08-20","16355","https://itunes.apple.com/HK/app/id688856635"
"19","new","Travel","PeakVisor","Routes Software SRL","HK$ 48.00","","2016-12-21","15936","https://itunes.apple.com/HK/app/id1187259191"
"20","-14","Travel","新假期周刊","Media Publishing Limited","0.0","","2013-12-10","15343","https://itunes.apple.com/HK/app/id722179449"
