Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
HK,GROSS,IOS,2020,4,M,1,-,,Travel,航班動態 - 航班動態追蹤器和天氣,"Weather or Not Apps, LLC",0.0,,2016-06-16,212434,https://itunes.apple.com/HK/app/id1097815000
HK,GROSS,IOS,2020,4,M,2,+2,,Travel,Flightradar24 | Flight Tracker,Flightradar24 AB,0.0,,2010-07-21,157953,https://itunes.apple.com/HK/app/id382233851
HK,GROSS,IOS,2020,4,M,3,-1,,Travel,语音和照片翻译器 OkTalk,Zapps Mobi,0.0,,2019-02-19,149227,https://itunes.apple.com/HK/app/id1452146565
HK,GROSS,IOS,2020,4,M,4,-1,,Travel,KKFly,Awesapp Ltd,0.0,魔力 x 1 : HK$ 8.00 / 魔力 x 10 : HK$ 78.00 / 魔力 x 120 : HK$ 788.00,2018-06-04,84306,https://itunes.apple.com/HK/app/id1374837929
HK,GROSS,IOS,2020,4,M,5,+1,,Travel,香港遠足路線,YAT SHING TSOI,0.0,年費訂閱 : HK$ 28.00 / 一次性購買 : HK$ 288.00,2018-07-25,63067,https://itunes.apple.com/HK/app/id1403380232
HK,GROSS,IOS,2020,4,M,6,-1,,Travel,iTranslate Converse 語音翻譯,iTranslate,0.0,,2017-08-03,56621,https://itunes.apple.com/HK/app/id1241264761
HK,GROSS,IOS,2020,4,M,7,-,,Travel,翻譯官-語音翻譯,"AppLives Co., Ltd.",0.0,,2018-11-30,39259,https://itunes.apple.com/HK/app/id1443689958
HK,GROSS,IOS,2020,4,M,8,+7,,Travel,MarineTraffic - Ship Tracking,MarineTraffic.com,HK$ 38.00,,2012-10-08,23626,https://itunes.apple.com/HK/app/id563910324
HK,GROSS,IOS,2020,4,M,9,+11,,Travel,香港國際機場航班資訊 - HK Flight Info.,TechmaxApp,HK$ 8.00,,2013-08-20,20597,https://itunes.apple.com/HK/app/id688856635
HK,GROSS,IOS,2020,4,M,10,+18,,Travel,TripIt: Travel Planner,TripIt,0.0,,2009-04-10,20269,https://itunes.apple.com/HK/app/id311035142
HK,GROSS,IOS,2020,4,M,11,+1,,Travel,LiveATC Air Radio,LiveATC.net,HK$ 28.00,,2009-06-09,18579,https://itunes.apple.com/HK/app/id317809458
HK,GROSS,IOS,2020,4,M,12,+9,,Travel,Explorest - Photo Locations,Explorest Inc,0.0,,2017-06-17,16819,https://itunes.apple.com/HK/app/id1227446332
HK,GROSS,IOS,2020,4,M,13,+147,,Travel,Train Times UK Journey Planner,App Ktchn Ltd,0.0,,2014-06-28,15603,https://itunes.apple.com/HK/app/id891379341
HK,GROSS,IOS,2020,4,M,14,+8,,Travel,无忧行-景点门票特价酒店机票预订,China Mobile International Limited,0.0,,2015-11-10,15550,https://itunes.apple.com/HK/app/id1037589370
HK,GROSS,IOS,2020,4,M,15,+80,,Travel,OBD Fusion,"OCTech, LLC",HK$ 78.00,,2013-06-01,14999,https://itunes.apple.com/HK/app/id650684932
HK,GROSS,IOS,2020,4,M,16,-6,,Travel,新假期周刊,Media Publishing Limited,0.0,,2013-12-10,14697,https://itunes.apple.com/HK/app/id722179449
HK,GROSS,IOS,2020,4,M,17,+48,,Travel,Showaround - Find a Local,Compassfriends Limited,0.0,,2015-10-26,14537,https://itunes.apple.com/HK/app/id1001885430
HK,GROSS,IOS,2020,4,M,18,+6,,Travel,匯率計算機 Currency：貨幣匯率換算,"Davetech Co., Ltd.",0.0,,2015-01-28,14493,https://itunes.apple.com/HK/app/id946607423
HK,GROSS,IOS,2020,4,M,19,+17,,Travel,CrewMobile,merlot.aero,0.0,,2012-06-16,14463,https://itunes.apple.com/HK/app/id532094233
HK,GROSS,IOS,2020,4,M,20,+10,,Travel,App in the Air,AITA LIMITED,0.0,,2012-05-31,14043,https://itunes.apple.com/HK/app/id527299553
HK,GROSS,IOS,2020,4,M,21,+5,,Travel,Hong Kong Taxi Cards,TechmaxApp,HK$ 15.00,,2013-08-08,13788,https://itunes.apple.com/HK/app/id683353582
HK,GROSS,IOS,2020,4,M,22,+15,,Travel,Sygic Travel Maps Offline,Tripomatic s.r.o.,0.0,,2012-04-24,13342,https://itunes.apple.com/HK/app/id519058033
HK,GROSS,IOS,2020,4,M,23,+9,,Travel,LUXE City Guides,LUXE Ltd.,0.0,,2015-05-14,13130,https://itunes.apple.com/HK/app/id966722476
HK,GROSS,IOS,2020,4,M,24,-6,,Travel,HappyCow Find Vegan Food,HappyCow,HK$ 28.00,,2011-05-12,12618,https://itunes.apple.com/HK/app/id435871950
HK,GROSS,IOS,2020,4,M,25,+8,,Travel,My Disney Experience,Disney,0.0,,2012-08-02,12586,https://itunes.apple.com/HK/app/id547436543
HK,GROSS,IOS,2020,4,M,26,-12,,Travel,StaffTraveler,StaffTraveler Solutions B.V.,0.0,,2016-06-13,12259,https://itunes.apple.com/HK/app/id1115912521
HK,GROSS,IOS,2020,4,M,27,+57,,Travel,Elk - 旅行貨幣轉換器,Clean Shaven Apps,0.0,,2017-04-10,12207,https://itunes.apple.com/HK/app/id1189748820
HK,GROSS,IOS,2020,4,M,28,+1,,Travel,航旅纵横PRO-官方航班动态、手机值机、机票,China Travelsky Technology Limited,HK$ 8.00,,2013-12-18,11479,https://itunes.apple.com/HK/app/id768160271
HK,GROSS,IOS,2020,4,M,29,-10,,Travel,LOUIS VUITTON CITY GUIDE,Louis Vuitton Editeur SAS,0.0,,2015-11-04,11443,https://itunes.apple.com/HK/app/id1014618396
HK,GROSS,IOS,2020,4,M,30,+34,,Travel,不失禮遊日對話器,Zazaki Greenose,HK$ 28.00,,2009-12-24,11407,https://itunes.apple.com/HK/app/id347802574
HK,GROSS,IOS,2020,4,M,31,+51,,Travel,Currency,Jeffrey Grossman,0.0,,2019-02-01,11253,https://itunes.apple.com/HK/app/id284220417
HK,GROSS,IOS,2020,4,M,32,+55,,Travel,nemo 美式英語,Nemo Apps LLC,0.0,,2011-12-21,11095,https://itunes.apple.com/HK/app/id487069717
HK,GROSS,IOS,2020,4,M,33,-2,,Travel,nemo 西班牙語,Nemo Apps LLC,0.0,,2012-01-01,10983,https://itunes.apple.com/HK/app/id487054746
HK,GROSS,IOS,2020,4,M,34,+7,,Travel,香港機場 HK Airport iPlane Flight Info,Shun Wan Tang,0.0,,2009-11-18,10930,https://itunes.apple.com/HK/app/id337452583
HK,GROSS,IOS,2020,4,M,35,-18,,Travel,城市通 - 全球離線導覽,Urban-Map,0.0,,2015-10-03,10294,https://itunes.apple.com/HK/app/id1032469973
