"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+1","Photo & Video","Northern Lights Photo Taker","Lazily Inspired","HK$ 8.00","","2015-04-08","104745","https://itunes.apple.com/HK/app/id979540312"
"2","-1","Photo & Video","ProCamera.","Cocologics","HK$ 68.00","","2013-09-18","97732","https://itunes.apple.com/HK/app/id694647259"
"3","-","Photo & Video","@picn2k camera","JIN WOOK KOO","HK$ 15.00","","2018-06-18","87864","https://itunes.apple.com/HK/app/id1376609012"
"4","-","Photo & Video","Pro Camera by Moment","Moment Inc.","HK$ 38.00","","2014-11-18","85753","https://itunes.apple.com/HK/app/id927098908"
"5","+3","Travel","Hong Kong Taxi Cards","TechmaxApp","HK$ 15.00","","2013-08-08","54433","https://itunes.apple.com/HK/app/id683353582"
"6","new","Travel","航旅纵横PRO-官方航班动态、手机值机、机票","China Travelsky Technology Limited","HK$ 8.00","","2013-12-18","41350","https://itunes.apple.com/HK/app/id768160271"
"7","-1","Arcade","Bus Simulator PRO 2017","CONSULIT PIOTR KAZMIERCZAK MICHAL MIZERA SPOLKA CYWILNA","HK$ 23.00","","2016-09-09","37808","https://itunes.apple.com/HK/app/id1145442827"
"8","+5","Travel","香港國際機場航班資訊 - HK Flight Info.","TechmaxApp","HK$ 8.00","","2013-08-20","32436","https://itunes.apple.com/HK/app/id688856635"
"9","+12","Travel","LiveATC Air Radio","LiveATC.net","HK$ 28.00","","2009-06-09","29975","https://itunes.apple.com/HK/app/id317809458"
"10","+16","Navigation","MapOut","Valnova","HK$ 38.00","","2012-03-19","25417","https://itunes.apple.com/HK/app/id477094081"
"11","+23","Travel","飞常准Pro-全球航班查询机票酒店预订","FEEYO.COM E-COMMERCE CORP.","HK$ 8.00","","2011-10-05","24778","https://itunes.apple.com/HK/app/id469338840"
"12","-5","Travel","MarineTraffic - Ship Tracking","MarineTraffic.com","HK$ 38.00","","2012-10-08","20409","https://itunes.apple.com/HK/app/id563910324"
"13","-1","Travel","TripView - Sydney & Melbourne","TripView Pty Ltd","HK$ 28.00","","2009-03-26","20284","https://itunes.apple.com/HK/app/id294730339"
"14","-9","Travel","HappyCow Find Vegan Food","HappyCow","HK$ 28.00","","2011-05-12","19429","https://itunes.apple.com/HK/app/id435871950"
"15","new","Travel","世界迷霧","Ollix","HK$ 118.00","","2012-09-18","16523","https://itunes.apple.com/HK/app/id505367096"
"16","new","Sports","Hiking in Hong Kong","Christ'l Truebenbach","HK$ 38.00","","2011-11-15","16500","https://itunes.apple.com/HK/app/id466456788"
"17","new","Travel","航班管家Pro-完美行程必备","Shenzhen Huo Li Tian Hui Technology Co., Ltd.","HK$ 8.00","","2013-11-08","15139","https://itunes.apple.com/HK/app/id726910407"
"18","new","Navigation","香港交通易","TechmaxApp","HK$ 15.00","","2014-01-16","12701","https://itunes.apple.com/HK/app/id785397069"
"19","new","Travel","航班現場 - 飛行雷達","Weather or Not Apps, LLC","￦8,900","","2019-08-16","10572","https://itunes.apple.com/HK/app/id1064962398"
"20","new","Travel","Translate Voice - Language Translator & Dictionary","myLanguage","HK$ 78.00","","2009-08-26","9999","https://itunes.apple.com/HK/app/id323470584"
"21","-7","Photo & Video","Northern Lights Photo Capture","Letovaltsev Maxim","HK$ 8.00","","2017-03-09","9405","https://itunes.apple.com/HK/app/id1212028104"
"22","new","Education","泰語學習助手 - 24小時泰語入門！","Yaogao Wu","¥25.00","","2017-04-24","8651","https://itunes.apple.com/HK/app/id1227388619"
"23","new","Weather","AeroWeather Apps","Lakehorn AG","0.0","","2017-03-03","7833","https://itunes.apple.com/HK/app/id1209821181"
"24","new","Navigation","Ship Finder","pinkfroot limited","HK$ 38.00","","2010-04-01","7515","https://itunes.apple.com/HK/app/id363360636"
"25","+18","Travel","PeakFinder AR","Fabio Soldati","HK$ 38.00","","2010-03-12","7222","https://itunes.apple.com/HK/app/id357421934"
"26","new","Education","西班牙語助手－零基礎學西班牙文的最佳選擇！","Yaogao Wu","HK$ 28.00","","2017-03-24","6666","https://itunes.apple.com/HK/app/id1218126293"
"27","new","Travel","Tokyo Narita Airport Pro (NRT) + Flight Tracker","Renji Mathew","￦1,200","","2016-12-22","6666","https://itunes.apple.com/HK/app/id721678699"
"28","+8","Travel","吉隆坡地铁导游","Discover Ukraine LLC","HK$ 8.00","","2014-06-03","6401","https://itunes.apple.com/HK/app/id882416761"
"29","+8","Travel","XE Pro 貨幣轉換器及匯率計算工具","XE.com Inc.","$1.99","","2020-05-16","6034","https://itunes.apple.com/HK/app/id598967192"
"30","new","Travel","不失禮遊日對話器","Zazaki Greenose","HK$ 28.00","","2009-12-24","5871","https://itunes.apple.com/HK/app/id347802574"
"31","new","Education","Midrive: UK Theory Test 2019","Midrive Limited","0.0","","2019-09-30","5000","https://itunes.apple.com/HK/app/id1481474342"
"32","new","Travel","Notifications for GNIB","Maxim Antonov","$1.99","","2020-02-08","5000","https://itunes.apple.com/HK/app/id1459311288"
"33","+12","Travel","Vegan Passport","The Vegan Society","HK$ 15.00","","2016-04-21","5000","https://itunes.apple.com/HK/app/id1101271520"
"34","new","Travel","出发吧Pro-旅游计划自由行行程助手","上海简旅网络科技有限公司","HK$ 15.00","","2013-06-06","4540","https://itunes.apple.com/HK/app/id611640407"
"35","new","Utilities","Circa³ – Time Zone Converter","Kostiantyn Zuiev","₪13.90","","2019-06-20","4287","https://itunes.apple.com/HK/app/id968698352"
"36","new","Navigation","魔法時光 for 上海迪士尼樂園","TAO WU","$1.99","","2019-10-29","4000","https://itunes.apple.com/HK/app/id1257359875"
"37","new","Travel","實時航班動態 Flight tracker radar pr","Stewart Swatton","HK$ 38.00","","2012-05-22","4000","https://itunes.apple.com/HK/app/id525956148"
"38","new","Travel","翻译官--出国必备","新一站保险代理股份有限公司","HK$ 8.00","","2016-04-07","3917","https://itunes.apple.com/HK/app/id966463562"
"39","new","Education","English Vocabulary Builder Pro Word Phrases Idioms","Dien Le","$2.99","","2017-05-08","3750","https://itunes.apple.com/HK/app/id904864754"
