Rank,Change,Category,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
1,1,Communication,LINE£¨«é«¤«ó£© - ÙíÖù÷×ü¥?«á?«ë«¢«×«ê,LINE Corporation,0,"¡Í108¢¦¡Í17,000/«¢«¤«Æ«à",2020-06-18,268993,https://play.google.com/store/apps/details?id=jp.naver.line.android
2,2,News & Magazines,«¹«Þ?«È«Ë«å?«¹ - ÙíÖùªÇ«Ë«å?«¹ªäô¸??«¨«ó«¿«á?«¯?«Ý«óï×ÜÃªòªª?ª±,"SmartNews, Inc.",0,,2020-06-24,128359,https://play.google.com/store/apps/details?id=jp.gocro.smartnews.android
3,3,News & Magazines,Yahoo! JAPAN,Yahoo Japan Corp.,0,,2020-06-25,107812,https://play.google.com/store/apps/details?id=jp.co.yahoo.android.yjtop
4,-3,Finance,PayPay-«Ú«¤«Ú«¤(«­«ã«Ã«·«å«ì«¹ªÇ«¹«Þ?«ÈªËªªò¨?ª¤),PayPay Corporation,0,,2020-06-26,101857,https://play.google.com/store/apps/details?id=jp.ne.paypay.android.app
5,-,Social,Instagram,Instagram,0,¡Í110¢¦¡Í540/«¢«¤«Æ«à,2020-06-23,91292,https://play.google.com/store/apps/details?id=com.instagram.android
6,1,News & Magazines,Twitter,"Twitter, Inc.",0,,2020-06-23,39580,https://play.google.com/store/apps/details?id=com.twitter.android
7,31,Lifestyle,Coke ON(«³?«¯«ª«ó) ªª«È«¯ªÇ?ª·ª¤«³««?«³?«éÍëãÒ«¢«×«ê,Coca-Cola,0,,2020-04-24,33515,https://play.google.com/store/apps/details?id=com.coke.cokeon
8,-,Shopping,£ä«Ý«¤«ó«È«¯«é«Ö,NTT DOCOMO,0,,2020-06-16,33362,https://play.google.com/store/apps/details?id=com.nttdocomo.android.dpoint
9,6,Entertainment,Amazon«×«é«¤«à?«Ó«Ç«ª,Amazon Mobile LLC,0,"¡Í110¢¦¡Í3,900/«¢«¤«Æ«à",2020-06-26,32096,https://play.google.com/store/apps/details?id=com.amazon.avod.thirdpartyclient
10,-,Tools,ÙíÖù?QR«³?«É«ê?«À?¡¢«Ð?«³?«É«ê?«À?,1MB,0,,2020-06-26,30467,https://play.google.com/store/apps/details?id=com.kitkats.qrscanner
11,-8,Finance,d?ª¤£­«¹«Þ«ÛÌ½?«¢«×«ê¡¢«­«ã«Ã«·«å«ì«¹ªÇªªò¨?ª¤,NTT DOCOMO,0,,2020-05-29,29897,https://play.google.com/store/apps/details?id=com.nttdocomo.keitai.payment
12,-1,Shopping,Amazon «·«ç«Ã«Ô«ó«°«¢«×«ê,Amazon Mobile LLC,0,,2020-06-18,28352,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping
13,3,News & Magazines,dmenu«Ë«å?«¹¡¡ÙíÖùªÇ?ªáªë«É«³«âª¬ð«Íêª¹ªëäÌãýãá?ªÎ«Ë«å?«¹«¢«×«ê,NTT DOCOMO,0,,2020-06-16,24830,https://play.google.com/store/apps/details?id=com.nttdocomo.android.dmenunews
14,4,Shopping,«á«ë«««ê(«á«ë«Ú«¤)-«Õ«ê«Þ«¢«×«ê&«¹«Þ«ÛÌ½?,"Mercari, Inc.",0,,2020-06-23,23729,https://play.google.com/store/apps/details?id=com.kouzoh.mercari
15,-3,Video Players & Editors,TikTok,TikTok Pte. Ltd.,0,"¡Í110¢¦¡Í11,600/«¢«¤«Æ«à",2020-06-28,23246,https://play.google.com/store/apps/details?id=com.ss.android.ugc.trill
16,54,Food & Drink,«Þ«¯«É«Ê«ë«É «â«Ð«¤«ë«ª?«À?,ìíÜâ«Þ«¯«É«Ê«ë«Éñ»ãÒ?Þä,0,,2020-05-26,22052,https://play.google.com/store/apps/details?id=com.orderPay
17,2,Productivity,TimeTree [«¿«¤«à«Ä«ê?]£ºÊ«ðéªä?ìÑ¡¢ÞÂÞÀñêÊàªÈ«««ì«ó«À?ªÇ«¹«±«¸«å?«ëÍìêóª¬ªÇª­ªë«¢«×«ê,"TimeTree, Inc.",0,,2020-06-12,22048,https://play.google.com/store/apps/details?id=works.jubilee.timetree
18,15,Video Players & Editors,ABEMA(«¢«Ù«Þ),"AbemaTV, Inc.",0,"¡Í100¢¦¡Í48,000/«¢«¤«Æ«à",2020-06-25,17793,https://play.google.com/store/apps/details?id=tv.abema
19,3,Music & Audio,Amazon Music: ëå?«¹«È«ê?«ß«ó«°«¢«×«ê - ìÑ?ªÎ?ÍØª¬?ª­Û¯ð¹,Amazon Mobile LLC,0,,2020-06-25,16334,https://play.google.com/store/apps/details?id=com.amazon.mp3
20,3,Communication,«Õ«ê?WiFií»ÔÑïÈ?«¢«×«ê¡¸«¿«¦«óWiFi by GMO¡¹ìíÜâñéªÎ«Õ«ê?WiFiª¬ÞÅª¨ªÞª¹,«¿«¦«óWiFi,0,,2020-06-23,15729,https://play.google.com/store/apps/details?id=jp.wifishare.townwifi
21,15,News & Magazines,«°«Î«·?  («¨«ó«¿«á?«¹«Ý?«Ä«Ë«å?«¹ªâÙíÖù),Gunosy Inc.,0,,2020-06-24,15502,https://play.google.com/store/apps/details?id=com.gunosy.android
