Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
JP,FREE,AND,2020,5,M,1,-,,Business,ZOOM Cloud Meetings,zoom.us,0.0,,2020-06-17,320000,https://play.google.com/store/apps/details?id=us.zoom.videomeetings
JP,FREE,AND,2020,5,M,2,+1,,Social,Instagram,Instagram,0.0,￥110～￥540/アイテム,2020-06-23,122808,https://play.google.com/store/apps/details?id=com.instagram.android
JP,FREE,AND,2020,5,M,3,+84,,Tools,マイナポータルAP,内閣府番号制度担当室,0.0,,2020-05-27,96853,https://play.google.com/store/apps/details?id=jp.go.cas.mpa
JP,FREE,AND,2020,5,M,4,-2,,News & Magazines,スマートニュース - 無料でニュースや天気・エンタメ・クーポン情報をお届け,"SmartNews, Inc.",0.0,,2020-06-24,80281,https://play.google.com/store/apps/details?id=jp.gocro.smartnews.android
JP,FREE,AND,2020,5,M,5,-1,,Communication,LINE（ライン） - 無料通話・メールアプリ,LINE Corporation,0.0,"￥108～￥17,000/アイテム",2020-06-18,51136,https://play.google.com/store/apps/details?id=jp.naver.line.android
JP,FREE,AND,2020,5,M,6,-1,,Entertainment,Amazonプライム・ビデオ,Amazon Mobile LLC,0.0,"￥110～￥3,900/アイテム",2020-06-26,41440,https://play.google.com/store/apps/details?id=com.amazon.avod.thirdpartyclient
JP,FREE,AND,2020,5,M,7,+12,,Video Players & Editors,TikTok,TikTok Pte. Ltd.,0.0,"￥110～￥11,600/アイテム",2020-06-28,40848,https://play.google.com/store/apps/details?id=com.ss.android.ugc.trill
JP,FREE,AND,2020,5,M,8,+4,,Entertainment,BuzzVideo（バズビデオ）-無料動画アプリでお楽しみください！,BuzzVideo,0.0,,2020-06-25,34942,https://play.google.com/store/apps/details?id=com.ss.android.article.topbuzzvideo
JP,FREE,AND,2020,5,M,9,+7,,News & Magazines,Twitter,"Twitter, Inc.",0.0,,2020-06-23,32262,https://play.google.com/store/apps/details?id=com.twitter.android
JP,FREE,AND,2020,5,M,10,-1,,Finance,PayPay-ペイペイ(キャッシュレスでスマートにお支払い),PayPay Corporation,0.0,,2020-06-26,25613,https://play.google.com/store/apps/details?id=jp.ne.paypay.android.app
JP,FREE,AND,2020,5,M,11,-5,,News & Magazines,dmenuニュース　無料で読めるドコモが提供する安心信頼のニュースアプリ,NTT DOCOMO,0.0,,2020-06-16,23500,https://play.google.com/store/apps/details?id=com.nttdocomo.android.dmenunews
JP,FREE,AND,2020,5,M,12,+31,,Productivity,スマホ同期管理アプリ - Windows にリンク,Microsoft Corporation,0.0,,2020-06-25,22720,https://play.google.com/store/apps/details?id=com.microsoft.appmanager
JP,FREE,AND,2020,5,M,13,+4,,Shopping,Amazon ショッピングアプリ,Amazon Mobile LLC,0.0,,2020-06-18,22083,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping
JP,FREE,AND,2020,5,M,14,+9,,Music & Audio,Spotify: 音楽のストリーミング。新しいアーティスト、プレイリスト、ポッドキャストを発見。,Spotify Ltd.,0.0,,2020-06-26,21502,https://play.google.com/store/apps/details?id=com.spotify.music
JP,FREE,AND,2020,5,M,15,new,,Entertainment,Akinator,Elokence,0.0,￥100～￥850/アイテム,2020-06-25,20179,https://play.google.com/store/apps/details?id=com.digidust.elokence.akinator.freemium
JP,FREE,AND,2020,5,M,16,-6,,Auto & Vehicles,Android Auto - マップ、メディア、メッセージ、音声操作,Google LLC,0.0,,2020-06-18,20057,https://play.google.com/store/apps/details?id=com.google.android.projection.gearhead
JP,FREE,AND,2020,5,M,17,-4,,Food & Drink,Uber Eats: 地元で人気の料理をお届け,"Uber Technologies, Inc.",0.0,,2020-06-23,18602,https://play.google.com/store/apps/details?id=com.ubercab.eats
JP,FREE,AND,2020,5,M,18,+50,,Business,Google Meet,Google LLC,0.0,,2020-06-26,18375,https://play.google.com/store/apps/details?id=com.google.android.apps.meetings
JP,FREE,AND,2020,5,M,19,-5,,Video Players & Editors,ABEMA(アベマ),"AbemaTV, Inc.",0.0,"￥100～￥48,000/アイテム",2020-06-25,18139,https://play.google.com/store/apps/details?id=tv.abema
JP,FREE,AND,2020,5,M,20,-5,,Tools,無料・QRコードリーダー、バーコードリーダー,1MB,0.0,,2020-06-26,18085,https://play.google.com/store/apps/details?id=com.kitkats.qrscanner
JP,FREE,AND,2020,5,M,21,-1,,Music & Audio,Pokekara－本格採点カラオケアプリ,M&E Mobile Technology Limited,0.0,"￥120～￥12,000/アイテム",2020-06-24,16944,https://play.google.com/store/apps/details?id=com.maetimes.android.pokekara
JP,FREE,AND,2020,5,M,22,+30,,Lifestyle,Tポイント,"Culture Convenience Club Co.,Ltd.",0.0,,2020-05-14,15853,https://play.google.com/store/apps/details?id=jp.co.ccc.Tsite
JP,FREE,AND,2020,5,M,23,+1,,Shopping,メルカリ(メルペイ)-フリマアプリ&スマホ決済,"Mercari, Inc.",0.0,,2020-06-23,15335,https://play.google.com/store/apps/details?id=com.kouzoh.mercari
JP,FREE,AND,2020,5,M,24,-6,,Shopping,楽天市場 ショッピングアプリ,"Rakuten,Inc.",0.0,,2020-06-01,15239,https://play.google.com/store/apps/details?id=jp.co.rakuten.android
JP,FREE,AND,2020,5,M,25,+5,,Music & Audio,Amazon Music: 音楽ストリーミングアプリ - 人気の楽曲が聴き放題,Amazon Mobile LLC,0.0,,2020-06-25,14603,https://play.google.com/store/apps/details?id=com.amazon.mp3
JP,FREE,AND,2020,5,M,26,-1,,Entertainment,Google Play ゲーム,Google LLC,0.0,,2020-05-26,13684,https://play.google.com/store/apps/details?id=com.google.android.play.games
JP,FREE,AND,2020,5,M,27,+11,,Communication,Brave ブラウザ：安全とプライバシーに配慮した、高速ブラウジングと検索,Brave Software,0.0,,2020-06-26,12981,https://play.google.com/store/apps/details?id=com.brave.browser
JP,FREE,AND,2020,5,M,28,new,,Photography,Adobe Lightroom - 写真加工・編集アプリのライトルーム,Adobe,0.0,"￥220～￥6,500/アイテム",2020-06-15,12725,https://play.google.com/store/apps/details?id=com.adobe.lrmobile
JP,FREE,AND,2020,5,M,29,+27,,Education,Google Classroom,Google LLC,0.0,,2020-06-10,12540,https://play.google.com/store/apps/details?id=com.google.android.apps.classroom
JP,FREE,AND,2020,5,M,30,new,,Travel & Local,Tokyo Disney Resort App,"Oriental Land Co.,Ltd.",0.0,,2020-03-24,12456,https://play.google.com/store/apps/details?id=jp.tokyodisneyresort.portalapp
JP,FREE,AND,2020,5,M,31,+5,,Comics,ピッコマ - 人気マンガが待てば無料の漫画アプリ,Kakao Japan Corp.,0.0,"￥100～￥48,000/アイテム",2020-04-09,11640,https://play.google.com/store/apps/details?id=jp.kakao.piccoma
JP,FREE,AND,2020,5,M,32,+14,,Comics,LINEマンガ - 無料で読める漫画がいっぱい！【漫画 無料】,LINE Corporation,0.0,"￥100～￥30,400/アイテム",2020-06-02,11320,https://play.google.com/store/apps/details?id=jp.naver.linemanga.android
JP,FREE,AND,2020,5,M,33,+7,,Food & Drink,クラシル - 料理をレシピ動画で簡単に,"dely, Inc.",0.0,"￥100～￥4,800/アイテム",2020-06-25,11011,https://play.google.com/store/apps/details?id=com.kurashiru
JP,FREE,AND,2020,5,M,34,-2,,Music & Audio,YouTube Music - 公式楽曲から最新 MV まで楽しめる音楽アプリ,Google LLC,0.0,,2020-06-26,10998,https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.music
JP,FREE,AND,2020,5,M,35,-2,,Entertainment,TVer（ティーバー）- 民放公式テレビポータル - 無料で動画見放題,PRESENTCAST INC.,0.0,,2020-05-28,10328,https://play.google.com/store/apps/details?id=jp.hamitv.hamiand1
JP,FREE,AND,2020,5,M,36,-7,,Shopping,ｄポイントクラブ,NTT DOCOMO,0.0,,2020-06-16,9909,https://play.google.com/store/apps/details?id=com.nttdocomo.android.dpoint
JP,FREE,AND,2020,5,M,37,+17,,Entertainment,Netflix,"Netflix, Inc.",0.0,"￥700～￥1,550/アイテム",2020-06-25,8357,https://play.google.com/store/apps/details?id=com.netflix.mediaclient
JP,FREE,AND,2020,5,M,38,-12,,Entertainment,ゲオ　クーポンが貰える！ゲーム予約もできる！,株式会社 ゲオ,0.0,,2020-06-26,8357,https://play.google.com/store/apps/details?id=jp.co.geoonline.app
JP,FREE,AND,2020,5,M,39,+16,,Books & Reference,Kindle電子書籍リーダー:人気小説や無料漫画、雑誌も多数,Amazon Mobile LLC,0.0,,2020-06-07,7816,https://play.google.com/store/apps/details?id=com.amazon.kindle
JP,FREE,AND,2020,5,M,40,-3,,Business,Microsoft Teams,Microsoft Corporation,0.0,,2020-06-25,7445,https://play.google.com/store/apps/details?id=com.microsoft.teams
JP,FREE,AND,2020,5,M,41,+3,,Food & Drink,マクドナルド,日本マクドナルド株式会社,0.0,,2020-06-23,6890,https://play.google.com/store/apps/details?id=jp.co.mcdonalds.android
JP,FREE,AND,2020,5,M,42,+59,,Food & Drink,出前館,"DEMAE-CAN CO.,LTD",0.0,,2020-06-15,6474,https://play.google.com/store/apps/details?id=com.demaecan.androidapp
JP,FREE,AND,2020,5,M,43,+6,,Video Players & Editors,radiko for Android,株式会社radiko,0.0,,2020-06-15,6403,https://play.google.com/store/apps/details?id=jp.radiko.Player
JP,FREE,AND,2020,5,M,44,-5,,Entertainment,Hulu / フールー,HJ Holdings,0.0,,2020-06-23,6138,https://play.google.com/store/apps/details?id=jp.happyon.android
JP,FREE,AND,2020,5,M,45,-14,,Communication,Skype - 無料のチャットとビデオ通話,Skype,0.0,,2020-06-18,6099,https://play.google.com/store/apps/details?id=com.skype.raider
JP,FREE,AND,2020,5,M,46,-12,,Comics,マンガBANG！人気漫画が毎日読めるマンガアプリ,"Amazia,inc.",0.0,"￥300～￥9,800/アイテム",2020-06-25,5905,https://play.google.com/store/apps/details?id=com.mangabang
JP,FREE,AND,2020,5,M,47,-6,,Tools,AndroidシステムのWebView,Google LLC,0.0,,2020-06-17,5686,https://play.google.com/store/apps/details?id=com.google.android.webview
JP,FREE,AND,2020,5,M,48,+54,,Finance,au PAY(旧 au WALLET),KDDI株式会社,0.0,,2020-06-29,5535,https://play.google.com/store/apps/details?id=jp.auone.wallet
JP,FREE,AND,2020,5,M,49,+32,,Shopping,Wish - 電化製品、ファッション、化粧品、靴などが90%OFF,Wish Inc.,0.0,,2020-06-24,5197,https://play.google.com/store/apps/details?id=com.contextlogic.wish
JP,FREE,AND,2020,5,M,50,new,,Shopping,Yahoo!ショッピング-アプリでお得で便利にお買い物,Yahoo Japan Corp.,0.0,,2020-06-24,5163,https://play.google.com/store/apps/details?id=jp.co.yahoo.android.yshopping
JP,FREE,AND,2020,5,M,51,-43,,Tools,Google レンズ,Google LLC,0.0,,2020-05-14,5153,https://play.google.com/store/apps/details?id=com.google.ar.lens
JP,FREE,AND,2020,5,M,52,+7,,Lifestyle,ジョーシンアプリ,Joshin,0.0,,2020-02-07,5062,https://play.google.com/store/apps/details?id=jp.co.joshin.Joshin
JP,FREE,AND,2020,5,M,53,-26,,Finance,d払い－スマホ決済アプリ、キャッシュレスでお支払い,NTT DOCOMO,0.0,,2020-05-29,4409,https://play.google.com/store/apps/details?id=com.nttdocomo.keitai.payment
JP,FREE,AND,2020,5,M,54,+18,,Tools,スピードクリーナー,SKU APP LAB,0.0,,2020-05-08,4327,https://play.google.com/store/apps/details?id=phonememoryfilecpu.cleantool.speedphone
JP,FREE,AND,2020,5,M,55,+11,,Lifestyle,イオンの子育て応援アプリ - キッズリパブリック,"AEON RETAIL CO., LTD.",0.0,,2020-05-20,4327,https://play.google.com/store/apps/details?id=jp.aeonretail.aeon.kidsrepublic
JP,FREE,AND,2020,5,M,56,new,,Tools,"Amber Clean- Notification Cleaner, App Manager",Ophelia Amber Louise,0.0,,2020-05-27,4164,https://play.google.com/store/apps/details?id=com.ambercleaner.batterysaver.phonebooster.junkcleaner.coolermaster.cacheclean.speedupandroid
JP,FREE,AND,2020,5,M,57,new,,Productivity,Adobe Acrobat Reader: PDF の閲覧・作成・編集,Adobe,0.0,"￥202～￥10,625/アイテム",2020-06-25,3854,https://play.google.com/store/apps/details?id=com.adobe.reader
JP,FREE,AND,2020,5,M,58,new,,Entertainment,無料スタンプ・ぱん太,peso.apps.pub.arts,0.0,,2020-06-26,3810,https://play.google.com/store/apps/details?id=org.artsplanet.android.ayacanstamp
JP,FREE,AND,2020,5,M,59,+12,,Entertainment,U-NEXT／ユーネクスト：映画、ドラマ、アニメなどが見放題,U-NEXT,0.0,,2020-06-23,3704,https://play.google.com/store/apps/details?id=jp.unext.mediaplayer
JP,FREE,AND,2020,5,M,60,new,,Productivity,All Cleaner - 完全無料の、最新の、最高のスマホクリーナーアプリ,TISHA EVERETT,0.0,,2020-06-08,3675,https://play.google.com/store/apps/details?id=com.allcleaner.boostercpucooler.litetool.clearcache.junkfiles.phonemaster.bestcleanapp
JP,FREE,AND,2020,5,M,61,+14,,Shopping,ラクマ（旧フリル） - 楽天のフリマアプリ,"Rakuten,Inc.",0.0,,2020-06-01,3671,https://play.google.com/store/apps/details?id=jp.co.fablic.fril
JP,FREE,AND,2020,5,M,62,new,,Comics,マンガPark - 人気マンガが毎日更新 全巻読み放題の漫画アプリ,白泉社,0.0,"￥110～￥10,000/アイテム",2020-06-05,3641,https://play.google.com/store/apps/details?id=jp.co.hakusensha.mangapark
JP,FREE,AND,2020,5,M,63,new,,Personalization,Deep Cleaner - 最適化の、最も人気のある100％無料の携帯電話クリーナー,David Aboagye,0.0,,2020-06-02,3295,https://play.google.com/store/apps/details?id=com.deepcleaner.deepclean.boostspeed.coolcpu.savebattery.bestcleaner.bestbooster.bestcooler.bestbatterysaver
JP,FREE,AND,2020,5,M,64,-43,,Entertainment,NHKプラス,NHK (JAPAN BROADCASTING CORP.),0.0,,2020-06-04,3194,https://play.google.com/store/apps/details?id=jp.nhk.plus
JP,FREE,AND,2020,5,M,65,-,,Lifestyle,UNIQLOアプリ - ユニクロアプリ,"UNIQLO CO., LTD.",0.0,,2020-05-12,2909,https://play.google.com/store/apps/details?id=com.uniqlo.ja.catalogue
JP,FREE,AND,2020,5,M,66,+1,,Tools,Simeji - 日本語文字入力＆きせかえ・顔文字キーボード,バイドゥ株式会社,0.0,"￥99～￥2,400/アイテム",2020-06-19,2649,https://play.google.com/store/apps/details?id=com.adamrocker.android.input.simeji
JP,FREE,AND,2020,5,M,67,-5,,Entertainment,GYAO! - 無料動画アプリ,Yahoo Japan Corp.,0.0,,2020-06-24,2627,https://play.google.com/store/apps/details?id=jp.co.yahoo.gyao.android.app
JP,FREE,AND,2020,5,M,68,new,,Food & Drink,DELISH KITCHEN - 無料レシピ動画で料理を楽しく・簡単に,"every, Inc.",0.0,"￥480～￥1,280/アイテム",2020-06-26,2304,https://play.google.com/store/apps/details?id=tv.every.delishkitchen
JP,FREE,AND,2020,5,M,69,-21,,Tools,Digital Wellbeing,Google LLC,0.0,,2020-06-01,2130,https://play.google.com/store/apps/details?id=com.google.android.apps.wellbeing
JP,FREE,AND,2020,5,M,70,new,,Health & Fitness,FiNC/フィンク ダイエット&ヘルスケアアプリ - 体重/食事/歩数/生理/睡眠をまとめて管理！,FiNC開発,0.0,"￥440～￥14,800/アイテム",2020-06-22,2102,https://play.google.com/store/apps/details?id=jp.co.fincapp
