"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+6","Video Players & Editors","TikTok","TikTok Pte. Ltd.","0.0","￥110～￥11,600/アイテム","2020-06-28","150113","https://play.google.com/store/apps/details?id=com.ss.android.ugc.trill"
"2","new","Medical","COCOA - 新型コロナウイルス接触確認アプリ","厚生労働省健康局","0.0","","2020-06-30","120000","https://play.google.com/store/apps/details?id=jp.go.mhlw.covid19radar"
"3","-2","Business","ZOOM Cloud Meetings","zoom.us","0.0","","2020-07-01","104201","https://play.google.com/store/apps/details?id=us.zoom.videomeetings"
"4","+143","News & Magazines","auサービスTOP","KDDI株式会社","0.0","","2020-07-01","93130","https://play.google.com/store/apps/details?id=com.kddi.pass.launcher"
"5","-","Communication","LINE（ライン） - 無料通話・メールアプリ","LINE Corporation","0.0","￥108～￥17,000/アイテム","2020-07-02","81607","https://play.google.com/store/apps/details?id=jp.naver.line.android"
"6","-4","Social","Instagram","Instagram","0.0","￥110～￥540/アイテム","2020-06-30","63030","https://play.google.com/store/apps/details?id=com.instagram.android"
"7","-3","News & Magazines","スマートニュース - 無料でニュースや天気・エンタメ・クーポン情報をお届け","SmartNews, Inc.","0.0","","2020-06-29","60904","https://play.google.com/store/apps/details?id=jp.gocro.smartnews.android"
"8","+45","Finance","d払い－スマホ決済アプリ、キャッシュレスでお支払い","NTT DOCOMO","0.0","","2020-06-29","55974","https://play.google.com/store/apps/details?id=com.nttdocomo.keitai.payment"
"9","new","Photography","FaceApp","FaceApp Inc","0.0","￥199～￥5,990/アイテム","2020-06-20","52068","https://play.google.com/store/apps/details?id=io.faceapp"
"10","-1","News & Magazines","Twitter","Twitter, Inc.","0.0","","2020-06-30","37508","https://play.google.com/store/apps/details?id=com.twitter.android"
"11","-1","Finance","PayPay-ペイペイ(キャッシュレスでスマートにお支払い)","PayPay Corporation","0.0","","2020-07-01","32386","https://play.google.com/store/apps/details?id=jp.ne.paypay.android.app"
"12","-4","Entertainment","BuzzVideo（バズビデオ）-無料動画アプリでお楽しみください！","BuzzVideo","0.0","","2020-07-01","31970","https://play.google.com/store/apps/details?id=com.ss.android.article.topbuzzvideo"
"13","+50","Personalization","Deep Cleaner - 最適化の、最も人気のある100％無料の携帯電話クリーナー","David Aboagye","0.0","","2020-06-02","25809","https://play.google.com/store/apps/details?id=com.deepcleaner.deepclean.boostspeed.coolcpu.savebattery.bestcleaner.bestbooster.bestcooler.bestbatterysaver"
"14","+90","News & Magazines","Yahoo! JAPAN","Yahoo Japan Corp.","0.0","","2020-06-25","25135","https://play.google.com/store/apps/details?id=jp.co.yahoo.android.yjtop"
"15","+5","Tools","無料・QRコードリーダー、バーコードリーダー","1MB","0.0","","2020-07-05","24440","https://play.google.com/store/apps/details?id=com.kitkats.qrscanner"
"16","-3","Shopping","Amazon ショッピングアプリ","Amazon Mobile LLC","0.0","","2020-07-01","23993","https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping"
"17","+7","Shopping","楽天市場 ショッピングアプリ","Rakuten,Inc.","0.0","","2020-06-01","18060","https://play.google.com/store/apps/details?id=jp.co.rakuten.android"
"18","+17","Entertainment","TVer（ティーバー）- 民放公式テレビポータル - 無料で動画見放題","PRESENTCAST INC.","0.0","","2020-05-28","17959","https://play.google.com/store/apps/details?id=jp.hamitv.hamiand1"
"19","-5","Music & Audio","Spotify: 音楽のストリーミング。新しいアーティスト、プレイリスト、ポッドキャストを発見。","Spotify Ltd.","0.0","","2020-07-03","16983","https://play.google.com/store/apps/details?id=com.spotify.music"
