Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
JP,GROSS,AND,2019,8,M,1,-,,Role Playing,Fate/Grand Order,Aniplex Inc.,0.0,"￥120～￥10,000/アイテム",2020-07-09,272380,https://play.google.com/store/apps/details?id=com.aniplex.fategrandorder
JP,GROSS,AND,2019,8,M,2,-,,Action,モンスターストライク,"XFLAG, Inc.",0.0,"￥120～￥10,000/アイテム",2020-07-06,183331,https://play.google.com/store/apps/details?id=jp.co.mixi.monsterstrike
JP,GROSS,AND,2019,8,M,3,-,,Puzzle,パズル＆ドラゴンズ,GungHoOnlineEntertainment,0.0,"￥120～￥5,020/アイテム",2020-07-15,107061,https://play.google.com/store/apps/details?id=jp.gungho.pad
JP,GROSS,AND,2019,8,M,4,+2,,Role Playing,グランブルーファンタジー,mobage,0.0,"￥105～￥10,500/アイテム",2020-07-01,49812,https://play.google.com/store/apps/details?id=jp.mbga.a12016007.lite
JP,GROSS,AND,2019,8,M,5,+3,,Adventure,Pokémon GO,"Niantic, Inc.",0.0,"￥120～￥12,000/アイテム",2020-07-10,48847,https://play.google.com/store/apps/details?id=com.nianticlabs.pokemongo
JP,GROSS,AND,2019,8,M,6,+9,,Sports,実況パワフルプロ野球,KONAMI,0.0,"￥100～￥12,000/アイテム",2020-06-23,42994,https://play.google.com/store/apps/details?id=jp.konami.pawapuroapp
JP,GROSS,AND,2019,8,M,7,+3,,Puzzle,LINE：ディズニー ツムツム,LINE Corporation,0.0,"￥250～￥11,000/アイテム",2020-07-03,38931,https://play.google.com/store/apps/details?id=com.linecorp.LGTMTM
JP,GROSS,AND,2019,8,M,8,+15,,Adventure,荒野行動-スマホ版バトロワ,NetEase Games,0.0,"￥99～￥11,300/アイテム",2020-05-27,37255,https://play.google.com/store/apps/details?id=com.netease.ko
JP,GROSS,AND,2019,8,M,9,+2,,Role Playing,ロマンシング サガ リ･ユニバース,"SQUARE ENIX Co.,Ltd.",0.0,"￥120～￥10,000/アイテム",2020-07-17,34237,https://play.google.com/store/apps/details?id=com.square_enix.android_googleplay.RSRS
JP,GROSS,AND,2019,8,M,10,+7,,Role Playing,白猫プロジェクト,"COLOPL, Inc.",0.0,"￥120～￥10,000/アイテム",2020-07-08,30697,https://play.google.com/store/apps/details?id=jp.colopl.wcat
JP,GROSS,AND,2019,8,M,11,-4,,Comics,LINEマンガ - 人気マンガ・無料マンガ・新作漫画も読める漫画アプリ 無料,LINE Corporation,0.0,"￥100～￥30,400/アイテム",2020-07-02,29213,https://play.google.com/store/apps/details?id=jp.naver.linemanga.android
JP,GROSS,AND,2019,8,M,12,-7,,Role Playing,プリンセスコネクト！Re:Dive,"Cygames, Inc.",0.0,"￥120～￥10,000/アイテム",2020-06-09,24853,https://play.google.com/store/apps/details?id=jp.co.cygames.princessconnectredive
JP,GROSS,AND,2019,8,M,13,+1,,Sports,プロ野球スピリッツA,KONAMI,0.0,"￥120～￥10,000/アイテム",2020-07-15,24725,https://play.google.com/store/apps/details?id=jp.konami.prospia
JP,GROSS,AND,2019,8,M,14,-2,,Communication,LINE（ライン） - 無料通話・メールアプリ,LINE Corporation,0.0,"￥108～￥17,000/アイテム",2020-07-16,24648,https://play.google.com/store/apps/details?id=jp.naver.line.android
JP,GROSS,AND,2019,8,M,15,+1,,Puzzle,LINE ポコポコ - うさぎのポコタとクローバーやチェリーを集めろ！ダンジョンでも遊べる無料パズル,LINE Corporation,0.0,"￥120～￥10,000/アイテム",2020-07-08,23230,https://play.google.com/store/apps/details?id=com.linecorp.LGPKPK
JP,GROSS,AND,2019,8,M,16,+2,,Role Playing,放置少女 〜百花繚乱の萌姫たち,C4games,0.0,"￥120～￥12,000/アイテム",2020-07-03,23184,https://play.google.com/store/apps/details?id=jp.glee.girl
JP,GROSS,AND,2019,8,M,17,+2,,Strategy,マフィア・シティ-極道風雲,YottaGames,0.0,"￥99～￥12,000/アイテム",2020-07-14,21217,https://play.google.com/store/apps/details?id=com.yottagames.mafiawar
JP,GROSS,AND,2019,8,M,18,+10,,Role Playing,星のドラゴンクエスト,"SQUARE ENIX Co.,Ltd.",0.0,"￥120～￥10,000/アイテム",2020-07-07,19053,https://play.google.com/store/apps/details?id=com.square_enix.hoshinodqjp
JP,GROSS,AND,2019,8,M,19,+8,,Simulation,ファイアーエムブレム  ヒーローズ,"Nintendo Co., Ltd.",0.0,"￥250～￥9,000/アイテム",2020-06-30,18031,https://play.google.com/store/apps/details?id=com.nintendo.zaba
JP,GROSS,AND,2019,8,M,20,-7,,Role Playing,七つの大罪 光と闇の交戦 : グラクロ,Netmarble,0.0,"￥120～￥10,000/アイテム",2020-07-15,16987,https://play.google.com/store/apps/details?id=com.netmarble.nanatsunotaizai
JP,GROSS,AND,2019,8,M,21,-12,,Music,アイドルマスター シンデレラガールズ スターライトステージ,BANDAI NAMCO Entertainment Inc.,0.0,"￥120～￥10,000/アイテム",2020-07-21,16950,https://play.google.com/store/apps/details?id=jp.co.bandainamcoent.BNEI0242
