Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
JP,PAID,AND,2020,1,M,1,+1,,Music & Audio,Poweramp Full Version Unlocker,Max MP,¥558,,2020-01-20,190600,https://play.google.com/store/apps/details?id=com.maxmpz.audioplayer.unlock
JP,PAID,AND,2020,1,M,2,+1,,Video Players & Editors,Video & TV SideViewプレーヤープラグイン,Sony Home Entertainment & Sound Products Inc.,¥500,,2019-04-08,183174,https://play.google.com/store/apps/details?id=com.sony.tvsideview.dtcpplayer
JP,PAID,AND,2020,1,M,3,-2,,Personalization,Nova Launcher Prime,TeslaCoil Software,¥600,,2019-01-18,83255,https://play.google.com/store/apps/details?id=com.teslacoilsw.launcher.prime
JP,PAID,AND,2020,1,M,4,+56,,Social,twitcle plus,yoshika,¥350,,2020-05-07,73091,https://play.google.com/store/apps/details?id=jp.yoshika.twitcle.plus
JP,PAID,AND,2020,1,M,5,+13,,Productivity,ユニコーン:広告ブロック必須アプリ,"Unicorn Soft, Inc.",¥190,,2020-04-18,48774,https://play.google.com/store/apps/details?id=kr.co.lylstudio.unicorn
JP,PAID,AND,2020,1,M,6,new,,Education,有機化学 基本の反応機構 Organic Chemistry（日本語／英語版）,YOSHITAKA MATSUSHIMA,¥600,,2016-08-24,45225,https://play.google.com/store/apps/details?id=com.matsushima.organicchemistry
JP,PAID,AND,2020,1,M,7,+6,,Personalization,無音モード（標準カメラの無音化を実現）カメラミュート　スクショは手動無音化で対応,MICK TOOLS JAPAN,¥350,,2020-03-15,45043,https://play.google.com/store/apps/details?id=jp.sisyou.kumikashi.allmutemode
JP,PAID,AND,2020,1,M,8,+11,,Personalization,カメラ無音化MuteAll（標準カメラもビデオも自動無音化）,Hanamarusha,¥350,,2020-05-09,40797,https://play.google.com/store/apps/details?id=com.hanamarusha.muteall.pro
JP,PAID,AND,2020,1,M,9,+58,,Productivity,Plague Inc 伝染病株式会社：シナリオクリエイター,Ndemic Creations,¥430,,2019-05-14,38930,https://play.google.com/store/apps/details?id=com.ndemiccreations.scenariocreator
JP,PAID,AND,2020,1,M,10,-,,Tools,シンプル ギャラリー Pro,Simple Mobile Tools,¥99,,2020-06-18,37119,https://play.google.com/store/apps/details?id=com.simplemobiletools.gallery.pro
JP,PAID,AND,2020,1,M,11,new,,Photography,NEGAVIEW PRO,"HOLIDAY STUDIO, Inc.",¥370,,2019-12-28,34482,https://play.google.com/store/apps/details?id=jp.co.HolidayStudio.NegaView
