"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+62","Tools","DroidCamX Wireless Webcam Pro","Dev47Apps","￥500","","2020-05-20","178287","https://play.google.com/store/apps/details?id=com.dev47apps.droidcamx"
"2","-1","Photography","TouchRetouch","ADVA Soft","￥210","","2020-05-14","160719","https://play.google.com/store/apps/details?id=com.advasoft.touchretouch"
"3","+1","Video Players & Editors","Video & TV SideViewプレーヤープラグイン","Sony Home Entertainment & Sound Products Inc.","￥500","","2019-04-08","95035","https://play.google.com/store/apps/details?id=com.sony.tvsideview.dtcpplayer"
"4","-1","Photography","カメラ無音化Pro：サイレントシャッター、カメラをミュート","HDM Dev Team","￥350","","2020-03-23","94571","https://play.google.com/store/apps/details?id=jp.snowlife01.android.mutecamera"
"5","-3","Music & Audio","Poweramp Full Version Unlocker","Max MP","￥558","","2020-01-20","94396","https://play.google.com/store/apps/details?id=com.maxmpz.audioplayer.unlock"
"6","-1","Personalization","Nova Launcher Prime","TeslaCoil Software","￥600","","2019-01-18","61152","https://play.google.com/store/apps/details?id=com.teslacoilsw.launcher.prime"
"7","+5","Personalization","無音モード（標準カメラの無音化を実現）カメラミュート　スクショは手動無音化で対応","MICK TOOLS JAPAN","￥350","","2020-03-15","53331","https://play.google.com/store/apps/details?id=jp.sisyou.kumikashi.allmutemode"
"8","+1","Maps & Navigations","オービスガイド - 移動式オービス ネズミ捕り 検問 通過履歴","Pasoya Co., Ltd.","￥370","￥120/アイテム","2020-04-28","51898","https://play.google.com/store/apps/details?id=com.pasoya.orbis"
"9","+8","Tools","スマホ最適化Plus - ブースター、バッテリー節約、最適化","HDM Dev Team","￥350","","2020-06-14","34663","https://play.google.com/store/apps/details?id=jp.snowlife01.android.autooptimization"
"10","-2","Tools","シンプル ギャラリー Pro","Simple Mobile Tools","￥99","","2020-06-18","31714","https://play.google.com/store/apps/details?id=com.simplemobiletools.gallery.pro"
"11","-5","Productivity","簡単ボイスレコーダープロ","Digipom","￥399","","2020-05-21","31438","https://play.google.com/store/apps/details?id=com.digipom.easyvoicerecorder.pro"
"12","-5","Productivity","ユニコーン:広告ブロック必須アプリ","Unicorn Soft, Inc.","￥190","","2020-04-18","26542","https://play.google.com/store/apps/details?id=kr.co.lylstudio.unicorn"
"13","-3","Video Players & Editors","MX Player Pro","MX Media & Entertainment (formerly J2 Interactive)","￥680","","2020-06-09","25982","https://play.google.com/store/apps/details?id=com.mxtech.videoplayer.pro"
"14","-1","Tools","Tasker","joaomgcd","￥350","","2020-02-15","23560","https://play.google.com/store/apps/details?id=net.dinglisch.android.taskerm"
