"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Business","ZOOM Cloud Meetings","Zoom","0.0","","2020-06-18","320000","https://itunes.apple.com/JP/app/id546505307"
"2","+136","Utilities","マイナポータルAP","内閣府番号制度担当室","0.0","","2019-12-19","99196","https://itunes.apple.com/JP/app/id1476359069"
"3","+1","Finance","PayPay-ペイペイ(キャッシュレスでスマートにお支払い)","PayPay Corporation","0.0","","2018-10-05","63711","https://itunes.apple.com/JP/app/id1435783608"
"4","+13","Business","Google Meet","Google LLC","0.0","","2020-06-16","59069","https://itunes.apple.com/JP/app/id1013231476"
"5","-2","Entertainment","Amazon プライム・ビデオ","AMZN Mobile LLC","0.0","","2020-06-17","54064","https://itunes.apple.com/JP/app/id545519333"
"6","-4","Food & Drink","Uber Eats のお料理配達","Uber Technologies, Inc.","0.0","","2020-06-22","45832","https://itunes.apple.com/JP/app/id1058959277"
"7","+3","Education","Google Classroom","Google LLC","0.0","","2020-06-01","41509","https://itunes.apple.com/JP/app/id924620788"
"8","+3","Photo & Video","Instagram","Instagram, Inc.","0.0","","2020-06-22","38551","https://itunes.apple.com/JP/app/id389801252"
"9","+7","Music","Amazon Music","AMZN Mobile LLC","0.0","","2020-06-22","38357","https://itunes.apple.com/JP/app/id510855668"
"10","-5","Business","Microsoft Teams","Microsoft Corporation","0.0","","2020-06-23","38087","https://itunes.apple.com/JP/app/id1113153706"
"11","+9","Photo & Video","YouTube","Google LLC","0.0","","2020-06-23","32982","https://itunes.apple.com/JP/app/id544007664"
"12","-3","Productivity","Gmail - Eメール by Google","Google LLC","0.0","","2020-06-15","29998","https://itunes.apple.com/JP/app/id422689480"
"13","-7","Music","Pokekara - 採点カラオケアプリ","M&E Time Entertainment Co.,Ltd.","0.0","プレミアム会員（毎月自動更新） : ¥780 / プレミアム会員（三ヶ月自動更新） : ¥2,200 / プレミアム会員（毎年自動更新） : ¥7,500","2020-05-11","27019","https://itunes.apple.com/JP/app/id1435435090"
"14","+8","Entertainment","TikTok ティックトック","TikTok Pte. Ltd.","0.0","","2020-06-09","25099","https://itunes.apple.com/JP/app/id1235601864"
"15","+58","Utilities","Microsoft Edge","Microsoft Corporation","0.0","","2020-06-07","19545","https://itunes.apple.com/JP/app/id1288723196"
"16","-1","Entertainment","Netflix","Netflix, Inc.","0.0","","2020-06-23","18821","https://itunes.apple.com/JP/app/id363590051"
"17","new","Entertainment","Tokyo Disney Resort App","Oriental Land Co., Ltd.","0.0","ダウンロード写真　10枚 : ¥2,700 / ダウンロード写真　11枚 : ¥2,820 / ダウンロード写真　12枚 : ¥3,060","2020-05-21","18175","https://itunes.apple.com/JP/app/id1313147771"
"18","+39","Social Networking","LINE","LINE Corporation","0.0","","2020-06-22","17894","https://itunes.apple.com/JP/app/id443904275"
"19","-7","Shopping","楽天市場","Rakuten, Inc.","0.0","","2011-02-19","17086","https://itunes.apple.com/JP/app/id419267350"
"20","+8","Utilities","Google Chrome - ウェブブラウザ","Google LLC","0.0","","2020-05-28","16915","https://itunes.apple.com/JP/app/id535886823"
"21","+4","Entertainment","ABEMA(アベマ)","株式会社AbemaTV","0.0","","2020-06-30","16419","https://itunes.apple.com/JP/app/id1074866833"
"22","-15","Entertainment","ゲオ　クーポンが貰える！ゲーム予約もできる！","GEO CORPORATION","0.0","","2018-10-09","15926","https://itunes.apple.com/JP/app/id590190880"
"23","+35","Finance","ゆうちょ通帳アプリ","Japan Post Bank Co., Ltd.","0.0","","2020-02-25","14904","https://itunes.apple.com/JP/app/id1496925861"
"24","-11","Social Networking","BoxFresh 匿名質問アプリ - ボックスフレッシュ","App-CM Inc.","0.0","","2020-05-27","14290","https://itunes.apple.com/JP/app/id1417033792"
