Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
JP,GROSS,IOS,2019,4,M,1,-,,Card,Fate/Grand Order,Aniplex Inc.,0.0,"聖晶石 1個 : ¥120 / 聖晶石 5個 : ¥490 / 聖晶石 19個 : ¥1,480",2015-08-11,169364,https://itunes.apple.com/JP/app/id1015521325
JP,GROSS,IOS,2019,4,M,2,+2,,Puzzle,パズル＆ドラゴンズ,"GungHo Online Entertainment, Inc.",0.0,魔法石　1個 : ¥120 / 魔法石　6個 : ¥490 / 魔法石　12個 : ¥860,2012-02-19,121276,https://itunes.apple.com/JP/app/id493470467
JP,GROSS,IOS,2019,4,M,3,-1,,Action,モンスターストライク,"XFLAG, Inc.",0.0,"オーブ　1個 : ¥120 / オーブ　6個 : ¥610 / オーブ　12個 : ¥1,100",2013-09-26,99963,https://itunes.apple.com/JP/app/id658511662
JP,GROSS,IOS,2019,4,M,4,-1,,Adventure,荒野行動-スマホ版バトロワ,NetEase Games,0.0,,2017-11-14,83642,https://itunes.apple.com/JP/app/id1312031248
JP,GROSS,IOS,2019,4,M,5,-,,Simulation,グランブルーファンタジー,"Cygames, Inc.",0.0,"グラブルコイン : ¥120 / グラブルコイン : ¥730 / グラブルコイン : ¥1,480",2014-05-01,73597,https://itunes.apple.com/JP/app/id852882903
JP,GROSS,IOS,2019,4,M,6,+4,,Kids,Pokémon GO,"Niantic, Inc.",0.0,,2016-07-21,57206,https://itunes.apple.com/JP/app/id1094591345
JP,GROSS,IOS,2019,4,M,7,-,,Books,LINEマンガ,LINE Corporation,0.0,"600マンガコイン : ¥610 / 1,200マンガコイン : ¥1,220 / 2,450マンガコイン : ¥2,440",2013-04-08,50663,https://itunes.apple.com/JP/app/id597088068
JP,GROSS,IOS,2019,4,M,8,-2,,Action,ドラゴンボールZ ドッカンバトル,BANDAI NAMCO Entertainment Inc.,0.0,龍石 A : ¥120 / 龍石 B : ¥490 / 龍石 C : ¥860,2015-02-18,45472,https://itunes.apple.com/JP/app/id951627670
JP,GROSS,IOS,2019,4,M,9,+2,,Sportsgame,プロ野球スピリッツＡ,KONAMI,0.0,"２５エナジー : ¥490 / ５５エナジー : ¥980 / １4０エナジー : ¥2,200",2015-10-20,34630,https://itunes.apple.com/JP/app/id940320341
JP,GROSS,IOS,2019,4,M,10,+5,,Sportsgame,実況パワフルプロ野球,KONAMI,0.0,パワストーン１個 : ¥120 / パワストーン６個 : ¥490 / パワストーン１３個 : ¥980,2014-12-21,33933,https://itunes.apple.com/JP/app/id938506958
JP,GROSS,IOS,2019,4,M,11,+1,,Social Networking,LINE,LINE Corporation,0.0,,2011-06-20,28869,https://itunes.apple.com/JP/app/id443904275
JP,GROSS,IOS,2019,4,M,12,+2,,Card,戦国炎舞 -KIZNA- 【人気の本格戦国RPG】,Sumzap Inc.,0.0,120 SG : ¥120 / 360SG : ¥370 / 600SG : ¥610,2013-04-15,24977,https://itunes.apple.com/JP/app/id580399292
JP,GROSS,IOS,2019,4,M,13,+3,,Strategy,マフィア・シティ-極道風雲,YOTTA GAMES LIMITED,0.0,,2017-05-16,22854,https://itunes.apple.com/JP/app/id1235569398
JP,GROSS,IOS,2019,4,M,14,-1,,Puzzle,LINE：ディズニー ツムツム,LINE Corporation,0.0,"20ルビー : ¥250 / 65ルビー : ¥730 / 300ルビー : ¥2,940",2014-01-28,20591,https://itunes.apple.com/JP/app/id724594093
JP,GROSS,IOS,2019,4,M,15,+21,,Adventure,プリンセスコネクト！Re:Dive,"Cygames, Inc.",0.0,"ジュエル50個 : ¥120 / ジュエル320個 : ¥730 / ジュエル700個 : ¥1,480",2018-02-13,20132,https://itunes.apple.com/JP/app/id1134429300
JP,GROSS,IOS,2019,4,M,16,-8,,Role Playing,黒い砂漠 MOBILE,Pearl Abyss Corp.,0.0,,2019-02-23,20060,https://itunes.apple.com/JP/app/id1439175829
