"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","+1","Kids","パズル＆ドラゴンズ","GungHo Online Entertainment, Inc.","0.0","魔法石　1個 : ¥120 / 魔法石　6個 : ¥490 / 魔法石　12個 : ¥860","2012-02-19","215084","https://itunes.apple.com/JP/app/id493470467"
"2","+2","Adventure","荒野行動-スマホ版バトロワ","NetEase Games","0.0","","2017-11-14","140607","https://itunes.apple.com/JP/app/id1312031248"
"3","-","Action","モンスターストライク","XFLAG, Inc.","0.0","オーブ　1個 : ¥120 / オーブ　6個 : ¥610 / オーブ　12個 : ¥1,100","2013-09-26","128394","https://itunes.apple.com/JP/app/id658511662"
"4","+68","Adventure","ONE PIECE トレジャークルーズ","BANDAI NAMCO Entertainment Inc.","0.0","虹の宝石 A : ¥120 / 虹の宝石 B : ¥490 / 虹の宝石 C : ¥860","2014-05-11","101306","https://itunes.apple.com/JP/app/id824116884"
"5","+3","Action","ドラゴンボールZ ドッカンバトル","BANDAI NAMCO Entertainment Inc.","0.0","龍石 A : ¥120 / 龍石 B : ¥490 / 龍石 C : ¥860","2015-02-18","53339","https://itunes.apple.com/JP/app/id951627670"
"6","+1","Books","LINEマンガ","LINE Corporation","0.0","600マンガコイン : ¥610 / 1,200マンガコイン : ¥1,220 / 2,450マンガコイン : ¥2,440","2013-04-08","51446","https://itunes.apple.com/JP/app/id597088068"
"7","+13","Adventure","ロマンシング サガ リ･ユニバース","SQUARE ENIX","0.0","ジュエルC : ¥730 / ジュエルF : ¥5,020 / ジュエルB : ¥370","2018-12-04","40290","https://itunes.apple.com/JP/app/id1397702917"
"8","-3","Simulation","グランブルーファンタジー","Cygames, Inc.","0.0","グラブルコイン : ¥120 / グラブルコイン : ¥730 / グラブルコイン : ¥1,480","2014-05-01","38649","https://itunes.apple.com/JP/app/id852882903"
"9","-8","Card","Fate/Grand Order","Aniplex Inc.","0.0","聖晶石 1個 : ¥120 / 聖晶石 5個 : ¥490 / 聖晶石 19個 : ¥1,480","2015-08-11","38283","https://itunes.apple.com/JP/app/id1015521325"
"10","+1","Social Networking","LINE","LINE Corporation","0.0","","2011-06-20","36369","https://itunes.apple.com/JP/app/id443904275"
"11","+21","Simulation","あんさんぶるスターズ！！Basic","Happy Elements K.K","0.0","ダイヤ25個 : ¥610 / ダイヤ125個 : ¥2,200 / ダイヤ5個 : ¥120","2015-05-01","33648","https://itunes.apple.com/JP/app/id963073142"
"12","+17","Card","遊戯王 デュエルリンクス","KONAMI","0.0","","2016-11-16","24498","https://itunes.apple.com/JP/app/id1068378177"
"13","-","Strategy","マフィア・シティ-極道風雲","YOTTA GAMES LIMITED","0.0","","2017-05-16","22198","https://itunes.apple.com/JP/app/id1235569398"
"14","-5","Sportsgame","プロ野球スピリッツＡ","KONAMI","0.0","２５エナジー : ¥490 / ５５エナジー : ¥980 / １4０エナジー : ¥2,200","2015-10-20","21380","https://itunes.apple.com/JP/app/id940320341"
"15","-1","Puzzle","LINE：ディズニー ツムツム","LINE Corporation","0.0","20ルビー : ¥250 / 65ルビー : ¥730 / 300ルビー : ¥2,940","2014-01-28","20420","https://itunes.apple.com/JP/app/id724594093"
"16","+2","Books","ピッコマ","Kakao Japan Corp.","0.0","","2016-04-19","20088","https://itunes.apple.com/JP/app/id1091496983"
