"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Adventure","Minecraft","Mojang","¥860","","2011-11-17","327916","https://itunes.apple.com/JP/app/id479516143"
"2","new","Role Playing","エバーテイル","ZigZaGame Inc.","0","","2019-03-21","224792","https://itunes.apple.com/JP/app/id1263365153"
"3","-1","Utilities","280blocker : コンテンツブロッカー280","Yoko Yamamoto","¥500","","2016-01-08","137590","https://itunes.apple.com/JP/app/id1071235820"
"4","-1","Kids","クロノ・トリガー （アップグレード版）","SQUARE ENIX","¥1,220","","2011-12-09","103914","https://itunes.apple.com/JP/app/id479428095"
"5","+2","Role Playing","ドラゴンクエストV 天空の花嫁","SQUARE ENIX","¥1,840","","2014-12-12","83174","https://itunes.apple.com/JP/app/id933111586"
"6","+2","Casino","SLOTバジリスク～甲賀忍法帖～絆","Universal Entertainment Corporation","¥1,100","セーブ機能 : ¥120 / ウェイトカット : ¥120 / 設定変更 : ¥250","2014-02-20","53106","https://itunes.apple.com/JP/app/id806064177"
"7","+6","Strategy","Plague Inc. -伝染病株式会社-","Ndemic Creations","¥120","","2012-05-25","47300","https://itunes.apple.com/JP/app/id525818839"
"8","+1","Casino","パチスロ モンスターハンター 月下雷鳴","CommSeed Corporation","¥250","モードスタートパック : ¥370 / 強制パック : ¥370 / お買い得パック : ¥610","2014-04-22","46796","https://itunes.apple.com/JP/app/id862880884"
"9","-3","Music","DEEMO","Rayark International Limited","¥250","","2013-11-12","46603","https://itunes.apple.com/JP/app/id700637744"
"10","+45","Casino","SLOTギルティクラウン","Universal Entertainment Corporation","¥980","セーブ機能 : ¥120 / ウェイトカット : ¥120 / 設定変更 : ¥370","2018-09-06","40076","https://itunes.apple.com/JP/app/id1393887247"
"11","new","Sportsgame","バスケクラブ物語","Kairosoft Co.,Ltd","¥730","","2019-07-19","38749","https://itunes.apple.com/JP/app/id1471323296"
"12","+16","Role Playing","MONSTER HUNTER PORTABLE 2nd G for iOS","CAPCOM","¥1,600","","2014-05-08","35822","https://itunes.apple.com/JP/app/id639457826"
"13","+1","Action","Getting Over It","Bennett Foddy","¥610","","2017-12-06","32576","https://itunes.apple.com/JP/app/id1319618742"
"14","+136","Adventure","Pocket Build","MoonBear LTD","¥120","","2017-10-31","30570","https://itunes.apple.com/JP/app/id1293681293"
"15","-","Role Playing","ドラゴンクエストVI 幻の大地","SQUARE ENIX","¥1,840","","2015-06-11","29359","https://itunes.apple.com/JP/app/id949737947"
"16","+50","Music","Muse Dash","X.D. Network Inc.","¥370","","2018-06-14","29062","https://itunes.apple.com/JP/app/id1361473095"
"17","+10","Role Playing","ドラゴンクエストモンスターズ　テリーのワンダーランドSP","SQUARE ENIX","¥2,440","","2018-11-06","28344","https://itunes.apple.com/JP/app/id1372670435"
"18","-2","Card","ダンジョンメーカー","GameCoaster","¥610","","2018-05-19","25605","https://itunes.apple.com/JP/app/id1359652100"
"19","+197","Education","Handy Art Reference Tool","Belief Engine","¥250","","2011-11-10","23918","https://itunes.apple.com/JP/app/id478643661"
"20","new","Role Playing","ダンジョン姫","MYEONG HWAN OH","¥120","","2018-09-14","23396","https://itunes.apple.com/JP/app/id1435128948"
"21","-11","Strategy","ゲーム発展国＋＋","Kairosoft Co.,Ltd","¥730","","2010-07-11","21877","https://itunes.apple.com/JP/app/id381477230"
"22","+1","Role Playing","ドラゴンクエストIV 導かれし者たち","SQUARE ENIX","¥1,840","","2014-04-17","21713","https://itunes.apple.com/JP/app/id793749059"
"23","+3","Photo & Video","TouchRetouch","ADVA Soft GmbH","¥250","","2010-06-08","21616","https://itunes.apple.com/JP/app/id373311252"
"24","-20","Photo & Video","FILCA - SLR Film Camera","Cheol Kim","¥490","","2018-09-22","20787","https://itunes.apple.com/JP/app/id1436429074"
"25","-20","Casino","パチスロ ガールズ＆パンツァー","CommSeed Corporation","¥250","","2016-09-10","19706","https://itunes.apple.com/JP/app/id1146713881"
"26","-5","Role Playing","ドラゴンクエストVIII 空と海と大地と呪われし姫君","SQUARE ENIX","¥1,840","","2013-12-12","19686","https://itunes.apple.com/JP/app/id730263398"
"27","-2","Education","Real英会話","LT Box Co., Ltd.","¥980","","2010-05-26","19170","https://itunes.apple.com/JP/app/id373563219"
"28","+73","Utilities","iSafe Pro","Fanship","¥120","","2010-12-14","18314","https://itunes.apple.com/JP/app/id402012828"
"29","-","Casino","SLOT魔法少女まどかマギカ2","Universal Entertainment Corporation","¥980","セーブ機能 : ¥120 / ウェイトカット : ¥120 / 設定変更 : ¥370","2016-10-13","17832","https://itunes.apple.com/JP/app/id1140366829"
"30","+43","Role Playing","Stardew Valley 「スターデューバレー」","Chucklefish Limited","¥980","","2018-10-23","16986","https://itunes.apple.com/JP/app/id1406710800"
"31","-9","Casino","ミリオンゴッド－神々の凱旋－","Universal Entertainment Corporation","¥1,100","セーブ機能 : ¥120 / ウェイトカット : ¥120 / 設定変更 : ¥250","2015-05-14","16923","https://itunes.apple.com/JP/app/id943336534"
