Rank,Change,Category,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
1,-,Games,Minecraft,Mojang,$6.99,,2020-06-23,288378,https://itunes.apple.com/JP/app/id479516143
2,1,Strategy,«««×«»«ëªµ?ªÐªóªÈ,"Notes Co.,Ltd.",?730,,2019-12-19,115207,https://itunes.apple.com/JP/app/id1488897416
3,2,Games,Plague Inc. -?æøÜ»ñ»ãÒ?Þä-,Ndemic Creations,$0.99,,2020-02-26,92850,https://itunes.apple.com/JP/app/id525818839
4,46,Games,«¨«Ð?«Æ«¤«ë,ZigZaGame Inc.,£Ü500,,2020-06-01,65948,https://itunes.apple.com/JP/app/id1263365153
5,6,Action,«Ò«å?«Þ«ó «Õ«©?«ë «Õ«é«Ã«È,DMM GAMES LLC.,?610,,2020-05-14,64764,https://itunes.apple.com/JP/app/id1468034815
6,-2,Utilities,280blocker : «³«ó«Æ«ó«Ä«Ö«í«Ã««?280,Yoko Yamamoto,$3.99,,2020-06-09,62755,https://itunes.apple.com/JP/app/id1071235820
7,1,Role Playing,«É«é«´«ó«¯«¨«¹«ÈV ô¸ÍöªÎü£Êª,SQUARE ENIX,"?1,220",,2019-12-11,56402,https://itunes.apple.com/JP/app/id933111586
8,6,Healthcare & Fitness,AutoSleep WatchªòÞÅªÃªÆâ²Øùªòí»ÔÑªÇõÚîæª·ªÞª¹,Tantsissa,$3.99,,2020-05-28,38660,https://itunes.apple.com/JP/app/id1164801111
9,-7,Simulation,«â«ó«¹«¿?«Õ«¡?«à,"KOEI TECMO GAMES CO., LTD.","?1,960",õÚÊ¥«»?«Ö«Ç?«¿?No.3 : ?120 / õÚÊ¥«»?«Ö«Ç?«¿?No.5 : ?120 / õÚÊ¥«»?«Ö«Ç?«¿?No.7 : ?120,2020-04-26,33108,https://itunes.apple.com/JP/app/id1475043597
10,-1,Role Playing,«É«é«´«ó«¯«¨«¹«È«â«ó«¹«¿?«º«Æ«ê?ªÎ«ï«ó«À?«é«ó«ÉRETRO,SQUARE ENIX,"?1,480",,2019-11-06,32082,https://itunes.apple.com/JP/app/id1456714515
11,13,Role Playing,«É«é«´«ó«¯«¨«¹«ÈVI ü³ªÎÓÞò¢,SQUARE ENIX,"?1,840",,2019-12-20,29831,https://itunes.apple.com/JP/app/id949737947
12,-5,Role Playing,«¯«í«Î?«È«ê«¬? £¨«¢«Ã«×«°«ì?«É÷ú£©,SQUARE ENIX,"?1,220",,2019-10-02,29638,https://itunes.apple.com/JP/app/id479428095
13,15,Games,Getting Over It,Bennett Foddy,$4.99,,2018-09-19,28780,https://itunes.apple.com/JP/app/id1319618742
14,7,Games,DEEMO,Rayark International Limited,$1.99,,2020-05-13,25149,https://itunes.apple.com/JP/app/id700637744
15,16,Role Playing,«É«é«´«ó«¯«¨«¹«ÈVIII ÍöªÈú­ªÈÓÞò¢ªÈñ±ªïªìª·?ÏÖ,SQUARE ENIX,"?2,820",,2018-12-07,21130,https://itunes.apple.com/JP/app/id730263398
16,new,Games,The White Door / «Û«ï«¤«È«É«¢,Second Maze,$2.99,,2020-05-22,20936,https://itunes.apple.com/JP/app/id1472184189
