Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
JP,PAID,IOS,2020,5,M,1,-,,Adventure,Minecraft,Mojang,¥860,,2020-06-23,296944,https://itunes.apple.com/JP/app/id479516143
JP,PAID,IOS,2020,5,M,2,+3,,Puzzle,Tick Tock: A Tale for Two,Other Tales Interactive ApS,¥370,,2019-12-05,106735,https://itunes.apple.com/JP/app/id1357651989
JP,PAID,IOS,2020,5,M,3,-,,Role Playing,ドラゴンクエストV 天空の花嫁,SQUARE ENIX,"¥1,220",,2019-12-11,102003,https://itunes.apple.com/JP/app/id933111586
JP,PAID,IOS,2020,5,M,4,new,,Strategy,満月の夜,"Giant Network Technology Co., Ltd.",¥120,,2020-05-22,81106,https://itunes.apple.com/JP/app/id1278845241
JP,PAID,IOS,2020,5,M,5,+1,,Utilities,280blocker : コンテンツブロッカー280,Yoko Yamamoto,¥500,,2020-06-09,56055,https://itunes.apple.com/JP/app/id1071235820
JP,PAID,IOS,2020,5,M,6,new,,Casino,SLOTバジリスク～甲賀忍法帖～絆2,Universal Entertainment Corporation,"¥1,220",,2020-05-10,54477,https://itunes.apple.com/JP/app/id1498866345
JP,PAID,IOS,2020,5,M,7,new,,Arcade,ダンガンロンパ 希望の学園と絶望の高校生 Anniversa,"Spike-Chunsoft CO, LTD.","¥1,960",,2020-06-13,41716,https://itunes.apple.com/JP/app/id1502232038
JP,PAID,IOS,2020,5,M,8,+2,,Role Playing,ドラゴンクエストVI 幻の大地,SQUARE ENIX,"¥1,840",,2019-12-20,40776,https://itunes.apple.com/JP/app/id949737947
JP,PAID,IOS,2020,5,M,9,-,,Action,ヒューマン フォール フラット,DMM GAMES LLC.,¥610,,2020-05-14,39666,https://itunes.apple.com/JP/app/id1468034815
JP,PAID,IOS,2020,5,M,10,-6,,Adventure,FINAL FANTASY VII,SQUARE ENIX,"¥1,840",,2016-01-26,37789,https://itunes.apple.com/JP/app/id1021564440
JP,PAID,IOS,2020,5,M,11,+4,,Healthcare & Fitness,AutoSleep Watchを使って睡眠を自動で追跡します,Tantsissa,¥490,,2020-05-28,30306,https://itunes.apple.com/JP/app/id1164801111
JP,PAID,IOS,2020,5,M,12,+7,,Role Playing,ドラゴンクエストVII　エデンの戦士たち,SQUARE ENIX,"¥1,840",,2019-08-27,26713,https://itunes.apple.com/JP/app/id1034159412
JP,PAID,IOS,2020,5,M,13,+8,,Role Playing,ドラゴンクエストIV 導かれし者たち,SQUARE ENIX,"¥1,840",,2020-01-22,26086,https://itunes.apple.com/JP/app/id793749059
JP,PAID,IOS,2020,5,M,14,-12,,Strategy,Plague Inc. -伝染病株式会社-,Ndemic Creations,¥120,,2020-02-26,23638,https://itunes.apple.com/JP/app/id525818839
JP,PAID,IOS,2020,5,M,15,-8,,Photo & Video,TouchRetouch,Adva-Soft,¥250,,2020-02-19,23565,https://itunes.apple.com/JP/app/id373311252
JP,PAID,IOS,2020,5,M,16,+10,,Role Playing,クロノ・トリガー （アップグレード版）,SQUARE ENIX,"¥1,220",,2019-10-02,23247,https://itunes.apple.com/JP/app/id479428095
JP,PAID,IOS,2020,5,M,17,-9,,Role Playing,ドラゴンクエストVIII 空と海と大地と呪われし姫君,SQUARE ENIX,"¥2,820",,2018-12-07,22876,https://itunes.apple.com/JP/app/id730263398
JP,PAID,IOS,2020,5,M,18,-7,,Action,Getting Over It,Bennett Foddy,¥610,,2018-09-19,21085,https://itunes.apple.com/JP/app/id1319618742
