"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Education","漢字読み方 漢字検索 - 手書き漢字辞典","Flipout LLC","0.0","","2020-04-22","320000","https://play.google.com/store/apps/details?id=jp.flipout.dictionarykanjiyomi"
"2","-","Education","数学検索アプリ-クァンダ Qanda","Mathpresso","0.0","￥100～￥11,190/アイテム","2020-07-06","139077","https://play.google.com/store/apps/details?id=com.mathpresso.qanda"
"3","+1","Education","Duolingoで英語学習 - リスニングや会話をゲームのように楽しく学べる言語学習アプリ","Duolingo","0.0","￥110～￥13,200/アイテム","2020-07-20","97323","https://play.google.com/store/apps/details?id=com.duolingo"
"4","-1","Education","国語辞典・英和辞典 一発表示辞書 - 無料の国語・英和・和英辞典アプリ","StudySwitch, Inc.","0.0","","2020-05-07","87260","https://play.google.com/store/apps/details?id=jp.co.studyswitch.dictionaryippatsu"
"5","-","Education","鬼から電話　子育てシーンに役立つサポートアプリ","MEDIA ACTIVE.INC","0.0","￥100～￥1,220/アイテム","2020-06-29","65871","https://play.google.com/store/apps/details?id=com.oni.oni"
"6","-","Education","手書き漢字認識辞書","Dev CHOE","0.0","￥100/アイテム","2020-07-02","50539","https://play.google.com/store/apps/details?id=name.choe.hanjahandwritingrecog"
"7","+3","Education","知育アプリ無料 ごっこランド 子供ゲーム・幼児向けゲーム 無料","KidsStar Inc.","0.0","","2020-07-20","48899","https://play.google.com/store/apps/details?id=tv.kidsstar.app.PretendLand"
"8","-","Education","スタディサプリENGLISH - TOEIC®L&Rテスト対策 TOEIC®英語学習【スタサプ】","Recruit Co.,Ltd.","0.0","","2020-07-13","40680","https://play.google.com/store/apps/details?id=jp.studysapurienglish.toeic"
"9","+4","Education","漢字検定・漢検漢字トレーニング（無料版）","学校ネット株式会社","0.0","","2020-03-04","30929","https://play.google.com/store/apps/details?id=jp.co.gakkonet.quizninjakanken"
"10","-3","Education","英単語アプリ mikan - ゲーム感覚で英語の学習！入試やTOEICの対策も","mikan Co., Ltd.","0.0","￥220～￥18,000/アイテム","2020-05-08","30744","https://play.google.com/store/apps/details?id=link.mikan.mikanandroid"
"11","+72","Education","Cake (ケーク) - 無料英語アプリ","Playlist Corporation","0.0","","2020-07-21","29444","https://play.google.com/store/apps/details?id=me.mycake"
"12","+8","Education","小学生手書き漢字ドリル1026 - はんぷく学習シリーズ","学校ネット株式会社","0.0","","2019-08-27","25555","https://play.google.com/store/apps/details?id=jp.co.gakkonet.quizninjategakikanjidrill"
"13","+3","Education","アンパンマンの無料アプリ「うたって！おどって！アンパンマン」 子供向けのアプリ人気知育ゲーム","SMART EDUCATION, LTD.","0.0","￥540～￥4,400/アイテム","2020-06-15","22817","https://play.google.com/store/apps/details?id=jp.smarteducation.rhythmanpanman"
"14","-3","Education","Studyplus(スタディプラス) 勉強記録・学習管理アプリ","Studyplus Inc.｜学習アプリがDL無料！大学受験・TOEIC・資格試験の勉強が楽しく継続","0.0","￥600～￥4,800/アイテム","2020-07-20","21889","https://play.google.com/store/apps/details?id=jp.studyplus.android.app"
"15","-3","Education","読めないと恥ずかしい漢字","nullhouse","0.0","","2019-07-17","20913","https://play.google.com/store/apps/details?id=com.zmako.kanji"
"16","+12","Education","Toca Hair Salon 2 - Free!","Toca Boca","0.0","￥299/アイテム","2016-09-20","19437","https://play.google.com/store/apps/details?id=com.tocaboca.hairsalon2.iap"
"17","+1","Education","Ghost Call 鬼から電話DX","MEDIA ACTIVE.INC","0.0","￥120～￥250/アイテム","2020-07-14","18904","https://play.google.com/store/apps/details?id=jp.co.mediaactive.ghostcalldx"
"18","-9","Education","日常英会話表現　- ネイティブが使う72の定番英語表現","Flipout LLC","0.0","","2020-03-11","18834","https://play.google.com/store/apps/details?id=jp.flipout.eikaiwateiban"
"19","-2","Education","TO-FU おっ!すし屋さん","SMART EDUCATION, LTD.","0.0","￥260～￥520/アイテム","2020-07-06","18458","https://play.google.com/store/apps/details?id=jp.smarteducation.tofusushi"
"20","new","Education","みまもるトークアプリ","JustSystems Corporation","0.0","","2020-01-15","15741","https://play.google.com/store/apps/details?id=com.justsystems.mimamorutalkapp"
"21","+1","Education","タッチ！あそベビー　赤ちゃんが喜ぶ子供向けのアプリ　知育無料","WAO CORPORATION","0.0","￥250～￥370/アイテム","2020-01-31","15531","https://play.google.com/store/apps/details?id=com.waocorp.asobaby"
"22","new","Education","Miga タウン:世界","XiHe Digital (GuangZhou) Technology Co., Ltd.","0.0","￥110～￥430/アイテム","2020-07-02","14057","https://play.google.com/store/apps/details?id=com.miga.world"
"23","+45","Education","＜英検公式＞スタディギア for EIKEN","公益財団法人日本英語検定協会","0.0","￥1,990～￥3,980/アイテム","2020-05-18","12677","https://play.google.com/store/apps/details?id=jp.or.eiken.studygear"
"24","+11","Education","Star Walk 2 Free - 夜空ガイド：スター、星座、衛星、惑星を昼夜に見る","Vito Technology","0.0","￥99～￥730/アイテム","2020-05-05","12139","https://play.google.com/store/apps/details?id=com.vitotechnology.StarWalk2Free"
"25","-","Education","クレヨンしんちゃん お手伝い大作戦","neos","0.0","￥320～￥350/アイテム","2020-07-10","12008","https://play.google.com/store/apps/details?id=jp.neoscorp.edu.shinchan"
"26","-3","Education","Photomath","Photomath, Inc.","0.0","￥110～￥6,500/アイテム","2020-07-08","11724","https://play.google.com/store/apps/details?id=com.microblink.photomath"
"27","-6","Education","NHKゴガク 語学講座","NHK (JAPAN BROADCASTING CORP.)","0.0","","2020-04-01","11689","https://play.google.com/store/apps/details?id=jp.or.nhk.gogaku"
"28","-14","Education","英語リスニングの神: 英会話 勉強 学習〜RedKiwi! 英単語/英文法/英語発音/シャドーイング","HayanMind Inc.","0.0","￥650～￥27,500/アイテム","2020-07-21","11614","https://play.google.com/store/apps/details?id=com.hayanmind.mimiking"
"29","-10","Education","数学トレーニング（中学1年・2年・3年の数学計算勉強アプリ）","学校ネット株式会社","0.0","","2019-03-27","11526","https://play.google.com/store/apps/details?id=jp.co.gakkonet.trainingsugaku"
"30","+4","Education","Galaxy Global Goals","Samsung Electronics Co.,  Ltd.","0.0","","2020-05-30","10720","https://play.google.com/store/apps/details?id=com.samsung.sree"
"31","+20","Education","英語の友　旺文社リスニングアプリ","Obunsha Co.,Ltd.","0.0","","2020-06-25","10681","https://play.google.com/store/apps/details?id=jp.co.obunsha.eigonotomo"
