"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Education","SPI非言語 【Study Pro】","Study Pro","￥250","","2016-06-02","209761","https://play.google.com/store/apps/details?id=studypro.spi.higengo"
"2","+1","Education","Dumb Ways JR Boffo's Breakfast","Metro Trains","￥260","","2017-01-20","194901","https://play.google.com/store/apps/details?id=au.com.metro.dwjr.boffos"
"3","+4","Education","パブロフ簿記３級 日商簿記仕訳対策 2020年度版","willsi Co., Ltd.","￥600","","2020-03-07","92471","https://play.google.com/store/apps/details?id=com.pubrof.pubrofboki3"
"4","-2","Education","SPI言語 【Study Pro】","Study Pro","￥250","￥99/アイテム","2013-08-20","85313","https://play.google.com/store/apps/details?id=studypro.spi"
"5","-1","Education","パブロフ簿記２級商業簿記 日商簿記仕訳対策 2020年度版","willsi Co., Ltd.","￥600","","2020-03-15","66438","https://play.google.com/store/apps/details?id=com.pubrof.pubrofboki2"
"6","+31","Education","Star Walk 2 - スカイマップ天文学ガイド: 時計の星、惑星と星座昼と夜","Vito Technology","￥400","￥99～￥370/アイテム","2020-05-05","62045","https://play.google.com/store/apps/details?id=com.vitotechnology.StarWalk2"
"7","-1","Education","Toca Life: Hospital","Toca Boca","￥480","","2018-06-12","57901","https://play.google.com/store/apps/details?id=com.tocaboca.tocahospital"
"8","-3","Education","どんどん話すための瞬間英作文トレーニング","Beret Publishing","￥1,200","￥840/アイテム","2018-07-20","43280","https://play.google.com/store/apps/details?id=com.njwuji.study"
"9","-","Education","mikan でる順パス単準1級","mikan Co., Ltd.","￥840","","2017-05-18","36323","https://play.google.com/store/apps/details?id=link.mikan.passtan_pre_1"
"10","-","Education","トッカ・ライフ・スクール Toca Life School","Toca Boca","￥480","","2018-07-06","34723","https://play.google.com/store/apps/details?id=com.tocaboca.tocaschool"
"11","+3","Education","宅建 過去問集 2020年版「スタケン」","OWNER'S AGENT INC.","￥360","","2020-06-24","31005","https://play.google.com/store/apps/details?id=com.owners_age.stken_app_paid"
"12","-1","Education","Toca Life: Pets","Toca Boca","￥480","","2018-07-06","30459","https://play.google.com/store/apps/details?id=com.tocaboca.tocapets"
"13","-1","Education","パブロフ簿記２級工業簿記","willsi Co., Ltd.","￥600","","2020-05-11","28590","https://play.google.com/store/apps/details?id=com.pubrof.pubrofboki2kogyo"
"14","-1","Education","文法・語彙対策640問1 for TOEIC®テスト","株式会社LATIKA","￥360","","2020-05-13","25355","https://play.google.com/store/apps/details?id=jp.co.latika.android.toeic.grammar.all"
"15","+18","Education","「一級建築士」受験対策","TK office","￥960","","2019-08-29","20672","https://play.google.com/store/apps/details?id=com.tkoffice.builder"
"16","+7","Education","リスニング対策360問 for TOEIC®テスト","株式会社LATIKA","￥360","","2020-05-13","18988","https://play.google.com/store/apps/details?id=jp.co.latika.android.toeic.listening"
"17","+3","Education","トッカ・ヘアサロン・ミー (Hair Salon Me）","Toca Boca","￥480","","2020-07-08","15878","https://play.google.com/store/apps/details?id=com.tocaboca.hairsalonme"
"18","-2","Education","トッカ・ラボ (Toca Lab: Elements)","Toca Boca","￥480","","2017-06-01","15845","https://play.google.com/store/apps/details?id=com.tocaboca.tocalab"
"19","+49","Education","どこトレ FP3級学科 過去問題集","どこトレ","￥300","","2019-09-25","15172","https://play.google.com/store/apps/details?id=jp.main.brits.docotore.fp3"
"20","-5","Education","トッカ・ライフ: ネイバーフッド（Toca Life: Neighborhood）","Toca Boca","￥480","","2018-11-15","13751","https://play.google.com/store/apps/details?id=com.tocaboca.tocaneighborhood"
"21","+23","Education","Toca Kitchen Sushi Restaurant","Toca Boca","￥480","","2019-09-19","13404","https://play.google.com/store/apps/details?id=com.tocaboca.tocakitchensushi"
"22","-3","Education","ラジリンガル","yushun","￥1,200","","2020-03-31","11745","https://play.google.com/store/apps/details?id=me.yushun.radilingual"
"23","+8","Education","手話ステーション","MDI.inc","￥840","","2016-08-24","11633","https://play.google.com/store/apps/details?id=cc.mdi.ShuwaStation"
"24","-7","Education","英単語ターゲット1900公式アプリ |  ビッグローブ英単語","BIGLOBE Inc.","￥650","","2019-04-25","10985","https://play.google.com/store/apps/details?id=jp.ne.biglobe.target1900"
"25","-7","Education","mikan でる順パス単2級","mikan Co., Ltd.","￥840","","2017-05-18","10797","https://play.google.com/store/apps/details?id=link.mikan.passtan_2"
"26","-5","Education","mikan でる順パス単1級","mikan Co., Ltd.","￥840","","2017-05-30","10775","https://play.google.com/store/apps/details?id=link.mikan.passtan_1"
"27","+64","Education","eco検定対策セミナー(第1部)「地球の環境と課題」","ニューズ・メディア","￥360","","2017-04-10","10323","https://play.google.com/store/apps/details?id=jp.newsmedia.ecoken.app1"
"28","+10","Education","暗記ドリルメーカー ライセンスキー","U-Shipps","￥198","","2018-10-12","10279","https://play.google.com/store/apps/details?id=jp.web5.ussy.mydrillbookmakerkey"
"29","-5","Education","Drawing for Kids and Toddlers.","Bini Bambini","￥300","","2018-08-23","10233","https://play.google.com/store/apps/details?id=com.binibambini.Mini"
"30","-","Education","キクタン [All-in-One] TOEIC® Test Score 600+800+990合本版","PlaySquare Inc.","￥1,800","￥610～￥2,440/アイテム","2020-03-12","10079","https://play.google.com/store/apps/details?id=com.playsquare.kikutan_all_toeic"
"31","-9","Education","トッカ・ライフ：オフィスでは","Toca Boca","￥480","","2020-06-02","10055","https://play.google.com/store/apps/details?id=com.tocaboca.tocaoffice"
"32","-7","Education","Toca Life: Vacation","Toca Boca","￥480","","2018-06-21","9867","https://play.google.com/store/apps/details?id=com.tocaboca.tocavacation"
"33","+57","Education","MePlayer Movie Pro Player","MEsoft","￥380","￥100/アイテム","2020-07-03","9846","https://play.google.com/store/apps/details?id=com.mesoft.meplayer"
"34","+7","Education","山川一問一答世界史","Imagineer Co.,Ltd.","￥600","","2019-11-20","9275","https://play.google.com/store/apps/details?id=jp.co.imagineer.yk.ichi2.w"
"35","+114","Education","eco検定対策セミナー(第2部)「環境問題を知る」","ニューズ・メディア","￥360","","2017-04-11","9140","https://play.google.com/store/apps/details?id=jp.newsmedia.ecoken.app2"
"36","-9","Education","Toca Hair Salon 3","Toca Boca","￥480","","2019-03-06","8805","https://play.google.com/store/apps/details?id=com.tocaboca.tocahairsalon3"
"37","+6","Education","Dumb Ways JR Zany's Hospital","Metro Trains","￥260","","2019-10-27","8789","https://play.google.com/store/apps/details?id=au.com.metro.dwjr.zany"
"38","-6","Education","トッカ・ライフ・シティ（Toca Life: City）","Toca Boca","￥480","","2018-07-06","8784","https://play.google.com/store/apps/details?id=com.tocaboca.tocacity"
"39","+3","Education","でる順パス単 英検® 1級 【旺文社】","PlaySquare Inc.","￥840","￥610～￥980/アイテム","2020-04-03","8777","https://play.google.com/store/apps/details?id=com.playsquare.pastan_1"
"40","+19","Education","周期表 2020 PRO - 化学","www.chernykh.tech","￥220","","2020-07-03","8249","https://play.google.com/store/apps/details?id=august.mendeleev.pro"
"41","+64","Education","どこトレ FP2級学科 過去問題集","どこトレ","￥400","","2019-10-03","7689","https://play.google.com/store/apps/details?id=jp.main.brits.docotore.fp2"
"42","+51","Education","暗記アプリ[第二種電工：筆記①]","Moving","￥238","","2015-06-08","7638","https://play.google.com/store/apps/details?id=com.fc2.web.movingprojectteam.electricconstruction"
"43","-17","Education","mikan TOEIC®TEST 必ず☆でる単 スピードマスター","mikan Co., Ltd.","￥480","","2017-05-17","7373","https://play.google.com/store/apps/details?id=link.mikan.toeic_frequent_word_600"
"44","+12","Education","漢字検定・漢検漢字トレーニングDX","学校ネット株式会社","￥720","","2020-03-02","7273","https://play.google.com/store/apps/details?id=jp.co.gakkonet.quizninjakankendx"
"45","+107","Education","スキマ時間で合格！銀行業務検定法務３級","Tactware","￥350","","2018-11-13","7226","https://play.google.com/store/apps/details?id=jp.tactware.app.ginkohoumulevel3"
"46","-12","Education","mikan でる順パス単準2級","mikan Co., Ltd.","￥840","","2017-05-18","7058","https://play.google.com/store/apps/details?id=link.mikan.passtan_pre_2"
"47","-8","Education","おんぷちゃん","tokentoken","￥120","","2019-12-29","6926","https://play.google.com/store/apps/details?id=jp.ne.sakura.token.gosenfu02"
"48","-20","Education","でる順パス単 英検® 準1級 【旺文社】","PlaySquare Inc.","￥840","￥610～￥980/アイテム","2020-04-03","6920","https://play.google.com/store/apps/details?id=com.playsquare.pastan_p1"
"49","+59","Education","最短合格！エコ検定","資格キラー","￥650","","2019-05-10","6650","https://play.google.com/store/apps/details?id=com.katekyonet.ecology"
"50","+44","Education","消防設備士 ４類 過去問 類問","GO-KAKU","￥1,080","","2020-04-01","6493","https://play.google.com/store/apps/details?id=shoubousetubishi4.app"
"51","+29","Education","電気工事施工管理技士　１級","資格 合格","￥700","","2020-05-10","6423","https://play.google.com/store/apps/details?id=com.jyouhousyoridenkikoujisikouiti.englishstudy"
"52","+11","Education","第1種衛生管理者試験問題集　りすさんシリーズ","K.Joker","￥310","","2020-04-04","6350","https://play.google.com/store/apps/details?id=jp.co.joker.kazuki.hygiene.management1"
"53","+29","Education","【速読ワールド２_Ver2.0教科書付】速読術トレーニング","日本能力開発学院","￥200","","2016-08-13","6307","https://play.google.com/store/apps/details?id=jp.co.japanadvantage.sokudoku2.book"
"54","-5","Education","Toca Life: After School","Toca Boca","￥480","","2018-06-21","6269","https://play.google.com/store/apps/details?id=com.tocaboca.tocaafterschool"
"55","-26","Education","Toca Life: Farm","Toca Boca","￥480","","2018-07-06","6113","https://play.google.com/store/apps/details?id=com.tocaboca.tocalifefarm"
"56","+42","Education","１級建築施工ケイタイもん_有料版","一般財団法人 地域開発研究所","￥864","","2017-04-17","6080","https://play.google.com/store/apps/details?id=jp.or.ias.QuestionSheet_Architecture1th_fee"
"57","-21","Education","キクタン [Basic] 4000 (発音練習機能つき) ～聞いて覚えるコーパス英単語～","PlaySquare Inc.","￥600","￥610～￥1,020/アイテム","2019-01-09","6057","https://play.google.com/store/apps/details?id=com.playsquare.kikutan_basic4000"
"58","-","Education","文法・語彙対策640問2 for TOEIC®テスト","株式会社LATIKA","￥360","","2020-05-13","5998","https://play.google.com/store/apps/details?id=jp.co.latika.android.toeic.grammar.all2"
"59","-12","Education","Flashcards Deluxe","OrangeOrApple.com","￥440","","2020-05-26","5950","https://play.google.com/store/apps/details?id=com.orangeorapple.flashcards"
"60","-14","Education","CAB 【Study Pro】","Study Pro","￥250","","2013-08-20","5852","https://play.google.com/store/apps/details?id=studypro.cab"
"61","-10","Education","すべての言語の翻訳","Klays-Development","￥196","","2019-12-12","5766","https://play.google.com/store/apps/details?id=free_translator.all"
