Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
JP,PAID,AND,2019,9,M,1,-,,Education,SPI非言語 【Study Pro】,Study Pro,¥250,,2016-06-02,232915,https://play.google.com/store/apps/details?id=studypro.spi.higengo
JP,PAID,AND,2019,9,M,2,+1,,Education,ニック式英会話ジム ベータ版,INSTYLE GROUP,"¥3,000",,2020-07-06,172433,https://play.google.com/store/apps/details?id=com.nic_english.gym.NicGym
JP,PAID,AND,2019,9,M,3,-1,,Education,Dumb Ways JR Boffo's Breakfast,Metro Trains,¥260,,2017-01-20,96273,https://play.google.com/store/apps/details?id=au.com.metro.dwjr.boffos
JP,PAID,AND,2019,9,M,4,-,,Education,SPI言語 【Study Pro】,Study Pro,¥250,￥99/アイテム,2013-08-20,75760,https://play.google.com/store/apps/details?id=studypro.spi
JP,PAID,AND,2019,9,M,5,+4,,Education,パブロフ簿記２級商業簿記 日商簿記仕訳対策 2020年度版,"willsi Co., Ltd.",¥600,,2020-03-15,61268,https://play.google.com/store/apps/details?id=com.pubrof.pubrofboki2
JP,PAID,AND,2019,9,M,6,+4,,Education,パブロフ簿記３級 日商簿記仕訳対策 2020年度版,"willsi Co., Ltd.",¥600,,2020-03-07,55809,https://play.google.com/store/apps/details?id=com.pubrof.pubrofboki3
JP,PAID,AND,2019,9,M,7,-,,Education,どんどん話すための瞬間英作文トレーニング,Beret Publishing,"¥1,200",￥840/アイテム,2018-07-20,45269,https://play.google.com/store/apps/details?id=com.njwuji.study
JP,PAID,AND,2019,9,M,8,-2,,Education,Toca Life: Hospital,Toca Boca,¥480,,2018-06-12,41083,https://play.google.com/store/apps/details?id=com.tocaboca.tocahospital
JP,PAID,AND,2019,9,M,9,+2,,Education,Toca Life: Pets,Toca Boca,¥480,,2018-07-06,39910,https://play.google.com/store/apps/details?id=com.tocaboca.tocapets
JP,PAID,AND,2019,9,M,10,+2,,Education,宅建 過去問集 2020年版「スタケン」,OWNER'S AGENT INC.,¥360,,2020-06-24,32875,https://play.google.com/store/apps/details?id=com.owners_age.stken_app_paid
JP,PAID,AND,2019,9,M,11,+2,,Education,トッカ・ライフ・スクール Toca Life School,Toca Boca,¥480,,2018-07-06,30814,https://play.google.com/store/apps/details?id=com.tocaboca.tocaschool
JP,PAID,AND,2019,9,M,12,+8,,Education,MePlayer Movie Pro Player,MEsoft,￥380,￥100/アイテム,2020-07-03,27017,https://play.google.com/store/apps/details?id=com.mesoft.meplayer
JP,PAID,AND,2019,9,M,13,+3,,Education,トッカ・ラボ (Toca Lab: Elements),Toca Boca,¥480,,2017-06-01,22695,https://play.google.com/store/apps/details?id=com.tocaboca.tocalab
JP,PAID,AND,2019,9,M,14,+7,,Education,パブロフ簿記２級工業簿記,"willsi Co., Ltd.",¥600,,2020-05-11,19820,https://play.google.com/store/apps/details?id=com.pubrof.pubrofboki2kogyo
JP,PAID,AND,2019,9,M,15,-1,,Education,でる順パス単 英検® 1級 【旺文社】,PlaySquare Inc.,¥840,￥610～￥980/アイテム,2020-04-03,19245,https://play.google.com/store/apps/details?id=com.playsquare.pastan_1
JP,PAID,AND,2019,9,M,16,+18,,Education,暗記ドリルメーカー ライセンスキー,U-Shipps,¥198,,2018-10-12,17736,https://play.google.com/store/apps/details?id=jp.web5.ussy.mydrillbookmakerkey
JP,PAID,AND,2019,9,M,17,-2,,Education,でる順パス単 英検® 準1級 【旺文社】,PlaySquare Inc.,¥840,￥610～￥980/アイテム,2020-04-03,17334,https://play.google.com/store/apps/details?id=com.playsquare.pastan_p1
JP,PAID,AND,2019,9,M,18,+5,,Education,どこトレ FP3級学科 過去問題集,どこトレ,¥300,,2019-09-25,17016,https://play.google.com/store/apps/details?id=jp.main.brits.docotore.fp3
JP,PAID,AND,2019,9,M,19,-1,,Education,トッカ・ヘアサロン・ミー (Hair Salon Me）,Toca Boca,¥480,,2020-07-08,14682,https://play.google.com/store/apps/details?id=com.tocaboca.hairsalonme
