Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
JP,FREE,IOS,2019,4,M,1,+18,,Education,すごい時間割 - 大学生の時間割アプリ,"Recruit Co.,Ltd.",0.0,,2011-06-01,163943,https://itunes.apple.com/JP/app/id440720442
JP,FREE,IOS,2019,4,M,2,-1,,Education,数学検索アプリ-クァンダ Qanda,Mathpresso,0.0,,2017-11-28,123050,https://itunes.apple.com/JP/app/id1270676408
JP,FREE,IOS,2019,4,M,3,+13,,Education,大学生のための時間割,Junnosuke Matsumoto,0.0,,2016-03-28,101880,https://itunes.apple.com/JP/app/id1095584799
JP,FREE,IOS,2019,4,M,4,+3,,Education,スタディサプリ,"Recruit Co.,Ltd.",0.0,,2016-02-24,92875,https://itunes.apple.com/JP/app/id1059640427
JP,FREE,IOS,2019,4,M,5,+60,,Education,Classi生徒用,Classi株式会社,0.0,,2015-03-30,87745,https://itunes.apple.com/JP/app/id959491389
JP,FREE,IOS,2019,4,M,6,new,,Education,EWA English: 初心者のために英語を学ぶ,Lithium Lab Pte Ltd,0.0,,2017-05-18,41428,https://itunes.apple.com/JP/app/id1200778841
JP,FREE,IOS,2019,4,M,7,+6,,Education,Photomath,"Photomath, Inc.",0.0,,2014-10-17,37099,https://itunes.apple.com/JP/app/id919087726
JP,FREE,IOS,2019,4,M,8,-5,,Education,英単語アプリ mikan,"mikan Co.,Ltd.",0.0,,2014-10-27,36684,https://itunes.apple.com/JP/app/id920856839
JP,FREE,IOS,2019,4,M,9,-,,Education,英会話、英語リスニング - スタディサプリENGLISH,"Recruit Co.,Ltd.",0.0,,2015-10-29,33665,https://itunes.apple.com/JP/app/id1048103403
JP,FREE,IOS,2019,4,M,10,+30,,Education,PlantSnap: 植物を特定,"PlantSnap, Inc.",0.0,,2019-02-22,31292,https://itunes.apple.com/JP/app/id1451054346
JP,FREE,IOS,2019,4,M,11,+44,,Education,Classiホーム - 先生用・保護者用,Classi株式会社,0.0,,2019-03-04,29117,https://itunes.apple.com/JP/app/id1444713806
JP,FREE,IOS,2019,4,M,12,-2,,Education,ターゲットの友 英単語アプリ,"Obunsha Co.,Ltd.",0.0,必勝パック(マイリスニング+苦手特訓） : ¥730 / マイリスニングのみ : ¥490 / 苦手特訓のみ : ¥490,2014-04-29,28481,https://itunes.apple.com/JP/app/id860500836
JP,FREE,IOS,2019,4,M,13,-7,,Education,Studyplus(スタディプラス) 日々の学習管理に,Studyplus Inc.,0.0,,2012-03-07,23192,https://itunes.apple.com/JP/app/id505410049
JP,FREE,IOS,2019,4,M,14,+35,,Education,赤ペン 提出カメラ,Benesse Corporation,0.0,,2014-01-17,22978,https://itunes.apple.com/JP/app/id785267899
JP,FREE,IOS,2019,4,M,15,+142,,Education,Google Classroom,Google LLC,0.0,,2015-01-13,21726,https://itunes.apple.com/JP/app/id924620788
JP,FREE,IOS,2019,4,M,16,+207,,Education,"respon - Asahi Net, Inc.","Asahi Net, Inc.",0.0,,,21643,https://itunes.apple.com/JP/app/id966831550
JP,FREE,IOS,2019,4,M,17,+7,,Education,はみがき勇者,LITALICO Inc.,0.0,伝説の４ヒーロー : ¥120,2018-10-30,21038,https://itunes.apple.com/JP/app/id1317198419
JP,FREE,IOS,2019,4,M,18,-13,,Education,鬼から電話,MediaActive Inc.,0.0,,2012-10-11,20979,https://itunes.apple.com/JP/app/id566799704
JP,FREE,IOS,2019,4,M,19,+11,,Education,NHKゴガク 語学講座,NHK (Japan Broadcasting Corporation),0.0,,2015-10-01,19182,https://itunes.apple.com/JP/app/id1039263781
JP,FREE,IOS,2019,4,M,20,+8,,Education,PEAK（ピーク）- 脳トレ,brainbow,0.0,,2014-09-01,17035,https://itunes.apple.com/JP/app/id806223188
JP,FREE,IOS,2019,4,M,21,-7,,Education,Duolingoで英会話 - リスニングや会話の練習,Duolingo,0.0,,2012-11-13,16454,https://itunes.apple.com/JP/app/id570060128
JP,FREE,IOS,2019,4,M,22,-7,,Education,スタディサプリENGLISH TOEIC®L&Rテスト対策,"Recruit Co.,Ltd.",0.0,"スタディサプリ ENGLISH TOEICプレミアムサービス : ¥3,700",2017-08-06,15178,https://itunes.apple.com/JP/app/id1256890650
JP,FREE,IOS,2019,4,M,23,+105,,Education,UNIPA,"Japan System Techniques Co., Ltd.",0.0,,2017-10-11,14967,https://itunes.apple.com/JP/app/id1259602811
JP,FREE,IOS,2019,4,M,24,+15,,Education,語学のオトモ ALCO［アルコ］（アルク）,"ALC PRESS, INC.",0.0,,2016-04-03,14427,https://itunes.apple.com/JP/app/id1093380143
JP,FREE,IOS,2019,4,M,25,-8,,Education,予習復習効率UP,Benesse Corporation,0.0,,2019-03-21,14163,https://itunes.apple.com/JP/app/id1446247648
JP,FREE,IOS,2019,4,M,26,-4,,Education,クレヨンしんちゃん お手伝い大作戦,Neos Corporation,0.0,,2017-07-26,13284,https://itunes.apple.com/JP/app/id1241122788
JP,FREE,IOS,2019,4,M,27,+58,,Education,Quizlet  クイズレット: 英語を習うそして勉強,Quizlet Inc,0.0,,2012-08-08,13194,https://itunes.apple.com/JP/app/id546473125
JP,FREE,IOS,2019,4,M,28,+10,,Education,コドモン - 保育園の連絡をアプリで簡単に,Spine Lab Inc,0.0,,2015-06-25,12704,https://itunes.apple.com/JP/app/id1005539404
JP,FREE,IOS,2019,4,M,29,-25,,Education,算数を簡単に(Math Learner 数学),Fun Games For Free,0.0,,2018-09-06,11477,https://itunes.apple.com/JP/app/id1148728253
JP,FREE,IOS,2019,4,M,30,+6,,Education,AI英会話SpeakBuddy(スピークバディ),appArray Inc.,0.0,"SpeakBuddyプレミアムサービス : ¥1,950 / 英会話・英語学習アプリスピークバディプレミアムサービス : ¥1,950 / SpeakBuddyプレミアムサービス - 1年プラン : ¥14,000",2016-09-25,11467,https://itunes.apple.com/JP/app/id1129621266
JP,FREE,IOS,2019,4,M,31,-13,,Education,漢字読み方手書き検索辞典,Flipout LLC,0.0,,2017-07-13,11327,https://itunes.apple.com/JP/app/id1253277734
JP,FREE,IOS,2019,4,M,32,+190,,Education,大学生の時間割,Yoshiyuki Tanaka,0.0,,,11300,https://itunes.apple.com/JP/app/id1291693319
JP,FREE,IOS,2019,4,M,33,+8,,Education,英語の友　旺文社リスニングアプリ,"Obunsha Co.,Ltd.",0.0,,2017-04-11,11162,https://itunes.apple.com/JP/app/id1222472255
JP,FREE,IOS,2019,4,M,34,-5,,Education,AI英語教材abceed（エービーシード）,Globee.Inc,0.0,,2015-12-15,10392,https://itunes.apple.com/JP/app/id1060016132
JP,FREE,IOS,2019,4,M,35,-12,,Education,漢字検定・漢検漢字トレーニング,Gakko Net Inc.,0.0,,2014-04-23,9588,https://itunes.apple.com/JP/app/id843003884
JP,FREE,IOS,2019,4,M,36,-11,,Education,毎日3分で韓国語を身につける：パッチムトレーニング,HIKARI NAKASHIMA,0.0,,2014-02-06,9404,https://itunes.apple.com/JP/app/id809844915
JP,FREE,IOS,2019,4,M,37,-5,,Education,みんなの英単語帳 - 受験勉強の単語帳を作成しよう -,"Celleus, Inc.",0.0,,2016-06-29,9094,https://itunes.apple.com/JP/app/id1128260832
JP,FREE,IOS,2019,4,M,38,+224,,Education,あんしんメール,Technomix,0.0,,2018-03-07,8970,https://itunes.apple.com/JP/app/id1291223207
JP,FREE,IOS,2019,4,M,39,+5,,Education,スタディサプリ 英単語,"Recruit Co.,Ltd.",0.0,,2015-04-05,8325,https://itunes.apple.com/JP/app/id970369086
JP,FREE,IOS,2019,4,M,40,-38,,Education,運転免許 普通自動車免許 学科試験問題集,Trips LLC,0.0,,2014-12-12,7924,https://itunes.apple.com/JP/app/id934285492
JP,FREE,IOS,2019,4,M,41,-8,,Education,進研ゼミ 高校講座ホーム（旧サクスタ）,Benesse Corporation,0.0,,2015-02-27,7923,https://itunes.apple.com/JP/app/id957983482
JP,FREE,IOS,2019,4,M,42,-5,,Education,ごっこランド 子供ゲーム・幼児と子供の知育アプリ,KidsStar Inc.,0.0,,2013-05-01,7918,https://itunes.apple.com/JP/app/id637237326
JP,FREE,IOS,2019,4,M,43,-9,,Education,トレーニング TOEIC ® test,Flipout LLC,0.0,,2017-08-27,7707,https://itunes.apple.com/JP/app/id1257989186
