"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","new","Family","お絵かきコラボ","RYOSUKE HIRAMATSU","0","広告を非表示 : ¥490","2018-12-16","148000","https://itunes.apple.com/JP/app/id1445350507"
"2","-1","Education","数学検索アプリ-クァンダ Qanda","Mathpresso","0","","2017-11-28","142427","https://itunes.apple.com/JP/app/id1270676408"
"3","-1","Education","Photomath","Photomath, Inc.","0","","2014-10-17","57146","https://itunes.apple.com/JP/app/id919087726"
"4","+2","Education","EWA English: 初心者のために英語を学ぶ","Lithium Lab Pte Ltd","0.0","","2017-05-18","51867","https://itunes.apple.com/JP/app/id1200778841"
"5","-","Education","鬼から電話","MediaActive Inc.","0.0","","2012-10-11","36051","https://itunes.apple.com/JP/app/id566799704"
"6","new","Education","令和ぱずる","shun motoki","0.0","","2019-05-03","30000","https://itunes.apple.com/JP/app/id1462023307"
"7","-3","Education","スタディサプリ","Recruit Co.,Ltd.","0.0","","2016-02-24","27316","https://itunes.apple.com/JP/app/id1059640427"
"8","-1","Education","英単語アプリ mikan","mikan Co.,Ltd.","0.0","","2014-10-27","24255","https://itunes.apple.com/JP/app/id920856839"
"9","+32","Education","HelloTalkハロートーク-英語を勉強する","HELLOTALK FOREIGN LANGUAGE EXCHANGE LEARNING TALK CHAT APP","0","","2012-12-15","24053","https://itunes.apple.com/JP/app/id557130558"
"10","-1","Education","PlantSnap: 植物を特定","PlantSnap, Inc.","0.0","","2019-02-22","23783","https://itunes.apple.com/JP/app/id1451054346"
"11","-8","Education","Classi生徒用","Classi株式会社","0.0","","2015-03-30","23076","https://itunes.apple.com/JP/app/id959491389"
"12","new","Education","ビーチで宝物探しごっこ","Huang BiZhu","0","","2015-05-18","20000","https://itunes.apple.com/JP/app/id986681427"
"13","-3","Education","Duolingoで英会話 - リスニングや会話の練習","Duolingo","0.0","","2012-11-13","18812","https://itunes.apple.com/JP/app/id570060128"
"14","+2","Education","赤ペン 提出カメラ","Benesse Corporation","0.0","","2014-01-17","18416","https://itunes.apple.com/JP/app/id785267899"
"15","-7","Education","Studyplus(スタディプラス) 日々の学習管理に","Studyplus Inc.","0.0","","2012-03-07","17426","https://itunes.apple.com/JP/app/id505410049"
"16","+2","Education","算数を簡単に(Math Learner 数学)","Fun Games For Free","0.0","","2018-09-06","15925","https://itunes.apple.com/JP/app/id1148728253"
"17","-6","Education","英会話、英語リスニング - スタディサプリENGLISH","Recruit Co.,Ltd.","0.0","","2015-10-29","14286","https://itunes.apple.com/JP/app/id1048103403"
"18","-3","Education","クレヨンしんちゃん お手伝い大作戦","Neos Corporation","0.0","","2017-07-26","14223","https://itunes.apple.com/JP/app/id1241122788"
"19","+7","Education","星座表","ESCAPE VELOCITY LIMITED","0.0","","2009-12-23","12041","https://itunes.apple.com/JP/app/id345542655"
"20","+262","Education","Biome（バイオーム）","BIOME INC.","0","","2019-04-25","10180","https://itunes.apple.com/JP/app/id1459658355"
"21","-8","Education","ターゲットの友 英単語アプリ","Obunsha Co.,Ltd.","0.0","必勝パック(マイリスニング+苦手特訓） : ¥730 / マイリスニングのみ : ¥490 / 苦手特訓のみ : ¥490","2014-04-29","10077","https://itunes.apple.com/JP/app/id860500836"
"22","new","Entertainment","YouTube Kids","Google LLC","0","","2017-05-30","10000","https://itunes.apple.com/JP/app/id936971630"
"23","-11","Education","AI英会話SpeakBuddy(スピークバディ)","appArray Inc.","0.0","SpeakBuddyプレミアムサービス : ¥1,950 / 英会話・英語学習アプリスピークバディプレミアムサービス : ¥1,950 / SpeakBuddyプレミアムサービス - 1年プラン : ¥14,000","2016-09-25","9882","https://itunes.apple.com/JP/app/id1129621266"
"24","-2","Education","PictureThis：撮ったら、判る-1秒植物図鑑","Glority Global Group Ltd.","0.0","","2017-09-25","9301","https://itunes.apple.com/JP/app/id1252497129"
"25","-8","Education","英語の友　旺文社リスニングアプリ","Obunsha Co.,Ltd.","0.0","","2017-04-11","8908","https://itunes.apple.com/JP/app/id1222472255"
"26","-6","Education","JoyTunes がおくる Simply Piano","JoyTunes","0.0","","2015-09-01","7883","https://itunes.apple.com/JP/app/id1019442026"
"27","-13","Education","Classiホーム - 先生用・保護者用","Classi株式会社","0.0","","2019-03-04","7093","https://itunes.apple.com/JP/app/id1444713806"
"28","-9","Education","漢字検定・漢検漢字トレーニング","Gakko Net Inc.","0.0","","2014-04-23","7019","https://itunes.apple.com/JP/app/id843003884"
"29","-4","Education","NHKゴガク 語学講座","NHK (Japan Broadcasting Corporation)","0.0","","2015-10-01","6741","https://itunes.apple.com/JP/app/id1039263781"
"30","+3","Education","英検公式｜スタディギア for EIKEN","Eiken Foundation of Japan","0.0","","2015-07-27","6681","https://itunes.apple.com/JP/app/id1012343352"
"31","+5","Education","ごっこランド 子供ゲーム・幼児と子供の知育アプリ","KidsStar Inc.","0.0","","2013-05-01","5988","https://itunes.apple.com/JP/app/id637237326"
"32","-9","Education","語学のオトモ ALCO［アルコ］（アルク）","ALC PRESS, INC.","0.0","","2016-04-03","5774","https://itunes.apple.com/JP/app/id1093380143"
